AmountSaved,Shranjeni znesek
ScotApp_888,Nepričakovan izdelek v vrečki.  Odstranite izdelek.
ScotApp_1887,Preglejte transakcijo.
ScotApp_1171,NEPRIČAKOVANO POVEČANJE
ScotApp_1199,VNESEN DATUM POTEKA
ScotApp_1300,Zaženi transakcijo
ScotApp_1326,POTEKEL ČASOVNIK VSTAVLJANJA KUPONA
ScotApp_1291,K - M
ScotApp_1517,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1886,Preverite za dodatne predmete.
ScotApp_749,749neuporabljenih
ScotApp_1529,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_549,549neuporabljenih
ScotApp_449,Zavrnjen status sprejemalca kovancev
ScotApp_349,349neuporabljenih
ScotApp_249,249neuporabljenih
ScotApp_149,Vnesi PIN številko
ScotApp_1307,Tiskanje računa
ScotApp_1738,Udeleženec overi svoje vrečke
ScotApp_949,949neuporabljenih
ScotApp_717,717neuporabljenih
ScotApp_617,Izberite nastavitev za primerjavo teže. (Primerjajte težo izd. glede na obstoj. vnose.)
ScotApp_517,Zahtevano je drugo plačilo.
ScotApp_417,Končne vsote so naložene.
ScotApp_317,317neuporabljenih
ScotApp_217,217neuporabljenih
ScotApp_117,Položi izdelke na stran
ScotApp_1516,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1885,Predmet ni skeniran.
ScotApp_917,Preveč zahtev za odstranitev izdelkov iz vrečke.  Maks = %d.
ScotApp_817,Potrebna je asistenca
ScotApp_1177,POTEKEL ČASOVNIK DAJANJA IZDELKA V VREČKO
ScotApp_1528,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1175,PRESEŽEN PRAG NE DAJANJA V VREČKE
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Geslo asistenta
ScotApp_1693,Nadomestitev kovancev
ScotApp_1515,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_7,7neuporabljenih
ScotApp_6,6neuporabljenih
ScotApp_5,5neuporabljenih
ScotApp_4,4neuporabljenih
ScotApp_3,3neuporabljenih
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,NOV VNESENI IZDELEK
ScotApp_1724,TRANSAKCIJA V NAČINA USPOSABLJANJA
ScotApp_1019,Položi na trak
ScotApp_9,9neuporabljenih
ScotApp_8,8neuporabljenih
ScotApp_609,Uredi odstopanje teže
ScotApp_1305,%s vstavljena
ScotApp_1893,Invalid Barcode
ScotApp_1409,Meni asistence
ScotApp_1692,Prijava nadzornika
ScotApp_1163,"Pritisnite ""Težava je rešena"".\n\nČe napaka ostaja, ponovno zaženite terminal.:\nObrnite Nadzorno ključavnico na 'S'-ALI pritisnite Nadzorni gumb.\nIzberite ""Izklopi celotni sistem"".\nKo zaslon utripa, izklopite terminal na UPS-u ali vtičnici z več priključki.\nVklopite terminal. Če se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis."
ScotApp_1514,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1372,Sprejemalec kovancev
ScotApp_1048,1048neuporabljenih
ScotApp_967,967neuporabljenih
ScotApp_1304,Kartica zvestobe sprejeta.
ScotApp_1162,Naprava je izklopljena.
ScotApp_1833,Exc_TB
ScotApp_1818,"* Odklenite in izvlecite zbiralni pladenj(I).\n* Odstranite nakopičeni zbiralni zabojnik. Preverite in očistite kakršnokoli nakopičenje pri izhodu (II).\n* Če ni nakopičenja pri izhodu, izpraznite zbiralni zabojnik. Preverite in očistite kakršnokoli nakopičenje vrtečega diska (III).\n* Ponovno vstavite zbiralni zabojnik.\n* Zagotovite, da so vsa vrata zaprta in pravilno zaklenjena. Če se napaka ponovi, pokličite servis."
ScotApp_1174,NEUJEMAJOČA TEŽA
ScotApp_1500,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1366,Tehtnica
ScotApp_1161,Napaka pozivnika
ScotApp_1717,WO:
ScotApp_1832,Exc_DEPT
ScotApp_1370,Dekodirnik
ScotApp_669,Neuspešno tiskanje podpisa. Pojavile so se napake.
ScotApp_569,Vnesite kodo
ScotApp_469,469neuporabljenih
ScotApp_369,Komunikacijska napaka tiskalnika
ScotApp_269,Način asistence
ScotApp_1507,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_969,969neuporabljenih
ScotApp_737,737neuporabljenih
ScotApp_637,"Varnost je izklopljena, zadnje dejanje je bilo preklicano."
ScotApp_537,537neuporabljenih
ScotApp_437,Neustrezno stanje
ScotApp_337,"Skenirajte vaš izdelek ali vnesite kodo in pritisnite ""OK""."
ScotApp_237,"Vstavite kaseto, da zaskoči v svoj položaj.\n\nPotegnite za ročico kasete, da zagotovite, da zaskočni zapah zadržuje kaseto v njenem položaju."
ScotApp_137,Vzemi drobiž
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s pričakovano;LSWND3=%s %s opazovano;
ScotApp_1519,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1831,Vrinjeno
ScotApp_937,Omejitev\Odstrani izdelke
ScotApp_837,Plačila
ScotApp_1702,*** PODVOJI RAČUN ***
ScotApp_1377,količina
ScotApp_1728,"Prosim, izberite s seznama."
ScotApp_1395,Vstopite v način udeleženca
ScotApp_716,716neuporabljenih
ScotApp_616,Primerjava teže
ScotApp_516,Drugo plačilo
ScotApp_416,Končne vsote se nalagajo ... 
ScotApp_316,316neuporabljenih
ScotApp_216,* Odprite vrata predalnika za tiskalnik.\n* Odprite pokrov tiskalnika in ga preverite glede kopičenj.\n* Zaprite pokrov tiskalnika in ga napolnite s papirjem.\n* Natisniti bi se moral račun s smeškom.\n* Zaprite in zaklenite vrata predalnika za tiskalnik.
ScotApp_116,Prekliči vse izdelke
ScotApp_1522,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1506,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1879,"Preverite prostor za vreče in se dotaknite ""Odobrite ali  odstranite predmet""."
ScotApp_916,"Preverite izdelke na vrsti in pritisnite ""Briši varnost""."
ScotApp_816,816neuporabljenih
ScotApp_1167,"* Odprite vrata predalnika za tiskalnik.\n* Odpahnite in potisnite tiskalnik nazaj.\n* Odprite pokrov tiskalnika in ga preverite glede kopičenj.\n* Zaprite pokrov tiskalnika in ga napolnite s papirjem.\n* Tiskalnik previdno povlecite naprej, dokler ne zaskoči v položaj."
ScotApp_1518,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1830,  Entries   Approved
ScotApp_1376,", %s"
ScotApp_783,783neuporabljenih
ScotApp_683,683neuporabljenih
ScotApp_583,Zavrnjena kartica.
ScotApp_483,"Prosim, podpišite podlogo za podpis s priloženim pisalom."
ScotApp_383,383neuporabljenih
ScotApp_283,Vnesi geslo
ScotApp_1505,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_983,Odvzemni trak se nalaga ...
ScotApp_883,Potrdi začasno zaustavitev
ScotApp_1363,Zaslon vrste
ScotApp_1714,ODOBRENA ZAVRNITEV ZAČASNE ZAUSTAVITVE
ScotApp_1837,"Za nadaljevanje transakcije pritisnite ""Odobri""."
ScotApp_1449,Status računa
ScotApp_1375,Prilagoditev po izdelku:\n%s
ScotApp_1248,DARILNA KARTICA
ScotApp_1153,Kopičenje papirja.
ScotApp_1504,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1362,Ključavnica
ScotApp_1836,NEVELJAVNA ČRTNA KODA
ScotApp_1571,Potrdi spregled sprememb
ScotApp_1215,NAPAKA NAPRAVE
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Ni papirja.
ScotApp_1700,"Neuspešna izdaja %s. %s\nPreverite avtomate za izdajo kovancev in bankovcev.\nČe so prazni, jih napolnite.\nČe niso prazni, odpravite kopičenje. \nPritisnite ""Stanje popravljeno""."
ScotApp_1823,Digitalni račun je bil uspešno ustvarjen.
ScotApp_1605,     Koš avtomata za izdajo kartic je prazen
ScotApp_1361,Menjalnik denarja
ScotApp_1835,Overi ali položi izdelek na stran
ScotApp_1878,Napačna teža na prostoru za vreče
ScotApp_1281,PONUDBA Z ASISTENCO
ScotApp_1425,Poveži
ScotApp_1570,Spreglej spremembe
ScotApp_814,814neuporabljenih
ScotApp_291,"Kopičenje v cevi avtomata za izdajo kovancev\n%s\nOdstranite kopičenje v avtomatu za izdajo kovancev in nato pritisnite ""Odpravljeno kopičenje""."
ScotApp_191,Posrednik transakcije je naložen.
ScotApp_1151,Pokrov tiskalnika je odprt.
ScotApp_1707,Kovanci so nakopičeni v sprejemalcu
ScotApp_1822,Glejte težo elementa spodaj levo na zaslonu
ScotApp_757,757neuporabljenih
ScotApp_657,Položite vračilo/popust na stran do konca nakupa.
ScotApp_557,Količina izdelkov z omejitvami
ScotApp_457,457neuporabljenih
ScotApp_357,357neuporabljenih
ScotApp_257,257neuporabljenih
ScotApp_157,Sporočilo sistema
ScotApp_1360,Predal za gotovino
ScotApp_1719,WA:
ScotApp_1834,Maks
ScotApp_1868,"Prepričajte se, da vaše roke ne zastirajo pogleda na kamero skenerja."
ScotApp_957,DB upravitelj stranke ni uspel komunicirati
ScotApp_857,Overi plačilo izbora
ScotApp_1064,1064neuporabljenih
ScotApp_1577,Skupno štetje:
ScotApp_736,736neuporabljenih
ScotApp_636,Varnost je izklopljena.
ScotApp_1091,1091neuporabljenih
ScotApp_436,Potrdi znesek
ScotApp_336,Glej predmet
ScotApp_236,236neuporabljenih
ScotApp_136,Vstavi gotovino
ScotApp_1509,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1821,Sprejmi težo
ScotApp_936,Omejitev\Preskoči dajanje v vrečko
ScotApp_836,Plačila & Strinjanja stranke
ScotApp_1367,Skener
ScotApp_1718,NOI:
ScotApp_1274,OPREDELJENUPORABNIK16
ScotApp_715,715neuporabljenih
ScotApp_615,"Izberite nastavitev izvajanja dajanja v vrečke. (Od stranke se pričak., da bo dala izd. v vrečko.)"
ScotApp_515,515neuporabljenih
ScotApp_315,315neuporabljenih
ScotApp_215,Prihranki dolga
ScotApp_115,Potrdi preklic
ScotApp_1576,Status avtomata za izdajo gotovine:
ScotApp_1090,Zaženi poročilo
ScotApp_815,Odpri register
ScotApp_1508,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1406,Sinh TB/POS
ScotApp_1099,Neznana napaka naprave
ScotApp_1563,Napolni
ScotApp_782,Kopičenje v avtomatu za izdajanje računa\nOdpravite kopičenje v avtomatu za izdajanje bankovcev ali\nPrilagodite čistilni koš.
ScotApp_682,682neuporabljenih
ScotApp_582,Zaključena ponudba.
ScotApp_482,482neuporabljenih
ScotApp_382,Neznano
ScotApp_282,Vnesi ID
ScotApp_1575,Status avtomata za izdajo kovancev:
ScotApp_1097,Natisni račune / poročila
ScotApp_1448,Status kovancev
ScotApp_982,Napaka nap.
ScotApp_143,Podpiši račun
ScotApp_1353,"Prosim, vstavite porabljeno darilno kartico v režo za kupone."
ScotApp_1704,"Pritisnite ""Težava je rešena"".\n\nČe napaka ostaja, ponovno zaženite terminal.:\nObrnite Nadzorno ključavnico na 'S' -ALI pritisnite Nadzorni gumb.\nIzberite ""Izklopi celotni sistem"".\nKo zaslon utripa, izklopite terminal na UPS-u ali vtičnici z več priključki.\nVklopite terminal. Če se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis."
ScotApp_1827,\n    - Trenutni jezik (%s)
ScotApp_1562,Štetje
ScotApp_1815,"* Odklenite in izvlecite zbiralni pladenj (I).\n* Vstavite manjkajoč(e) pladenj(nje) in zagotovite, da so vsi pladnji ustrezno nameščeni.\n*Zagotovite, da je pladenj za kovance z najnižjo vrednostjo vstavljen in ustrezno nameščen.\n* Zagotovite, da so vstavljeni pladnji za ustrezno valuto.\n* Če se napaka pojavi ponovno, prosimo pokličite servis."
ScotApp_1574,"Vnesena vrednost %s ni veljavna. \nProsim, poskusite znova."
ScotApp_1543,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1290,D - J
ScotApp_1096,Poročanje
ScotApp_1352,Vstavi darilno kartico
ScotApp_1561,Denominacija
ScotApp_1083,Izdelki odstranjeni iz vrečke.\nVrnite izdelek.
ScotApp_1753,Izdelek ni najden
ScotApp_418,Končne vsote se končujejo ...
ScotApp_318,318neuporabljenih
ScotApp_1813,"%s\n* Odklenite in izvlecite zbiralni pladenj(I).\n* Odstranite nakopičeni zbiralni zabojnik. Preverite in očistite kakršnokoli nakopičenje pri izhodu (II).\n* Če ni nakopičenja pri izhodu, izpraznite zbiralni zabojnik. Preverite in očistite kakršnokoli nakopičenje vrtečega diska (III).\n* Ponovno vstavite zbiralni zabojnik.\n* Zagotovite, da so vsa vrata zaprta in pravilno zaklenjena. Če se napaka ponovi, pokličite servis."
ScotApp_1095,"Izberite vrsto poročila, nato pritisnite ""Zaženi poročilo""."
ScotApp_1351,%s\n%s %s odstranjen  
ScotApp_1825,Shrani prednostne nastavitve
ScotApp_777,777neuporabljenih
ScotApp_677,677neuporabljenih
ScotApp_577,Začnite z gotovinsko ponudbo.
ScotApp_377,Enote  -  Status
ScotApp_277,277neuporabljenih
ScotApp_1560,Sprejemalec skupaj:  %s
ScotApp_1082,Odstranil sem izdelek ali vrečko
ScotApp_977,Dejanska teža: %s %s
ScotApp_877,Prikaz. Cene
ScotApp_1777,"Transakcija je bila dokončana z uporabo kupona, ki preseže mejo kupona trgovine."
ScotApp_1812,Kovanci so nakopičeni ali koši za kovance so polni ali pa jih ni.
ScotApp_756,756neuporabljenih
ScotApp_556,Začasna zaustavitev transakcije je zavrnjena.
ScotApp_456,456neuporabljenih
ScotApp_356,Dekodirnik
ScotApp_256,Izhodi uporabnika se končuje ...
ScotApp_156,Sporočilo sistema
ScotApp_1231,VIZUALNO OVERJEN
ScotApp_1874,1874unused
ScotApp_956,"Izklopite in ponovno zaÅ¾enite terminal:\n\n* Obrnite Nadzorno kljuÄavnico na 'S' -ALI- pritisnite Nadzorni gumb.\n* Izberite ''Izklopi celotni sistem''.\n* Ko zaslon utripa, izklopite terminal na UPS-u ali vtiÄnici z veÄ prikljuÄki.\n* Vklopite terminal. Preverite pregledovalnik dogodkov. ÄŒe se napaka ponovno pojavi, pokliÄite servis."
ScotApp_856,Račun:
ScotApp_1567,Avtomat za izdajanje skupaj:  %s
ScotApp_735,735neuporabljenih
ScotApp_635,Vnesite datum rojstva
ScotApp_535,   Priklican čas
ScotApp_335,Možnost ponarejanja stranke pri čitalcu kartic
ScotApp_235,Status sprejemalca gotovine je skoraj poln
ScotApp_135,135neuporabljenih
ScotApp_1776,Shrani avtorizacijo
ScotApp_1811,"* Izvlecite ločevalnik kovancev.\n* Odpravite kopičenje na prikazanih območjih tako, da kovance odstranite, ali pa jih potisnete naprej. \n* Stranki vrnite kovance.\n* Če se napaka pojavi ponovno, prosimo pokličite servis."
ScotApp_935,Zmanjšanje teže
ScotApp_835,Račun:
ScotApp_1708,"Nekajkrat pritisnite gumb za vračilo kovancev, da odpravite nakopičenje kovancev in nato pritisnite ""Težava je rešena"".\n\nČe se napaka ponovno pojavi, izdelajte diagnostično datoteko dnevnika in pokličite servis."
ScotApp_1168,Tiskalnik ni zaskočil v sprednji položaj.
ScotApp_1446,Sprazni
ScotApp_1566,Popolna zamenjava
ScotApp_1080,Dajte izdelek na trak.
ScotApp_1775,Odobri kupon
ScotApp_1810,Kovanci so nakopičeni.
ScotApp_1297,POTEKEL ČASOVNIK VZEMI DROBIŽ
ScotApp_1648,(mmddll)
ScotApp_708,708neuporabljenih
ScotApp_608,Nastavi primerjavo teže
ScotApp_508,508neuporabljenih
ScotApp_408,408neuporabljenih
ScotApp_308,cent
ScotApp_208,208neuporabljenih
ScotApp_108,Kupon se ne ujema
ScotApp_781,781neuporabljenih
ScotApp_681,Izbira Priljubljenev
ScotApp_581,Začasna zaustavitev transakcije je zavrnjena
ScotApp_481,Potrebna je asistenca
ScotApp_381,Običajno
ScotApp_908,Varnost
ScotApp_521,Vrnjeni znesek:
ScotApp_1087,Kartica je sprejeta. Skenirajte vaše izdelke in kupone.
ScotApp_981,981neuporabljenih
ScotApp_881,Začasna zaustavitev:
ScotApp_1774,KUPON PREVISOK
ScotApp_1296,Napolnite zbiralnike kovancev za najboljšo raven storitev.
ScotApp_1583,valuta je nizka (%s)
ScotApp_1552,koš je poln
ScotApp_1295,T - Z
ScotApp_1877,Alarm za krajo
ScotApp_1761,"Koš kuponov je mogoče poln ali pa je reža za kupone blokirana. Odstranite izdelke, ki blokirajo režo za kupone in nato spraznite koš za kupone."
ScotApp_1086,"""Ne dodaj teže"" zbriše vse vnose teže."
ScotApp_693,693neuporabljenih
ScotApp_794,Kopičenje v kaseti avtomata za izdajanje računa\nOdstranite kopičenje v avtomatu za izdajanje bankovcev.
ScotApp_694,694neuporabljenih
ScotApp_594,NCR SelfServ ZajPod blagajne je naložen.
ScotApp_494,S seznama izberite znesek vrnjenega denarja.
ScotApp_394,394neuporabljenih
ScotApp_1098,"* Odprite vrata predalnika za tiskalnik.\n* Preverite glede kopičenja v prikazanih območjih.\n* Če ne najdete kopičenje papirja, napolnite tiskalnik s papirjem.\n* Natisniti bi se moral račun s smeškom.\n* Zaprite in zaklenite vrata predalnika za tiskalnik."
ScotApp_1551,valuta je visoka  (%s)
ScotApp_994,Zaprto
ScotApp_894,DBM je naložena.
ScotApp_1760,"Koš kuponov je mogoče poln ali pa je reža za kupone blokirana. Odstranite izdelke, ki blokirajo režo za kupone in nato spraznite koš za kupone."
ScotApp_1371,Sprejemalec gotovine
ScotApp_1803,Sprejmi samo gotovino
ScotApp_1359,Tiskalnik listka
ScotApp_1085,Zbiraj kupone
ScotApp_21,21neuporabljenih
ScotApp_776,776neuporabljenih
ScotApp_676,Avtomat za izdajo kovancev: Napolnjen %s ob %s
ScotApp_1491,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_476,Oddaja kuponov
ScotApp_376,376neuporabljenih
ScotApp_276,276neuporabljenih
ScotApp_176,Želite prekiniti preverjanje in preklicati vaš celotni nakup?
ScotApp_976,976neuporabljenih
ScotApp_876,"Vnesite ID vodje asistentov in pritisnite ""Vnesi""."
ScotApp_1271,OPREDELJENUPORABNIK13
ScotApp_1767,Ni bilo mogoče dostopiti do parametrov teže tehtnice.
ScotApp_755,Obdelovanje ...
ScotApp_655,Izdelek z izjemo
ScotApp_1084,Zbiranje
ScotApp_455,455neuporabljenih
ScotApp_355,Izberi sistemsko funkcijo
ScotApp_255,255neuporabljenih
ScotApp_155,Sporočilo sistema
ScotApp_1011,Transportiranje ...
ScotApp_869,"Vnesite avtorizacijo # in pritisnite ""Vnesi""."
ScotApp_955,Spodletelo usposabljanje pametne tehtnice
ScotApp_855,Plačilo izbora:
ScotApp_23,+ %s (%s)
ScotApp_1766,Napaka skenerja/tehtnice.
ScotApp_1280,GOTOVINA
ScotApp_1335,Zaprta vrsta
ScotApp_1497,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_728,728neuporabljenih
ScotApp_628,Vrsta #: %d
ScotApp_528,528neuporabljenih
ScotApp_428,Rumen
ScotApp_328,"Neuspešna izdaja %s stranki. \n* Preverite avtomate za izdajo kovancev in bankovcev.\n* Če so prazni, jih napolnite.\n* Če niso prazni, odpravite kopičenje.\n* Pritisnite ""Težava je rešena""."
ScotApp_228,Reža čitalca kartic je zaradi kopičenja zaprta
ScotApp_128,128neuporabljenih
ScotApp_1690,Prosim pokličite servis
ScotApp_281,281neuporabljenih
ScotApp_181,"\nS pomočjo tipkovnice vnesite vrednost kupona v centih in pritisnite ""OK""."
ScotApp_928,Pojdite do vrsto in preverite napravo.
ScotApp_828,828neuporabljenih
ScotApp_1033,"Deaktivirajte izdelek ali odstranite varovanje na vrsti in pritisnite ""Briši varnost""."
ScotApp_1496,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_680,680neuporabljenih
ScotApp_580,Poskus razveljavitve izdelka preden je bil razveljavljen njegov kupon.
ScotApp_380,380neuporabljenih
ScotApp_280,Briši varnostni dnevnik
ScotApp_180,Položite kupone na stran za zdaj.\nPredložite jih na koncu nakupa.
ScotApp_1364,Micr
ScotApp_980,Časovnik potekel brez odziva stranke
ScotApp_880,880neuporabljenih
ScotApp_970,970neuporabljenih
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,EAS izdelek je še zmeraj aktiven.
ScotApp_1286,Slovensko
ScotApp_1462,Koši
ScotApp_1298,Funkcije z asistenco upravitelja
ScotApp_1031,Skenirajte vaše kupone.
ScotApp_1482,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1706,"Naprava ni pripravljena. Zaprite katerokoli drugo aplikacijo, ki bi lahko dostopala do naprave in pritisnite ""Težava je rešena"".  Če se napaka ponovno pojavi, pokličite Gunnebo za servis."
ScotApp_1399, Udeležen.
ScotApp_1494,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1672,Napaka ločevalnika kovancev
ScotApp_573,"Vnesite vaš ID uporabnika in pritisnite ""Vnesi""."
ScotApp_173,173neuporabljenih
ScotApp_775,Dobrodošli na NCR SelfServ blagajni! Veselo nakupovanje!
ScotApp_675,Napolnjen avtomat za izdajo kovancev
ScotApp_1481,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_79,79neuporabljenih
ScotApp_69,69neuporabljenih
ScotApp_59,Poskusi ponovno
ScotApp_39,Prekliči transakcijo
ScotApp_29,Izdelki z omejitvami
ScotApp_19,Obdavčenje
ScotApp_975,975neuporabljenih
ScotApp_603,Uredi/Dodaj vnos teže
ScotApp_99,Količina za razveljavitev
ScotApp_89,89neuporabljenih
ScotApp_303,Prekliči izdelke
ScotApp_203,203neuporabljenih
ScotApp_103,Vnesite kodo izdelka.
ScotApp_1889,Stopnja zaupanja v varnost
ScotApp_1443,"Vstavite kovance, da napolnite ali pritisnite ""Odstrani gotovino"", da spraznite."
ScotApp_903,Izdelek odstranjen iz vrečke.
ScotApp_803,803neuporabljenih
ScotApp_1555,Avtomat za izdajanje
ScotApp_1037,Podpis
ScotApp_1480,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1263,OPREDELJENUPORABNIK5
ScotApp_1697,Odpravljeno kopičenje
ScotApp_748,748neuporabljenih
ScotApp_648,UPC
ScotApp_548,548neuporabljenih
ScotApp_448,Račun zveste stranke je bil aktiviran.
ScotApp_348,348neuporabljenih
ScotApp_248,248neuporabljenih
ScotApp_148,148neuporabljenih
ScotApp_1479,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_948,\n* Oddaljena asistenca
ScotApp_848,Potrebna je količina:
ScotApp_485,Potreben je podpis
ScotApp_1036,EAS izdelek aktiven
ScotApp_1487,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1499,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1023,1023neuporabljenih
ScotApp_1179,POTEKEL ČASOVNIK ODHODA
ScotApp_1035,EAS izdelek aktiven
ScotApp_1682,Splošna napaka čitalca bankovcev
ScotApp_1486,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1144,Avtomat za izdajo se ne odziva.
ScotApp_866,Da
ScotApp_1498,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1384,Jezik
ScotApp_1743,"Vnesite ID uporabnika in pritisnite ""Vnesi"" ali pa postavite prst na čitalec odtisov, da se prijavite."
ScotApp_1319,KUPON
ScotApp_1178,PRESEŽEN PRAG KONČANJA ODSTRANJEVANJA
ScotApp_1001,Izdelek ni najden
ScotApp_1034,1034neuporabljenih
ScotApp_1485,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1068,1068neuporabljenih
ScotApp_1694,"Nadomestitev je uporabljena, ker %sPritisnite ""Status gotovine/papirja"", da napolnite ali odpravite kopičenje."
ScotApp_1165,"Tiskalnik previdno povlecite naprej, dokler ne zaskoči v položaj.\n\nZaprite in zaklenite vrata predalnika za tiskalnik."
ScotApp_1021,Pozor
ScotApp_1230,NEGATIVNI DOLG
ScotApp_1484,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_912,Odobri & Posodobi težo
ScotApp_723,723neuporabljenih
ScotApp_623,"Vnesite odstopanje z uporabo tipkovnice in pritisnite ""Vnesi""."
ScotApp_523,Zavrnjena kartica
ScotApp_423,"Vstavite kartico. Prosim, preverite košarico glede dodatnih izdelkov."
ScotApp_323,  Kol %d @ %d/%s
ScotApp_223,Koš zajemanja čitalca kartic je poln
ScotApp_123,123neuporabljenih
ScotApp_1020,Skeniraj izdelke
ScotApp_923,923neuporabljenih
ScotApp_823,Odobritev razveljavitve
ScotApp_1483,"Prosim, obrnite se na priročnik naprave, da popravite napako."
ScotApp_1237,KUPON
ScotApp_1680,"Nepopravljiva napaka.  Prosim, zaprite vrsto.  Pokličite Gunnebo in predložite spodaj prikazane informacije o napaki.\n\nNapaka SafePay: %s"
ScotApp_702,702neuporabljenih
ScotApp_602,Uredi/Dodaj\nVnos teže
ScotApp_502,Položite preklican izdelek na stran.
ScotApp_402,Ni prisotno
ScotApp_302,"Prosim, vnesite vašo PIN številko na plačilni napravi."
ScotApp_202,Odjava testiranja ...
ScotApp_102,Priklican izdelek
ScotApp_1722,"Vrsta je v načinu usposabljanja, nadaljujem s transakcijo?"
ScotApp_902,Izdelek odstranjen iz vrečke.  Vrnite izdelek.
ScotApp_802,"\nBoste kupili celoten zaboj\n%s?\n\nIzberite ""Da"" ali ""Ne""."
ScotApp_568,Briši
ScotApp_468,   Priklicano
ScotApp_368,"Kopičenje, ker ni papirja"
ScotApp_268,Napačno branje kartice
ScotApp_1027,"Pritisnite ""Da"" da preklicete transakcijo ali ""Ne"" da obnovite transakcijo."
ScotApp_1354,Vzemi darilno kartico
ScotApp_968,968neuporabljenih
ScotApp_868,Vnos številke avtorizacije:
ScotApp_1433,na tehtnici vrečke.
ScotApp_1687,"Uporabite zaslon ""Status gotovine/papirja"", da napolnite gotovino."
ScotApp_1150,Vrata predalnika za tiskalnik so odprta.
ScotApp_1699,"Nadomestitev je uporabljena, ker %sNapolnite ali odpravite kopičenje, nato pritisnite ""Stanje popravljeno""."
ScotApp_1259,OPREDELJENUPORABNIK1
ScotApp_1223,PRIMANJKLJAJ GOTOVINE / PAPIRJA
ScotApp_1379,cena enote
ScotApp_1432,"<<<Malo bankovcev. Prosim, ponovno napolnite.>>>"
ScotApp_1686,"Nepopravljiva napaka.  Prosim, zaprite vrsto.  Pokličite Gunnebo in predložite spodaj prikazane informacije o napaki.\n\nNapaka SafePay: %s"
ScotApp_1157,Mogoče so odprta vrata avtomat za izdajanje računa.\n\nAvtomat za izdajanje računa ne bo deloval z odprtimi dostopnimi vrati.\n\nZaprite in zaskočite vrata avtomata za izdajanje ali varnostna vrata.
ScotApp_1013,Nakopičeni izdelki
ScotApp_1184,VEČ PODATKOV
ScotApp_1848,"Izdelek izbrisan. Skenirajte naslednji izdelek ali pritisnite ""Vnesi kodo""."
ScotApp_1169,"Odprite vrata predalnika za tiskalnik.\n* Tiskalnik previdno povlecite naprej, dokler ne zaskoči v položaj.\n* Zaprite in zaklenite vrata predalnika za tiskalnik."
ScotApp_1662,Drugi računi
ScotApp_1311,"* Odstranite sprejemalca bankovcev in kaseto.\n* Odprite modul sprejemalca.\n* Preverite glede kopičenja in nato zamenjajte modul.\n* Preverite, ali se je motor sprejemalca bankovcev vklopil in, da je LED lučka zelena."
ScotApp_1025,Odstranite vse izdelke s traku in zaprite varnostni pokrov.
ScotApp_1378,teža
