AmountSaved,Economie
ScotApp_116,Annuler tous les articles
ScotApp_1522,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1506,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1879,"Vérifiez la balance à sacs et appuyez sur ""Annuler l'alerte""."
ScotApp_916,"Vérifiez les articles à la caisse et touchez ""Effacer sécurité""."
ScotApp_816,816unused
ScotApp_1167,"Ouvrir la porte de l'armoire de l'imprimante.\n* Déverrouiller et pousser l'imprimante.\n* Ouvrir le couvercle de l'imprimante pour rechercher d'éventuels bourrages.\n* Pousser doucement l'imprimante jusqu'à son blocage en position."
ScotApp_1518,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1830, Entrées approuvées
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Carte refusée.
ScotApp_483,"Veuillez signer sur le bloc de signature à l'aide du stylo attaché."
ScotApp_383,383unused
ScotApp_283,Saisir le mot de passe
ScotApp_1505,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_983,Chargement de Takeaway Belt...
ScotApp_883,Confirmer la mise en attente
ScotApp_1363,Affichage de la ligne
ScotApp_1714,"ABANDON D'INTERRUPTION APPROUVÉ"
ScotApp_1837,"Appuyez sur ""Approuver"" pour continuer la transaction."
ScotApp_1449,Niveau des billets
ScotApp_1375,"Modification ultérieure de l'article:\n%s"
ScotApp_1248,CARTE CADEAU
ScotApp_1153,Bourrage papier.
ScotApp_1504,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1362,Keylock [Verrou]
ScotApp_1836,CODE-BARRES NON VALIDE
ScotApp_1571,Confirmer Ignorer les changements
ScotApp_1215,ERREUR DE PERIPHERIQUE
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Plus de papier.
ScotApp_1700,"Erreur de distribution %s. %s\n* Vérifiez distributeurs de monnaie et d’argent.\n* S'ils sont vides, remplissez-les.\n* Sinon, supprimez le blocage.\n* Touchez ""Condition corrigée"". "
ScotApp_1823,Le ticket numérique a été généré avec succès.
ScotApp_1605,     Le bac du distributeur de cartes est vide
ScotApp_1361,"Distributeur de monnaie et d'échange"
ScotApp_1835,"Vérifiez l'article ou mettez-le de côté"
ScotApp_1878,Poids incorrect sur la balance à sacs.
ScotApp_1281,PAIEMENT ASSISTE
ScotApp_1425,Connecter
ScotApp_1570,Ignorer les changements
ScotApp_814,814unused
ScotApp_291,"Cylindre du distributeur de monnaie bloqué\n%s\nRetirez le distributeur de monnaie et touchez ""Déblocage""."
ScotApp_191,Transaction Broker chargé.
ScotApp_1151,"Le couvercle de l'imprimante est ouvert."
ScotApp_1707,Des pièces sont coincées dans l’accepteur
ScotApp_1822,"Consultez le poids de l'article en bas à gauche de l'écran"
ScotApp_757,757unused
ScotApp_657,Attendez la fin de l’achat\npour effectuer le remboursement ou la remise.
ScotApp_557,Articles à quantité restreinte
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Message système
ScotApp_1360,Tiroir-caisse
ScotApp_1719,PA:
ScotApp_1834,Max
ScotApp_1868,Assurez-vous que vos mains sont hors de la vue du scanner par la caméra
ScotApp_957,Erreur de communication de DB Manager Client
ScotApp_857,"Vérifier frais d'assemblage"
ScotApp_1064,1064unused
ScotApp_1577,Nombre total :
ScotApp_736,736unused
ScotApp_636,La sécurité est Off-Line.
ScotApp_1091,1091unused
ScotApp_436,Confirmez le montant
ScotApp_336,Rech. art.
ScotApp_236,236unused
ScotApp_136,Insérez les espèces
ScotApp_1509,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1821,Accepter poids
ScotApp_936,Limite\Mise en sac passée
ScotApp_836,Frais & Contrats client
ScotApp_1367,Scanner
ScotApp_1718,NBA:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,"Définir les paramétres d'obligation de mise en sac. (Le client doit mettre l'article en sac.)"
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,"Débiter le compte d'épargne"
ScotApp_115,"Confirmez l'annulation"
ScotApp_1576,"Etat du distributeur d'espèces :"
ScotApp_1090,Exécuter le rapport
ScotApp_815,Ouvrez la caisse
ScotApp_1508,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1406,Sync TB/POS
ScotApp_1099,Erreur de périphérique inconnu
ScotApp_1563,Charger
ScotApp_782,Distributeur de billets bloqué\nRemédier au blocage ou\nAjuster bac de récupération.
ScotApp_682,682unused
ScotApp_582,Paiement terminé.
ScotApp_482,482unused
ScotApp_382,Inconnu
ScotApp_282,Saisir ID
ScotApp_1575,Etat du distributeur de monnaie :
ScotApp_1097,Imprimer rapports
ScotApp_1448,Niveau de monnaie
ScotApp_982,Erreur appareil
ScotApp_143,Signez le reçu
ScotApp_1353,Veuillez déposer votre carte Cadeau périmée dans la fente des coupons.
ScotApp_1704,"Touchez ""J'ai corrigé le problème"".\n\nSi l'erreur persiste, redémarrez le terminal :\nTournez la clé du superviseur sur la position 'S' -OU- Appuyez sur le bouton Superviseur.\nSélectionnez Arrêt de tout le système.\nQuand l'écran devient vide, coupez l'alimentation électrique du terminal au disjoncteur.\nAllumez le terminal. Si l'erreur revient, appelez la maintenance."
ScotApp_1827,\n    - Langue actuelle (%s)
ScotApp_1562,Nombre 
ScotApp_1815,"* Déverrouillez et extrayez le tiroir des chargeurs.\n* Réinsérez le(s) chargeur(s) manquant(s) et assurez-vous que tous les chargeurs sont bien mis.\n* Assurez-vous que le chargeur des pièces de plus petite valeur est inséré et bien mis.\n* Assurez-vous que les bons chargeurs sont insérés. Si l'erreur revient, appelez la maintenance."
ScotApp_1574,La valeur saisie pour %s n’est pas valide.\nEssayez à nouveau.
ScotApp_1543,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1290,D - J
ScotApp_1096,Rapport
ScotApp_1352,Dépôt de la carte Cadeau
ScotApp_1561,Dénomination
ScotApp_1083,"Remettez articles dans zone d'emballage ou touchez ""Article retiré""."
ScotApp_1753,Article introuvable
ScotApp_418,Fin des totaux permanents...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Déverrouillez et extrayez le tiroir des chargeurs (I).\n* Enlevez le(s) récipients(s) coincé(s) des chargeurs. Contrôlez et éliminez tout bourrage dans la zone de sortie (II).\n* En l'absence de bourrage à la sortie, videz le(s) récipient(s). Contrôlez et éliminez tout bourrage en tournant le disque (III).\n* Réinsérez le(s) récipient(s).\n* Assurez-vous que toutes les portes sont bien fermées et verrouillées. Si l'erreur réapparaît, appelez la maintenance."
ScotApp_1095,"Sélectionnez le type de rapport et touchez ""Exécuter le rapport""."
ScotApp_1351,%s\n%s %s supprimé 
ScotApp_1825,Sauvegarder préférences
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Commencez le paiement en espèces.
ScotApp_377,Unités  -  État
ScotApp_277,277unused
ScotApp_1560,Total Accepteur :  %s
ScotApp_1082,Article retiré
ScotApp_977,Poids réel: %s %s
ScotApp_877,Prix
ScotApp_1777,La transaction a été finalisée en utilisant un bon de réduction qui dépasse la limite de bon de réduction du magasin.
ScotApp_1812,Des pièces sont coincées ou les récipients à pièces sont pleins ou sortis.
ScotApp_756,756unused
ScotApp_556,La mise en attente de la transaction est refusée.
ScotApp_456,456unused
ScotApp_356,Cryptage
ScotApp_256,"Fin des sorties d'utilisateur..."
ScotApp_156,Message système
ScotApp_1231,VERIFICATION VISUELLE
ScotApp_1874,1874unused
ScotApp_956,"Arrêtez et redémarrez le terminal:\n* Tournez le commutateur du Superviseur en position ""S"" OU appuyez sur le bouton du Superviseur.\n* Sélectionnez ""Lancez DAA Lors Du Prochain Redémarrage"". Sélectionnez ""Oui"" pour confirmer.\n* Sélectionnez ""Arrêter le système complet"".\n* Lorsque l'écran devient blanc, débranchez le terminal au niveau de l'onduleur ou du bloc multiprises.\n* Allumez le terminal. Vérifiez l'afficheur d'événements. Si l'erreur réapparaît, appelez la maintenance."
ScotApp_856,Reçu:
ScotApp_1567,Total Distributeur :  %s
ScotApp_735,735unused
ScotApp_635,Saisir la date de naissance du client
ScotApp_535,"Rappelé en raison de l'heure"
ScotApp_335,Lecteur de carte: éventuelle falsification par le client
ScotApp_235,État du monnayeur espèces: presque plein
ScotApp_135,135unused
ScotApp_1776,Autorisation de magasin
ScotApp_1811,"* Extrayez le recycleur de pièces.\n* Éliminez les bourrages de la zone indiquée en enlevant les pièces ou en les poussant vers l'avant.\n* Rendez les pièces au client. Si l'erreur revient, appelez la maintenance."
ScotApp_935,Diminution du poids
ScotApp_835,Reçu:
ScotApp_1708,"Appuyez plusieurs fois sur le bouton de récupération des pièces pour éliminer le bourrage, puis sur ""J'ai corrigé le problème"".\n\nSi l'erreur revient, appelez la maintenance."
ScotApp_1168,Imprimante non verrouillée en position avant.
ScotApp_1446,Décharger
ScotApp_1566,Remplacer tout
ScotApp_1080,"Posez l'article sur le tapis roulant."
ScotApp_1775,Approuver bon\nde réduction
ScotApp_1810,Des pièces sont coincées.
ScotApp_1297,LE MINUTEUR POUR RENDRE LA MONNAIE A EXPIRE
ScotApp_1648,(mmjjaa)
ScotApp_708,708unused
ScotApp_608,Définir comparaison des poids
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,Coupon sans correspondance
ScotApp_781,781unused
ScotApp_681,Sélection parmi favoris
ScotApp_581,La mise en attente de la transaction est refusée.
ScotApp_481,Aide requise
ScotApp_381,Normal
ScotApp_908,Sécurité
ScotApp_521,Montant remboursé:
ScotApp_1087,Carte acceptée. Scannez vos articles et coupons.
ScotApp_981,981unused
ScotApp_881,Mise en attente:
ScotApp_1774,Coupon trop élevé
ScotApp_1296,"Remplissez tous les récipients pour pièces jusqu'à des niveaux optimaux."
ScotApp_1583,Devise en baisse (%s)
ScotApp_1552,compartiment plein
ScotApp_1295,T - Z
ScotApp_1877,Alerte de vol
ScotApp_1761,"Soit le récipient à bons de réduction est plein, soit l'ouverture pour les bons est bloquée. Enlevez tout objet bloquant l'ouverture puis videz le réservoir à bons de réduction."
ScotApp_1086,"""Ajouter poids nul"" efface toutes les saisies."
ScotApp_693,693unused
ScotApp_794,Cassette du distributeur de billets bloquée.\nRemédier au blocage.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap: chargé.
ScotApp_494,Sélectionnez dans la liste le montant des espèces demandées.
ScotApp_394,394unused
ScotApp_1098,"Ouvrir la porte de l'armoire de l'imprimante.\nVérifier s'il y a un bourrage papier dans la zone indiquée.\nEn l'absence de bourrage, recharger le papier.\nUn ticket avec une Happy Face devrait s'imprimer.\nFermer et verrouiller la porte de l'armoire de l'imprimante."
ScotApp_1551,le numéraire est élévé (%s)
ScotApp_994,Fermé
ScotApp_894,DBM chargé
ScotApp_1760,"Soit le récipient à bons de réduction est plein, soit l'ouverture pour les bons est bloquée. Enlevez tout objet bloquant l'ouverture puis videz le réservoir à bons de réduction."
ScotApp_1371,Récepteur d’espèces
ScotApp_1803,"N'accepter que la monnaie"
ScotApp_1359,Imprimante des bordereaux
ScotApp_1085,Prenez les coupons
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Distr. rempli le %s à %s
ScotApp_1491,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_476,Dépôt de coupon
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Voulez-vous cesser le scanning des articles et annuler tous vos achats ?
ScotApp_976,976unused
ScotApp_876,"Entrez l'ID de la chef-caissière et touchez ""Entrée""."
ScotApp_1271,USERDEFINED13
ScotApp_1767,"Impossible d'accéder aux paramètres de poids de la balance."
ScotApp_755,Traitement en cours...
ScotApp_655,"Article d'exception"
ScotApp_1084,Encaissement
ScotApp_455,455unused
ScotApp_355,Sélectionnez la fonction système
ScotApp_255,255unused
ScotApp_155,Message système
ScotApp_1011,En cours de transport...
ScotApp_869,"Entrez le n° d'autorisation, puis touchez ""Entrée""."
ScotApp_955,"Erreur d'ouverture de Smart Scale"
ScotApp_855,"Frais d'assemblage :"
ScotApp_23,+ %s (%s)
ScotApp_1766,Erreur scanner/balance.
ScotApp_1280,ESPECE
ScotApp_1335,Caisse fermée
ScotApp_1497,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_728,728unused
ScotApp_628,Caisse n°: %d
ScotApp_528,528unused
ScotApp_428,Jaune
ScotApp_328,"Échec de distribution de billets de %s au client.\n* Vérifiez distributeurs de monnaie et d’argent.\n* S'ils sont vides, remplissez-les.\n* Sinon, supprimez le blocage.\n* Appuyez sur ""J'ai corrigé le problème"". "
ScotApp_228,Lecteur de carte: volet bloqué en position fermée
ScotApp_128,128unused
ScotApp_1690,Veuillez appeler la maintenance
ScotApp_281,281unused
ScotApp_181,"\nUtilisez le clavier pour saisir la valeur du coupon en cents\net appuyez sur ""OK""."
ScotApp_928,"Allez à la caisse et vérifiez l'appareil."
ScotApp_828,828unused
ScotApp_1033,"Désactivez l'article ou retirez le dispositif antivol à la caisse et touchez ""Effacer sécurité""."
ScotApp_1496,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_680,680unused
ScotApp_580,"Tentative d'annulation d'un article avant l'annulation de son coupon."
ScotApp_380,380unused
ScotApp_280,Effacer le journal de sécurité
ScotApp_180,"Mettez les coupons de côté pour l'instant. Déposez-les à la fin de vos achats."
ScotApp_1364,Micr
ScotApp_980,Délai expiré sans réponse du client
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01lb Max 30.00lb min 0.2lb Nmax 3000
ScotApp_1032,Article EAS encore actif.
ScotApp_1286,Français
ScotApp_1462,Bacs
ScotApp_1298,Fonctions assistées par un opérateur
ScotApp_1031,Scannez vos coupons.
ScotApp_1482,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1706,"L'appareil n'est pas prêt.\n* Fermez toute autre application susceptible d'accéder à l'appareil et appuyez sur ""J'ai corrigé le problème"".\n* Si l'erreur réapparaît, appelez Gunnebo pour réparer."
ScotApp_1399, Préposé
ScotApp_1494,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1672,Erreur du recycleur de monnaie
ScotApp_573,"Tapez votre ID puis appuyez sur ""Entrée""."
ScotApp_173,173unused
ScotApp_775,Bienvenue sur NCR SelfServ Checkout! Bons Achats!
ScotApp_675,Distributeur de monnaie rempli
ScotApp_1481,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Essayez à nouveau
ScotApp_39,Annulation de transaction
ScotApp_29,Articles à vente restreinte
ScotApp_19,Taxe
ScotApp_975,975unused
ScotApp_603,Modifier saisie poids
ScotApp_99,Quantité à annuler
ScotApp_89,89unused
ScotApp_303,Annuler des articles
ScotApp_203,203unused
ScotApp_103,"Saisissez le code de l'article."
ScotApp_1889,Niveau de confiance
ScotApp_1443,"Insérez des pièces pour recharger la cassette ou touchez ""Retirer des espèces"" pour la décharger."
ScotApp_903,Article retiré de la balance de sécurité.
ScotApp_803,803unused
ScotApp_1555,Distributeur
ScotApp_1037,Rendu espèces
ScotApp_1480,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1263,USERDEFINED5
ScotApp_1697,Déblocage
ScotApp_748,748unused
ScotApp_648,CPU
ScotApp_548,548unused
ScotApp_448,Le compte de client régulier\na été activé.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_948,\n* Assistance à distance
ScotApp_848,Quantité requise:
ScotApp_485,Signature requise
ScotApp_1036,Article EAS actif
ScotApp_1487,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1499,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1023,1023unused
ScotApp_1179,"TEMPS D'INACTIVITE DU CLIENT DEPASSE"
ScotApp_1035,Article EAS actif
ScotApp_1682,"Erreur générale de l'unité de lecture des billets"
ScotApp_1486,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1144,Le distributeur ne répond pas.
ScotApp_866,Oui
ScotApp_1498,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1384,Langue
ScotApp_1743,"Saisissez votre identif. et appuyez sur ""Entrée"" ou placez votre doigt sur le lecteur d'empreintes pour vous connecter."
ScotApp_1319,BON
ScotApp_1178,"LIMITE ""RETRAIT EFFECTUE"" DEPASSEE"
ScotApp_1001,Article non trouvé
ScotApp_1034,1034unused
ScotApp_1485,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1068,1068unused
ScotApp_1694,"La substitution a lieu car %s.  Touchez ""État Cash / Papier"" pour remplir ou débloquer."
ScotApp_1165,"Pousser doucement l'imprimante jusqu'à son blocage en position.\n\nFermer et verrouiller la porte de l'armoire de l'imprimante."
ScotApp_1021,Attention
ScotApp_1230,DEPT. NEGATIF
ScotApp_1484,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_912,Approuver & Mettre à jour
ScotApp_723,723unused
ScotApp_623,"Saisissez la tolérance à l'aide du clavier et appuyez sur <Entrée>."
ScotApp_523,Carte refusée
ScotApp_423,"Insérez la carte. Veuillez vérifier qu'il ne reste pas d'articles dans le panier."
ScotApp_323,  Qté %d @ %d/%s
ScotApp_223,Lecteur de carte: compartiment de saisie plein
ScotApp_123,123unused
ScotApp_1020,Scannez article
ScotApp_923,923unused
ScotApp_823,Approuver annulation
ScotApp_1483,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1237,COUPON
ScotApp_1680,Erreur irrécupérable.  Veuillez fermer la caisse.  Appelez Gunnebo et fournissez les informations affichées ci-dessous et concernant l’erreur.\n\nErreur SafePay: %s
ScotApp_702,702unused
ScotApp_602,Modifiez/ajoutez\nla saisie du poids
ScotApp_502,"Mettez l'article annulé de côté."
ScotApp_402,Non présent
ScotApp_302,Veuillez saisir votre code secret\nsur le terminal de paiement.
ScotApp_202,Test de déconnexion...
ScotApp_102,Article rappelé
ScotApp_1722,La caisse est en Mode Formation. Poursuivre la transaction?
ScotApp_902,Article retiré de la zone de mise en sac. Rapportez article.
ScotApp_802,"\nAchat d'un panier complet\nde %s?\n\nSélectionnez ""Oui"" ou ""Non""."
ScotApp_568,Effacer
ScotApp_468,   Rappelé
ScotApp_368,Imprimante: erreur de chargement du papier
ScotApp_268,Erreur lecture carte
ScotApp_1027,"Touchez ""Oui"" pour annuler la transaction ou ""Non"" pour continuer."
ScotApp_1354,Collecter la carte Cadeau
ScotApp_968,968unused
ScotApp_868,"Saisir le numéro d'autorisation:"
ScotApp_1433,balance de mise en sac.
ScotApp_1687,"Utilisez l'écran ""État Cash / Papier"" pour charger les espèces."
ScotApp_1150,"La porte de l'armoire de l'imprimante est ouverte."
ScotApp_1699,Substitution car %sRecharger ou éliminer le bourrage. Appuyez ensuite sur « Situation corrigée ».
ScotApp_1259,USERDEFINED1
ScotApp_1223,"MANQUE D'ESPECE/DE PAPIER"
ScotApp_1379,prix unitaire
ScotApp_1432,<<<Niveau des billets bas. Veuillez remplir.>>>
ScotApp_1686,Erreur irrécupérable.  Veuillez fermer la caisse.  Appelez Gunnebo et fournissez les informations affichées ci-dessous et concernant l’erreur.\n\nErreur SafePay: %s
ScotApp_1157,La porte du distributeur de billets est peut-être ouverte.\n\n Le distributeur de billets ne fonctionnera pas avec la porte ouverte.\n\nFermer et verrouiller la porte du coffre ou du distributeur.
ScotApp_1013,Articles empilés
ScotApp_1184,PLUS DE DONNEES
ScotApp_1848,"Article supprimé. Scannez l'article suivant ou appuyez sur ""Tapez le code""."
ScotApp_1169,"Ouvrir la porte de l'armoire de l'imprimante.\n\nPousser doucement l'imprimante jusqu'à son blocage en position.\n\nFermer et verrouiller la porte de l'armoire de l'imprimante."
ScotApp_1662,Autres reçus
ScotApp_1311,* Retirez le récepteur de billet.\n* Ouvrez le module du récepteur.\n* Vérifiez qu’il n’y ait pas un bourrage puis remettez le module en place.\n* Vérifiez que le moteur du récepteur de billet est allumé et que le voyant lumineux est vert.
ScotApp_1025,Retirez tous les articles du tapis roulant et fermez le capot de sécurité.
ScotApp_1378,poids
ScotApp_22,"Pas de\n distribution d'espèces\n+ 0          \n(%s)"
ScotApp_1234,QUANTITE LIMITEE
ScotApp_1685,"Erreur générale de l'unité des pièces"
ScotApp_1156,"Vérifier que l'interrupteur secteur du distributeur est sur la position on."
ScotApp_1012,Votre article est en cours de transport.
ScotApp_1365,MSR
ScotApp_1235,ARTICLE EAS ACTIF
ScotApp_1221,SOLDE NEGATIF
ScotApp_1143,Il n’y a plus beaucoup de pièces ou le récipient pour pièces n’est pas présent.
ScotApp_434,Type de prestation
ScotApp_1625,"Insérez les pièces pour réalimenter l'unité ou touchez ""Retirer les pièces"" pour décharger."
ScotApp_1430,Annuler article
ScotApp_1684,Erreur du recycleur de monnaie
ScotApp_1155,Le périphérique est offline.
ScotApp_834,Frais && Contrats client :
ScotApp_799,Vérifiez panier
ScotApp_699,Article invendable
ScotApp_599,Remise à zéro du périphérique de formulaires...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,"Sorties d'utilisateur chargées."
ScotApp_743,743unused
ScotApp_643,"Article supprimé. Scannez l'article suivant."
ScotApp_543,"L'ID opérateur ne peut pas dépasser %d chiffres."
ScotApp_343,343unused
ScotApp_243,Lecteur de carte: carte invalide
ScotApp_999,Limite dépassée
ScotApp_899,Approuver annulation de
ScotApp_1220,EFT
ScotApp_1142,Erreur distributeur de monnaie
ScotApp_943,Mettre en sac ou en carton
ScotApp_843,843unused
ScotApp_1437,"Limite ""Retirez l'article"" dépassée"
ScotApp_1601,     Le niveau du bac du distributeur de cartes est bas
ScotApp_722,722unused
ScotApp_622,Modifier la tolérance pour le CPU
ScotApp_522,Code secret incorrect
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Séquence de requêtes de l'imprimante: Vérifiez l’imprimante ou le journal des événements pour trouver l'erreur, puis appuyez sur ""J'ai corrigé le problème""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,"Approuver l'article annulé."
ScotApp_1715,"Approbation d'abandon d'interruption"
ScotApp_1227,CRENEAU HORAIRE LIMITE
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,"Insérez la carte. Veuillez vérifier qu'il ne reste pas d'articles dans le panier."
ScotApp_301,Saisissez la valeur du coupon
ScotApp_201,Test de connexion...
ScotApp_101,Prix inconnu
ScotApp_1633,Erreur du recycleur de billets
ScotApp_901,"Passez l'approbation de la mise en sac"
ScotApp_801,"Achat d'un panier"
ScotApp_1824,"Le ticket numérique n'a pas été généré."
ScotApp_1328,Double du poids
ScotApp_1299,Démarrer transaction et Entrer en mode assisté
ScotApp_1226,ARTICLE RAPPELE
ScotApp_1140,Bourrage dans distributeur de billets.
ScotApp_1579,Accepteur de billets
ScotApp_1426,%s\n%d est-il correct ?
ScotApp_1632,"Retirez le capot du bac des billets. Vérifiez la connexion du validateur de billets et recommencez. Si l'erreur revient, appelez la maintenance.\n\nErreur SafePay: %s"
ScotApp_1141,Impossible de distribuer %s. ATTENTION : un billet peut être froissé en haut du distributeur de billets.
ScotApp_1791,Monnaie uniquement
ScotApp_1357,Collecter la carte Cadeau
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,"L'obligation de mise en sac"
ScotApp_514,514unused
ScotApp_314,problème de compartiment
ScotApp_214,Débiter le compte chèques
ScotApp_114,"Impossible d'annuler l'article"
ScotApp_1369,Misc div.
ScotApp_78,"Automate Bancaire (pas d'espèces)"
ScotApp_1630,Erreur du recycleur de billets
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Allez à la caisse, retirez les articles en trop, puis touchez ""Effacer sécurité""."
ScotApp_1422,Scanner portable
ScotApp_18,Total
ScotApp_1147,Erreur balance de sécurité
ScotApp_1578,Valeur totale :
ScotApp_1022,Passez tapis roulant
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Créneau horaire limité
ScotApp_1434,"Limite d'âge"
ScotApp_1356,Collecter
ScotApp_1212,AUTRE
ScotApp_1455,Numéro incorrect
ScotApp_1713,"Appuyez sur ""Approuver"" pour abandonner l'interruption"
ScotApp_1565,Saisissez Charger valeur pour %s
ScotApp_194,Chargement gestionnaire de périphériques...
ScotApp_1275,USERDEFINED17
ScotApp_1146,"L'accepteur ne répond pas."
ScotApp_1303,Carte de fidélité acceptée:  #%s
ScotApp_70,70unused
ScotApp_60,"Demander de l'aide"
ScotApp_50,50unused
ScotApp_40,Autorisation de magasin
ScotApp_30,Articles annulés
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,"Impossible d'annuler l'article avant d'annuler son coupon. Annulez d'abord le coupon de l'article."
ScotApp_1211,PAR DEFAUT
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,Erreur de saisie du code secret
ScotApp_463,"Fin de l'autorisation à distance..."
ScotApp_363,"\nUtilisez le clavier pour saisir le mot de passe de l'opérateur."
ScotApp_163,163unused
ScotApp_1420,Annuler article\n%s?
ScotApp_1145,Erreur accepteur de monnaie
ScotApp_963,Annuler la demande
ScotApp_863,Saisir la valeur du coupon
ScotApp_1816,Des pièces sont coincées ou la porte est ouverte.
ScotApp_1637,Problème de câblage
ScotApp_742,742unused
ScotApp_642,"Article ajouté. Scannez l'article suivant."
ScotApp_542,"Impossible de créer un code à barres d'opérateur."
ScotApp_342,Description de type
ScotApp_242,Lecteur de carte: blocage de la carte
ScotApp_142,Confirmez le montant
ScotApp_1210,DERNIERE VUE
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Paiement assisté par opérateur
ScotApp_1427,"Modifier la quantité pour l'article: \n%s"
ScotApp_721,721unused
ScotApp_621,Défaut
ScotApp_1341,Contrôle du volume
ScotApp_421,"Scannez vos articles ou appuyez sur ""Démarrer"" pour commencer."
ScotApp_321,Vérification de transaction
ScotApp_221,"Fermer et verrouiller la porte de l'armoire de l'imprimante."
ScotApp_121,les articles de cette caisse.
ScotApp_1636,Erreur du recycleur de monnaie
ScotApp_921,Poids attendu sur la balance de sécurité.
ScotApp_821,821unused
ScotApp_600,Maintenance Sécurité
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,Sigcap
ScotApp_200,Test du Transaction Broker...
ScotApp_100,Quantité requise
ScotApp_1076,Attention
ScotApp_1623,Transférer billets vers cassette pour retrait.
ScotApp_1340,Arrêter le système
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Le récipient du chargeur est sorti ou mal mis.
ScotApp_1758,Erreur du récipient à bons de réduction
ScotApp_1635,"Vérifiez le câble de connexion au recycleur de billets et réessayez. Si l'erreur revient, appelez la maintenance.\n\nErreur SafePay: %s"
ScotApp_1557,Décharger Distributeur
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Articles avec restriction horaire
ScotApp_1413,"Veuillez terminer la transaction dans les # prochaines minutes. Une coupure d'alimentation pourrait se produire bientôt."
ScotApp_334,Erreur sur lecteur de carte: pas de carte
ScotApp_234,"Retirer cassette de billets.\n\nRetirer billets de la cassette.\n\nRéinsérer cassette jusqu'à verrouillage en position.\n\nTirer sur la poignée de la cassette pour vérifier qu'elle est bloquée en position."
ScotApp_1569,Valeur
ScotApp_1801,"Mode d'opération"
ScotApp_934,Augmentation du poids
ScotApp_1622,Cassette
ScotApp_768,Confirmation stand-by
ScotApp_668,"L'impression de signature a réussi."
ScotApp_1347,Tentative de reconnexion
ScotApp_1778,Effacer sécurité
ScotApp_168,"Scannez vos coupons et mettez-les de côté jusqu'à la fin de vos achats."
ScotApp_1203,DOCUMENT ENDOSSE
ScotApp_1634,Problème de câblage
