AmountSaved,Epargné
ScotApp_1080,"Mettez l'article sur le tapis."
ScotApp_1775,Approuver le coupon
ScotApp_1810,Les pieces sont coincées.
ScotApp_1297,DELAIS POUR LA PRISE DU CHANGE EXPIRÉ
ScotApp_1648,(mmjjaa)
ScotApp_708,708unused
ScotApp_608,Réglez la comparaison des poids
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,Coupon non assorti
ScotApp_781,781unused
ScotApp_681,Liste des favoris
ScotApp_581,La suspension de transaction est refusée
ScotApp_481,Aide requise
ScotApp_381,Normal
ScotApp_908,Sécurité
ScotApp_521,Montant remboursé :
ScotApp_1087,Carte acceptée. Scannez vos articles et vos coupons.
ScotApp_981,981unused
ScotApp_881,Mise en attente:
ScotApp_1774,Coupon trop élevé
ScotApp_1296,Remplir tous les réservoirs de monnaie au niveau de service optimal.
ScotApp_1583,numéraire en baisse (%s)
ScotApp_1552,compartiment plein
ScotApp_1295,T - Z
ScotApp_1877,Alerte de vol
ScotApp_1761,"Soit le récipient à bons de réduction est plein, soit l'ouverture pour les bons est bloquée. Enlevez tout objet bloquant l'ouverture puis videz le réservoir à bons de réduction."
ScotApp_1086,"""Ajouter poids a zéro"" efface toutes les entrées de poids."
ScotApp_693,693unused
ScotApp_794,"Cassette du distributeur d'argent bloquée\nRetirer cassette bloquée."
ScotApp_694,694unused
ScotApp_594,Capteur de signature de NCR SelfServ Checkout chargé.
ScotApp_494,"Sélectionnez le montant d'argent remis sur la liste."
ScotApp_394,394unused
ScotApp_1098,"Ouvrez la porte d’imprimante du cabinet.\nVérifiez si le papier est coincé a l’endroit indiqué.\nSi il n’y a pas de papier de coincé, rechargez le papier.\nUn reçu avec une face souriante devrait s’imprimer.\nFermez et verrouillez la porte de l’imprimante du cabinet."
ScotApp_1551,le numéraire est élévé (%s)
ScotApp_994,Fermé
ScotApp_894,DBM chargé
ScotApp_1760,"Soit le récipient à bons de réduction est plein, soit l'ouverture pour les bons est bloquée. Enlevez tout objet bloquant l'ouverture puis videz le réservoir à bons de réduction."
ScotApp_1371,Accepteur d’argent
ScotApp_1803,Acceptez l’argent comptant seulement
ScotApp_1359,Imprimante de reçu
ScotApp_1085,Ramassez les coupons
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Distributeur rempli le %s à %s
ScotApp_1491,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_476,Remise de coupon
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Voulez-vous mettre fin au scan des articles et annuler tous vos achats?
ScotApp_976,976unused
ScotApp_876,"Entrez code du superviseur et appuyez sur ""Entrée""."
ScotApp_1271,USERDEFINED13
ScotApp_1767,Impossible d’accéder aux paramètres de pesée de la balance.
ScotApp_755,Traitement en cours...
ScotApp_655,Item d’exception
ScotApp_1084,Ramassement
ScotApp_455,455unused
ScotApp_355,Choisissez une fonction caissière
ScotApp_255,255unused
ScotApp_155,Message système
ScotApp_1011,En déplacement...
ScotApp_869,"Entrez le num. d’autorisation et appuyez sur ""Entrée""."
ScotApp_955,L’ouverture de la balance Smart a échoué
ScotApp_855,Frais assemblage:
ScotApp_23,+ %s (%s)
ScotApp_1766,Erreur de scanner/balance.
ScotApp_1280,COMPTANT
ScotApp_1335,Poste fermé
ScotApp_1497,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_728,728unused
ScotApp_628,Numéro de couloir : %d
ScotApp_528,528unused
ScotApp_428,Jaune
ScotApp_328,"Impossible de remettre les %s au client.\n* Vérifiez les distributeurs de monnaie et d’argent.\n* Si vides, remplissez-les.\n* Si non vides, enlevez bourrage.\n* Appuyez sur "" J’ai corrigé le problème ""."
ScotApp_228,Volet de lecteur de carte bloqué en position fermée
ScotApp_128,128unused
ScotApp_1690,Veuillez appeler le service d’assistance.
ScotApp_281,281unused
ScotApp_181,"\nUtilisez le clavier pour entrer la valeur du coupon en cents et appuyez sur ""OK""."
ScotApp_928,"Allez à la caisse et vérifiez l'appareil."
ScotApp_828,828unused
ScotApp_1033,"Désactivez l'article ou enlevez l'étiquette et appuyez sur ""Effacer sécurité""."
ScotApp_1496,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_680,680unused
ScotApp_580,"Tentative d'annuler un article avant l'annulation de son coupon."
ScotApp_380,380unused
ScotApp_280,Effacez le journal de sécurité
ScotApp_180,Mettez les coupons de côté.\n\Déposez-les à la fin de vos achats.
ScotApp_1364,Micr
ScotApp_980,Minuteur expiré sans réponse du client
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01lb Max 30.00lb min 0.2lb Nmax 3000
ScotApp_1032,Article EAS encore activé.
ScotApp_1286,Quebecois
ScotApp_1462,Bac
ScotApp_1298,Fonctions assistées par opérateur
ScotApp_1031,Scannez vos coupons.
ScotApp_1482,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1706,"L’appareil n’est pas prêt.\n* Fermez toute autre application pouvant utiliser l’appareil puis appuyez sur ""J’ai corrigé le problème"".\n* Si l’erreur se produit de nouveau, appelez Gunnebo pour obtenir du service."
ScotApp_1399, Préposé
ScotApp_1494,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1672,Erreur du recycleur de monnaie
ScotApp_573,"Entrez num. identification et appuyez ""Entrée""."
ScotApp_173,173unused
ScotApp_775,Bienvenue au NCR SelfServ Checkout!
ScotApp_675,Remplissage de la distributrice de monnaie
ScotApp_1481,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Essayez à nouveau
ScotApp_39,Annulation de transaction
ScotApp_29,Articles réglementés
ScotApp_19,Taxe
ScotApp_975,975unused
ScotApp_603,"Modifiez l'entrée du poids"
ScotApp_99,Quantité à annuler
ScotApp_89,89unused
ScotApp_303,Annulez des articles
ScotApp_203,203unused
ScotApp_103,"Entrez le code de l'article."
ScotApp_1889,Niveau de confiance – sécurité
ScotApp_1443,"Insérez de la monnaie pour recharger la cassette ou appuyez sur ""Retirer des espèces"" pour la décharger."
ScotApp_903,Article retiré de la balance de sécurité.
ScotApp_803,803unused
ScotApp_1555,Distributeur
ScotApp_1037,Argent retourné
ScotApp_1480,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1263,USERDEFINED5
ScotApp_1697,Débloqué
ScotApp_748,748unused
ScotApp_648,CUP
ScotApp_548,548unused
ScotApp_448,Le compte de client régulier a été activé.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_948,\n* Assistance magasin
ScotApp_848,Quantité requise:
ScotApp_485,Signature requise
ScotApp_1036,Article EAS activé
ScotApp_1487,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1499,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1023,1023unused
ScotApp_1179,DÉLAIS DE NON PRÉSENCE EXPIRÉE
ScotApp_1035,Article EAS activé
ScotApp_1682,Erreur générale du lecteur de billets
ScotApp_1486,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1144,La distributrice ne répond pas.
ScotApp_866,Oui
ScotApp_1498,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1384,Langue
ScotApp_1743,"Entrez votre nom d’utilisateur puis appuyez sur la touche ""Entrée"" ou placez votre doigt sur le lecteur d’empreinte pour ouvrir une session."
ScotApp_1319,BONS
ScotApp_1178,DÉLAIS D’ARTICLE ENLEVÉ EXPIRÉ
ScotApp_1001,Article non trouvé
ScotApp_1034,1034unused
ScotApp_1485,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1068,1068unused
ScotApp_1694,"La substitution est utilisée parce que %s. Touchez ""Etat Cash / Papier"" pour remplir ou enlever le blocage."
ScotApp_1165,Tirez avec soin sur l’imprimante jusqu’a ce qu’elle soit en place.\n\nFermez et verrouillez la porte d’imprimante du cabinet.
ScotApp_1021,Attention
ScotApp_1230,RAYON NÉGATIF
ScotApp_1484,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_912,Approuver & MAJ poids
ScotApp_723,723unused
ScotApp_623,"Entrez la tolérance à l'aide du clavier et appuyez sur ""Entrée""."
ScotApp_523,Carte refusée
ScotApp_423,"Insérez la carte. Assurez-vous que le panier ne contient pas d'articles supplémentaires."
ScotApp_323,  Qté %d @ %d/%s
ScotApp_223,Compartiment de saisie du lecteur de carte plein
ScotApp_123,123unused
ScotApp_1020,Scannez article
ScotApp_923,923unused
ScotApp_823,Annuler approbation
ScotApp_1483,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1237,COUPON
ScotApp_1680,Erreur irrécupérable.  Veuillez fermer la caisse.  Appeler Gunnebo et donner l’information sur l’erreur indiquée ci-dessous.\n\nErreur SafePay: %s
ScotApp_702,702unused
ScotApp_602,"Modifiez/ajoutez\nl'entrée du poids"
ScotApp_502,"Remettez l'article annulé à la caissière."
ScotApp_402,Non présent
ScotApp_302,Veuillez entrer votre NIP sur l’appareil de paiement.
ScotApp_202,Vérification de la déconnexion...
ScotApp_102,Article rappelé
ScotApp_1722,Caisse en mode entraînement. Voulez-vous poursuivre la transaction?
ScotApp_902,"Retournez l'article dans zone de mise en sac."
ScotApp_802,"\nAchat d'un panier complet\nde %s?\n\nSélectionnez ""Oui"" ou ""Non""."
ScotApp_568,Effacer
ScotApp_468,   Rappelé
ScotApp_368,"Blocage de type ""papier d'imprimante non chargé"""
ScotApp_268,Erreur lecture carte
ScotApp_1027,"Appuyez ""Oui"" pour annuler transaction ou ""Non"" pour reprendre transaction."
ScotApp_1354,Prennez la carte cadeau
ScotApp_968,968unused
ScotApp_868,Numéro d’autorisation:
ScotApp_1433,balance d’emballage.
ScotApp_1687,"Utilisez l'écran ""Etat Cash / Papier"" pour charger les espèces."
ScotApp_1150,La porte du cabinet est ouverte.
ScotApp_1699,"La substitution est utilisée car %s. Remplissez ou remédiez au blocage avant d’appuyer sur ""Problème corrigé""."
ScotApp_1259,USERDEFINED1
ScotApp_1223,MANQUE MÉDIA D’ARGENT COMPTANT
ScotApp_1379,prix unitaire
ScotApp_1432,<<<Bas niveau de billets. Veuillez remplir.>>>
ScotApp_1686,Erreur irrécupérable.  Veuillez fermer la caisse.  Appeler Gunnebo et donner l’information sur l’erreur indiquée ci-dessous.\n\nErreur SafePay: %s
ScotApp_1157,La porte d’accès de la distributrice de billets est peut être ouverte.\n\nLa distributrice de billets ne peut pas fonctionner si la porte d’accès est ouverte.\n\nFermez et verrouillez complètement la porte de la distributrice de billets ou du coffre.
ScotApp_1013,Articles entassés
ScotApp_1184,PLUS DE DONNÉES
ScotApp_1848,"Article supprimé. Scannez l’article suivant ou appuyez sur ""Entrez le code""."
ScotApp_1169,Ouvrez la porte d’imprimante du cabinet.\n* Tirez sur l’imprimante avec soin jusqu’a ce qu’elle soit en place.\n* Fermez et verrouillez la porte d’imprimante du cabinet.
ScotApp_1662,Autres reçus
ScotApp_1311,* Enlevez l’accepteur d’argent.\n* Ouvrez le module de l’accepteur.\n* Vérifiez que rien n’est coincé et remettez le module a sa place.\n* Vérifiez que le moteur de l’accepteur d’argent fonctionne et que le voyant lumineux est au vert.
ScotApp_1025,Retirez tous les articles du convoyeur et fermez le couvercle de sécurité.
ScotApp_1378,poids
ScotApp_22,Pas de\n remise d’argent\n+ 0          \n(%s)
ScotApp_1234,QUANTITÉ RESTREINTE
ScotApp_1685,Erreur générale de l’appareil de monnaie
ScotApp_1156,Assurez vous que la distributrice est allumée.
ScotApp_1012,Votre article est déplacé.
ScotApp_1365,LCM
ScotApp_1235,ARTICLE EAS ACTIF
ScotApp_1221,TRANSACTION NÉGATIVE
ScotApp_1143,Le niveau de la monnaie est bas ou le réservoir de monnaie est absent.
ScotApp_434,"Type d'indemnité"
ScotApp_1625,"Insérez de la monnaie pour recharger la cassette ou appuyez sur ""Retirer de la monnaie"" pour la décharger."
ScotApp_1430,Annuler l’article
ScotApp_1684,Erreur du recycleur de monnaie
ScotApp_1155,Périphérique est hors-ligne.
ScotApp_834,Frais && ententes client:
ScotApp_799,Vérifiez Panier
ScotApp_699,Article invendable
ScotApp_599,Remise à zéro du périphérique de formulaires...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,"Sorties d'utilisateur chargées."
ScotApp_743,743unused
ScotApp_643,Article supprimé. Scannez le prochain article.
ScotApp_543,"Le numéro d'identification d'opérateur ne peut comprendre plus de %d chiffres."
ScotApp_343,343unused
ScotApp_243,Carte non valide dans le lecteur de carte
ScotApp_999,Limite excédée
ScotApp_899,Approuver annulation pour
ScotApp_1220,EFT
ScotApp_1142,Erreur de la distributrice de monnaie
ScotApp_943,J’utilise mon propre sac.
ScotApp_843,843unused
ScotApp_1437,"Seuil ""Retirer l’article"" dépassé"
ScotApp_1601,     Le compartiment du distributeur de carte est presque vide
ScotApp_722,722unused
ScotApp_622,Modifiez la tolérance pour le CUP
ScotApp_522,Mauvais NIP
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Séquence de demande d’impression: Vérifiez l’imprimante et les messages d’erreurs affichés et appuyez sur ""J’ai corrigé le problème""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Approuvez article annulé.
ScotApp_1715,Approbation de refus de mise en attente
ScotApp_1227,TEMPS LIMITÉ
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,"Insérez la carte. Assurez-vous que le panier ne contient pas d'articles supplémentaires."
ScotApp_301,Entrez la valeur du coupon
ScotApp_201,Vérification de la connexion...
ScotApp_101,Prix inconnu
ScotApp_1633,Erreur du recycleur de billet
ScotApp_901,"Ignorez l'approbation de mise en sac."
ScotApp_801,"Achat d'un panier"
ScotApp_1824,N’enlevez pas le dispositif de la plaque de base.
ScotApp_1328,Poids en double
ScotApp_1299,Commencez la transacton et entrez le mode d’assistance
ScotApp_1226,ARTICLE RAPPELÉ
ScotApp_1140,L’accepteur de billets a des billets coincés.
ScotApp_1579,Accepteur de billets
ScotApp_1426,%s\nEst-ce que %d est correct?
ScotApp_1632,"Retirez le couvercle pour les billets. Vérifiez le câble vers le valideur de billets et essayez de nouveau. Si l’erreur survient de nouveau, appelez le service.\n\nErreur SafePay: %s"
ScotApp_1141,Distribution de %s a échouée. ATTENTION: Des billets peuvent être coincés dans la partie supérieure de la distributrice de billets.
ScotApp_1791,Argent comptant seulement
ScotApp_1357,Prennez la carte cadeau
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Mise en sac forcée
ScotApp_514,514unused
ScotApp_314,problème de compartiment
ScotApp_214,Débitez le compte de chèques
ScotApp_114,"Incapable d'annuler un article"
ScotApp_1369,Divers
ScotApp_78,GAB-aucun comptant
ScotApp_1630,Erreur du recycleur de billet
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Allez à la caisse, retirez articles en trop et appuyez ""Effacer sécurité""."
ScotApp_1422,Scanner portatif
ScotApp_18,Total
ScotApp_1147,Erreur avec la balance de sécurité
ScotApp_1578,Valeur totale :
ScotApp_1022,Ignorez convoyeur
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Restriction d’heure
ScotApp_1434,"Limite d'âge"
ScotApp_1356,Prennez
ScotApp_1212,AUTRE
ScotApp_1455,Numéro incorrect
ScotApp_1713,Appuyez sur Approuver le refus de mise en attente
ScotApp_1565,Saisissez Charger valeur pour %s
ScotApp_194,Chargement du gestionnaire de peripheriques...
ScotApp_1275,USERDEFINED17
ScotApp_1146,L’accepteur ne répond pas.
ScotApp_1303,Carte de fidélisation accepté: #%s
ScotApp_70,70unused
ScotApp_60,"Demander de l'aide"
ScotApp_50,50unused
ScotApp_40,Autorisation de magasin
ScotApp_30,Articles annulés
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,"Impossible d'annuler l'article jusqu'à ce que son coupon soit annulé. Annulez d'abord le coupon de l'article."
ScotApp_1211,DÉFAUT
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,Erreur NIP
ScotApp_463,"Fin de l'approbation à distance..."
ScotApp_363,"\nUtilisez le clavier pour entrer le mot de passe d'opérateur."
ScotApp_163,163unused
ScotApp_1420,Annuler l’article\n%s?
ScotApp_1145,Erreur de l’accepteur de monnaie
ScotApp_963,Annuler demande
ScotApp_863,Valeur du coupon
ScotApp_1816,Les pièces sont coincées ou la porte est ouverte.
ScotApp_1637,Problème de câble
ScotApp_742,742unused
ScotApp_642,"Article ajouté. Scannez l'article suivant."
ScotApp_542,"Incapable de créer un code à barres d'opérateur."
ScotApp_342,Description de type
ScotApp_242,Blocage de carte dans le lecteur de carte
ScotApp_142,Confirmez le montant
ScotApp_1210,DERNIERE VUE
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Paiement assisté par opérateur
ScotApp_1427,Changer la quantité pour l’article : \n%s
ScotApp_721,721unused
ScotApp_621,Défaut
ScotApp_1341,Commande de volume
ScotApp_421,"Scannez vos articles ou appuyez sur ""Démarrer"" pour continuer."
ScotApp_321,Vérification de transaction
ScotApp_221,Fermez et verrouillez la porte du cabinet.
ScotApp_121,les articles de cette caisse.
ScotApp_1636,Erreur du recycleur de monnaie
ScotApp_921,Poids attendu sur la balance de sécurité.
ScotApp_821,821unused
ScotApp_600,Entretien de sécurité
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,CapSig
ScotApp_200,Vérification du serveur de transaction...
ScotApp_100,Quantité requise
ScotApp_1076,Attention
ScotApp_1623,Transférer les billets vers la cassette pour cueillette.
ScotApp_1340,Fermer le système en entier
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,La trémie n’est pas en place ou est mal logée.
ScotApp_1758,"Sélectionnez ""Annuler"" pour continuer."
ScotApp_1635,"Vérifiez le câble du recycleur de billet et essayez de nouveau. Si l’erreur survient de nouveau, appelez le service.\n\nErreur SafePay: %s"
ScotApp_1557,Décharger Distributeur
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Art. avec restriction d’heure
ScotApp_1413,Veuillez terminer votre transaction dans les prochaines # minutes. Une perte de courant pourrait survenir bientôt.
ScotApp_334,"Erreur de type ""aucune carte dans le lecteur de carte"""
ScotApp_234,Enlevez la cassette de billets.\n\nEnlevez les billets de la cassette.\n\nRéinsérez la cassette jusqu’a ce qu’elle soit en place.\n\nTirez sur la poignée de la cassette pour vous assurer que la cassette est bien en place.
ScotApp_1569,Valeur
ScotApp_1801,Mode d’utilisation
ScotApp_934,Augmentation du poids
ScotApp_1622,Cassette
ScotApp_768,Confirmation
ScotApp_668,Impression de signatures complétée avec succès.
ScotApp_1347,Tentative de rebranchement
ScotApp_1778,Effacer sécurité
ScotApp_168,"Scannez vos coupons et mettez-les de côté jusqu'à la fin de vos achats."
ScotApp_1203,DOCUMENT APPROUVÉ
ScotApp_1634,Problème de câble
ScotApp_1556,Décharger Accepteur
ScotApp_1412,Fonctions d’assistance
ScotApp_1783,COUVERCLE DE SÉCURITÉ OUVERT
ScotApp_1232,SIGNATURE APPROUVÉE
ScotApp_1568,Grand Total :           %s
ScotApp_1800,Choisissez le mode d’utilisation
ScotApp_1495,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1621,Déverrouillez la cassette contenant les billets
ScotApp_1346,Le poste est hors ligne et le système tente de se rebrancher
ScotApp_72,72unused
ScotApp_62,Oui
ScotApp_52,Annulez les coupons
ScotApp_42,Articles annulés
ScotApp_32,Continuer
ScotApp_12, Qté %d @ %s/chacun
ScotApp_1411,Changer la quantité
ScotApp_92,Bienvenue !
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Terminer période rapport
ScotApp_1620,Déverrouillez le couvercle pour les billets
ScotApp_1345,Fin du directeur de sécurité...
ScotApp_1819,Erreurs de recirculateur/d’accepteur de pièces
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Accepteur
ScotApp_462,Approbation à distance chargée.
ScotApp_362,Entrez le mot de passe
ScotApp_262,262unused
ScotApp_162,Scannez vos articles et vos coupons.
ScotApp_1410,Changer le prix
ScotApp_962,"Appuyez ""Approuver annulation"" et reprendre l’article."
ScotApp_862,Valeur du coupon:
ScotApp_1806,"\n* Appuyez sur ""Cartes seulement"" pour terminer la transaction et rendre manuellement la monnaie au client."
ScotApp_1088,1088unused
ScotApp_1627,Erreur du recycleur de monnaie/billet
ScotApp_741,741unused
ScotApp_641,Poids moy.  Approuvé   Compte  Type de tolér. Valeur de tolér. Date
ScotApp_541,"Imprimez un code à barres d'opérateur"
ScotApp_441,Confirmez le montant
ScotApp_341,341unused
ScotApp_241,Erreur de gestionnaire de périphériques imprévue
ScotApp_141,Type de carte
ScotApp_941,Article annulé
ScotApp_841,Article
ScotApp_1873,1873unused
ScotApp_25,Date de naissance :
ScotApp_720,720unused
ScotApp_520,Article inconnu
ScotApp_420,420unused
ScotApp_320,Retour
ScotApp_220,* Ouvrez la porte de l’imprimante du cabinet.\n* Ouvrez le couvercle de l’imprimante pour vérifiez si le papier est coincé.\n* Chargez un nouveau rouleau de papier dans l’imprimante.\n* Fermez et verrouillez la porte de l’imprimante du cabinet.
ScotApp_120,Transaction annulée. Retirez
ScotApp_1626,Insérer des billets pour remplir la cassette ou sélectionner une autre fonction.
ScotApp_1423,Le scanner portatif essaie de se connecter.
ScotApp_920,Approuver/Pas de MAJ.
ScotApp_820,Approuver annulation
ScotApp_1757,"Pour ajouter un accent, appuyez sur une touche d'accent au bas de l'écran, puis tapez la lettre."
ScotApp_1872,1872unused
ScotApp_754,7 jours précédents - Sommaire
ScotApp_554,"N'insérez pas de cartes de paiement pour l'instant."
ScotApp_1613,Compartiment des articles rejetés
ScotApp_354,Fonctions caissière
ScotApp_254,Distributeur de monnaie non fonctionnel\nRemplir distributeur de monnaie ou\nMettre en marche ou\nRetirer distributeur bloqué
ScotApp_154,Chargement...
ScotApp_1769,Taper code
ScotApp_1240,COMPTANT
ScotApp_954,L’ouverture de la balance Smart a échoué
ScotApp_854,Cinq articles
ScotApp_1547,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1403,"Arrêtez et relancez le programme NCR SelfServ Checkout. Si l’erreur est encore présente, veuillez communiquer avec le service d’assistance."
ScotApp_545,Article réglementé
ScotApp_1559,Quitter
ScotApp_1871,%s %s observé
ScotApp_1612,Gestion des cartes
ScotApp_1550,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_845,Scannez autres articles:
ScotApp_1564,Saisissez Charger nombre pour %s
ScotApp_1768,Poids unitaire non accepté.
ScotApp_1272,USERDEFINED14
ScotApp_1546,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_74,Approuvez les annulations
ScotApp_64,"Annulez l'article"
ScotApp_54,Annuler
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Quitter & Enregistrer
ScotApp_14,14unused
ScotApp_1870,%s %s attendu
ScotApp_1389,Erreur de périphérique de capture de la signature
ScotApp_1611,     Le compartiment des articles rejetés est plein
ScotApp_94,94unused
ScotApp_84,Options de chargement
ScotApp_1289,B - C
ScotApp_687,Impression du rapport
ScotApp_587,Signature
ScotApp_487,Bas
ScotApp_387,Blocage de transport
ScotApp_287,Scanneur : Étiquette non valide
ScotApp_1545,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1336,Utilitaire
ScotApp_987,Remplacez-le par le bon article.
ScotApp_887,Article retiré
ScotApp_555,Autre paiement
ScotApp_1610,     Le compartiment des articles rejetés est presque plein (%s) 
ScotApp_1041,Approuvez la signature
ScotApp_1691,Gestion des espèces
ScotApp_1809,Erreurs de recirculateur/distributeur de pièces
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,IDENTITÉ VÉRIFIÉE
ScotApp_561,Mettez le coupon de côté
ScotApp_461,"Chargement de l'approbation à distance en cours..."
ScotApp_361,Couloir fermé
ScotApp_261,261unused
ScotApp_961,"Erreur base de données du poids : Vérifiez affichage des événements pour les erreurs et appuyez ""J’ai corrigé le problème""."
ScotApp_861,861unused
ScotApp_1876,%s %s observé
ScotApp_740,740unused
ScotApp_640,Poids existants dans la BD.
ScotApp_540,540unused
ScotApp_340,Sélectionnez de la liste. Utilisez les flèches pour défiler vers haut et bas.
ScotApp_240,Défaillance générale de gestionnaire de périphériques
ScotApp_140,Merci
ScotApp_1105,e=d=0.005kg Max 13.995kg min 0.1kg Nmax 2799
ScotApp_1192,HONORAIRES D’ASSEMBLÉE
ScotApp_940,Annulation
ScotApp_840,Article:
ScotApp_1863,Appuyez sur « Approuver » ou « Article annulé »
ScotApp_1463,Différence en valeur
ScotApp_1875,%s %s attendu
ScotApp_774,Points obtenus:
ScotApp_674,"""Raison du refus du mode de paiement: """
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,"Erreur de marqueur d'imprimante"
ScotApp_174,"Incapable de trouver l'article scanné. Il n'a pas encore été acheté ou a déjà été annulé."
ScotApp_1029,Insérez coupon
ScotApp_974,974unused
ScotApp_1679,Erreur liée à la bibliothèque de billets
ScotApp_1747,Erreur du lecteur d’empreinte
ScotApp_1862,Vérifiez l’article sur la balance du scanneur
ScotApp_1603,     Le compartiment du distributeur de carte est au niveau normal
ScotApp_1419,Multi-Pack
ScotApp_1759,Erreur du récipient à bons de réduction
ScotApp_649,Prix encodé
ScotApp_1039,Art. précédents ont des étiquettes EAS
ScotApp_849,Quantité requise
ScotApp_765,765unused
ScotApp_565,Au magasin
ScotApp_1549,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1861,PICKLIST
ScotApp_1731,Chargement des images PL...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Annulez le paiement
ScotApp_46,Aide
ScotApp_36,Remboursé :
ScotApp_26,26unused
ScotApp_16,%s sera porté à votre carte.
ScotApp_719,719unused
ScotApp_619,"Sélectionnez ""Introduction par clavier de la tolérance"" ou ""Défaut"" pour modifier la tolérance actuelle."
ScotApp_519,Coupon trop élevé
ScotApp_419,419unused
ScotApp_319,Autre paiement
ScotApp_219,219unused
ScotApp_119,Annulez articles
ScotApp_96,96unused
ScotApp_86,86unused
ScotApp_1755,Sélectionnez dans la liste
ScotApp_1038,Vérifiez la signature
ScotApp_919,"Vérifiez le poids de l’article et appuyez sur ""Approuver & MAJ poids"", ou appuyez sur ""Approuver/Pas de MAJ""."
ScotApp_1489,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_1745,Le lecteur d’empreinte est déconnecté.\n\nVeuillez essayer de nouveau.
ScotApp_1860,Please select from picklist assisted items or look-up item alphabetically.
ScotApp_1268,USERDEFINED10
ScotApp_1008,1008unused
ScotApp_786,Mise en attente à la caisse
ScotApp_686,Hier
ScotApp_586,"Coupons : %0,0ld/$%0,2lf"
ScotApp_486,Haut
ScotApp_386,Cassette retirée
ScotApp_286,"Scanneur : Préfixe d'étiquette non valide2"
ScotApp_186,186unused
ScotApp_1488,"Consultez le manuel du périphérique pour corriger l'erreur."
ScotApp_986,986unused
ScotApp_886,"Retournez l'article dans zone de mise en sac."
ScotApp_1393,"Arrêtez et relancez le programme NCR SelfServ Checkout. Si l’erreur persiste, communiquer avec le service d’assistance."
ScotApp_1867,Champ de vision de la caméra obstrué
ScotApp_68,68unused
ScotApp_38,38unused
ScotApp_28,"Annulez l'achat"
ScotApp_1024,1024unused
ScotApp_760,Glissez votre carte sur le côté du moniteur.
ScotApp_660,Les niveaux des numéraires sont normaux.
ScotApp_460,Cela terminera votre achat.
ScotApp_360,Débrancher/fermer caisse
ScotApp_260,260unused
ScotApp_1392,Erreur du voyant tricolore
ScotApp_960,\n* Poids maximum permis dépassé.\n* Retirez les articles de la balance.
