AmountSaved,Úspora
ScotApp_456,456unused
ScotApp_356,Šifrovací modul
ScotApp_256,Aplikace User Exits je ukončována...
ScotApp_156,Zpráva systému
ScotApp_1231,VIZUÁLNĚ OVĚŘENO
ScotApp_1874,1874unused
ScotApp_956,"Restartujte terminál:\n\n* Otočte klíčkem vedoucího do polohy ""S"" nebo stiskněte tlačítko vedoucího.\n* Vyberte ""Provést operaci PŘIDAT při příštím spuštění"". Zvolte ""Ano"" pro potvrzení.\n* Zvolte ""Vypnout celý systém"".\n* Jakmile z obrazovky zmizí obraz, vypněte terminál ze zásuvky nebo zdroje.\n* Zapněte terminál. Zkontrolujte prohlížeč událostí. Pokud se chyba opakuje, zavolejte servis."
ScotApp_856,Paragon:
ScotApp_1567,Výdej celkem:  %s
ScotApp_735,735unused
ScotApp_635,Zadejte datum narození zákazníka
ScotApp_535,   Staženo (prošlé)
ScotApp_335,Čtečka karet: možná manipulace zákazníkem
ScotApp_235,Stav přijímače bankovek: téměř plný
ScotApp_135,135unused
ScotApp_1776,Ověření obchodu
ScotApp_1811,"* Vytáhněte recyklátor mincí.\n* Odstraňte překážky z oblasti dle uvedeného – vyjměte mince nebo mince zatlačte dopředu. \n* Vraťte mince zákazníkovi. Pokud se chyba opakuje, zavolejte servis."
ScotApp_935,Hmotnost je nižší
ScotApp_835,Paragon:
ScotApp_1708,"Stiskněte několikrát tlačítko návratu mincí a zaseknuté mince tak odstraňte. Poté stiskněte ""Problém napraven"".\n\nPokud se chyba opakuje, zavolejte servis."
ScotApp_1168,Tiskárna není zajištěná západkou v přední pozici.
ScotApp_1446,Vybrat
ScotApp_1566,Plná náhrada
ScotApp_1080,Položte zboží na pás.
ScotApp_1775,Schválit kupón
ScotApp_1810,Zaseknuté mince.
ScotApp_1297,VYPRŠEL LIMIT NA VYZVEDNUTÍ DROBNÝCH
ScotApp_1648,(mmddrr)
ScotApp_708,708unused
ScotApp_608,Nastavit porovnávání hmotnosti
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,haléřů
ScotApp_208,208unused
ScotApp_108,Neodpovídající kupón
ScotApp_781,781unused
ScotApp_681,Vybrat z Oblíbených
ScotApp_581,Pozastavení transakce bylo odmítnuto
ScotApp_481,Nutná asistence
ScotApp_381,Normální
ScotApp_908,Zabezpečení
ScotApp_521,Refundovaná částka:
ScotApp_1087,Karta akceptována. Načtěte zboží a kupóny.
ScotApp_981,981unused
ScotApp_881,"Pozastavení, důvod:"
ScotApp_1774,KUPÓN MÁ PŘÍLIŠ VYSOKOU HODNOTU
ScotApp_1296,Doplňte všechny zásobníky mincí na optimální stav.
ScotApp_1583,dochází hotovost (%s)
ScotApp_1552,kontejner je plný
ScotApp_1295,T - Z
ScotApp_1877,Upozornění na krádež
ScotApp_1761,Kontejner kupónů je plný nebo je ucpána štěrbina na kupóny. Uvolněte štěrbinu a poté vyprázdněte kontejner.
ScotApp_1086,Přidáním hmotn. 0 smažete navážený nákup.
ScotApp_693,693unused
ScotApp_794,Kazeta vydavače bankovek je zaseknutá\nOdstraňte zaseknuté bankovky.
ScotApp_694,694unused
ScotApp_594,Aplikace NCR SelfServ Checkout SigCap načtena.
ScotApp_494,Zvolte částku pro cashback ze seznamu.
ScotApp_394,394unused
ScotApp_1098,"* Otevřete dvířka tiskárny.\n* Není ve znázorněné oblasti zaseknutý papír?\n* Pokud nikoli, založte papír znovu.\n* Měl by se vytisknout paragon se smajlíkem.\n* Zavřete a uzamkněte dvířka tiskárny."
ScotApp_1551,nadbytek peněz  (%s)
ScotApp_994,Uzavřeno
ScotApp_894,Aplikace DBM načtena.
ScotApp_1760,Kontejner kupónů je plný nebo je ucpána štěrbina na kupóny. Uvolněte štěrbinu a poté vyprázdněte kontejner.
ScotApp_1371,Přijímač bankovek
ScotApp_1803,Přijímat pouze hotovost
ScotApp_1359,Tiskárna dokladů
ScotApp_1085,Odeberte kupóny
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,"Vydavač mincí: Doplněno v %s, %s"
ScotApp_1491,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_476,Odevzdání kupónů
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Chcete zastavit účtování a celý nákup zrušit?
ScotApp_976,976unused
ScotApp_876,"Zadejte kód hlavního pokladníka a stiskněte ""Potvrdit""."
ScotApp_1271,DEFINOVÁNO UŽIVATELEM 13
ScotApp_1767,Váhové parametry váhy jsou nepřístupné.
ScotApp_755,Zpracování...
ScotApp_655,Zboží - výjimka
ScotApp_1084,Odběr
ScotApp_455,455unused
ScotApp_355,Zvolte systémovou funkci
ScotApp_255,255unused
ScotApp_155,Zpráva systému
ScotApp_1011,Přepravování...
ScotApp_869,"Zadejte autorizační číslo a stiskněte ""Potvrdit""."
ScotApp_955,Aplikaci Smart Scale nelze povolit
ScotApp_855,Poplatek za sestavení:
ScotApp_23,+ %s (%s)
ScotApp_1766,Chyba čtečky nebo váhy.
ScotApp_1280,HOTOVOST
ScotApp_1335,Pokladna uzavřena
ScotApp_1497,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_728,728unused
ScotApp_628,Pokladna č #: %d
ScotApp_528,528unused
ScotApp_428,Žlutá
ScotApp_328,"Výdej %s se nezdařil. \nZkontrolujte vydavače mincí a bankovek.\nPokud jsou prázdné, doplňte je. \nPokud nejsou prázdné, odstraňte zaseknutý materiál. \nStiskněte tlačítko ""Problém napraven""."
ScotApp_228,Štěrbina čtečky karet zablokována
ScotApp_128,128unused
ScotApp_1690,Volejte prosím servis
ScotApp_281,281unused
ScotApp_181,"\nZadejte hodnotu kupónu na klávesnici v haléřích a stiskněte tlačítko ""OK""."
ScotApp_928,Jděte k pokladně a zkontrolujte přístroj.
ScotApp_828,828unused
ScotApp_1033,"Deaktivujte zboží nebo sejměte visačku u pokladny a stiskněte tlačítko ""Smazat alarm""."
ScotApp_1496,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_680,680unused
ScotApp_580,Pokus o stornování zboží před stornováním jeho kupónu.
ScotApp_380,380unused
ScotApp_280,Smazat protokol alarmů
ScotApp_180,Dejte kupóny stranou.\nPředložte až na konci nákupu.
ScotApp_1364,Mikr
ScotApp_980,Limit vypršel bez odezvy zákazníka
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,Aktivní bezpečnostní visačka.
ScotApp_1286,Česky
ScotApp_1462,Zásobníky
ScotApp_1298,Funkce prováděné s obsluhou
ScotApp_1031,Načtěte kupóny.
ScotApp_1482,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1706,"Zařízení není připraveno. Ukončete ostatní aplikace, které mohou s přístrojem pracovat, a stiskněte tlačítko ""Problém napraven"". Pokud se chyba opakuje, zavolejte servis."
ScotApp_1399, s obsluhou
ScotApp_1494,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1672,Chyba recyklátoru mincí
ScotApp_573,"Zadejte kód uživatele a stiskněte tlačítko ""Potvrdit""."
ScotApp_173,173unused
ScotApp_775,Vítejte v systému NCR SelfServ Checkout! Přejeme příjemný nákup!
ScotApp_675,Zásobník mincí doplněn
ScotApp_1481,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Zkusit znovu
ScotApp_39,Zrušení transakce
ScotApp_29,Limitované zboží
ScotApp_19,DPH
ScotApp_975,975unused
ScotApp_603,Upravit/přidat váhovou položku
ScotApp_99,Množství ke stornování
ScotApp_89,89unused
ScotApp_303,Zrušit zboží
ScotApp_203,203unused
ScotApp_103,Zadejte kód zboží.
ScotApp_1889,Úroveň důvěryhodnosti zabezpečení
ScotApp_1443,"Vložte mince k jejich doplnění nebo stiskněte ""Odebrat bankovky"" k jejich výběru."
ScotApp_903,Zboží odebráno z taškové zóny.
ScotApp_803,803unused
ScotApp_1555,Vydavač
ScotApp_1037,Podpis
ScotApp_1480,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1263,DEFINOVÁNO UŽIVATELEM 5
ScotApp_1697,Zaseknutí odstraněno
ScotApp_748,748unused
ScotApp_648,Čárový kód
ScotApp_548,548unused
ScotApp_448,Váš účet častého zákazníka byl aktivován.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_948,\n* Vzdálená pomoc
ScotApp_848,Zadejte množství:
ScotApp_485,Prosíme o podpis
ScotApp_1036,Aktivní bezpečnostní visačka
ScotApp_1487,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1499,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1023,1023unused
ScotApp_1179,VYPRŠEL LIMIT - ZÁKAZNÍK ODEŠEL
ScotApp_1035,Aktivní bezpečnostní visačka
ScotApp_1682,Obecná chyba čtečky bankovek
ScotApp_1486,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1144,Vydavač neodpovídá.
ScotApp_866,Ano
ScotApp_1498,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1384,Jazyk
ScotApp_1743,"Přihlaste se zadáním kódu uživatele a stiskem ""Potvrdit"", nebo položte prst na čtečku otisků."
ScotApp_1319,POUKÁZKA
ScotApp_1178,MAX. POČET ODEBÍRÁNÍ Z TAŠKOVÉ ZÓNY PŘEKROČEN
ScotApp_1001,Zboží nebylo nalezeno
ScotApp_1034,1034unused
ScotApp_1485,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1068,1068unused
ScotApp_1694,"Správné peníze nejsou k dispozici - problém: %s. Stiskněte ""Stav peněz/papíru"" a peníze doplňte nebo uvolněte zaseknuté."
ScotApp_1165,"Popotáhněte tiskárnu opatrně vpřed, až západka zaklapne.\n\nZavřete a uzamkněte dvířka tiskárny."
ScotApp_1021,Pozor
ScotApp_1230,SLEVA
ScotApp_1484,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_912,Schválit a aktualizovat hmotnost
ScotApp_723,723unused
ScotApp_623,"Zadejte toleranci na klávesnici a stiskněte ""Potvrdit""."
ScotApp_523,Karta odmítnuta
ScotApp_423,Vložte kartu. Nezůstalo zboží v košíku?
ScotApp_323,  Množ. %d po %d/%s
ScotApp_223,Přepadový kontejner čtečky karet je plný
ScotApp_123,123unused
ScotApp_1020,Načtěte zboží
ScotApp_923,923unused
ScotApp_823,Schválení storna
ScotApp_1483,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1237,KUPÓN
ScotApp_1680,Neřešitelná chyba. Uzavřete prosím pokladnu. Zavolejte firmu Gunnebo a předejte jí následující informace o chybě.\n\nChyba modulu SafePay: %s
ScotApp_702,702unused
ScotApp_602,Upravit/přidat\nváhovou položku
ScotApp_502,Odložte zrušené zboží stranou.
ScotApp_402,Není
ScotApp_302,Zadejte prosím PIN na platebním terminálu.
ScotApp_202,Test odhlášení...
ScotApp_102,Staženo z oběhu
ScotApp_1722,Pokladna je ve cvičném režimu. Pokračovat v transakci?
ScotApp_902,Zboží odebráno z taškové zóny. Vraťte zboží zpět.
ScotApp_802,"\nZakoupit celé balení\nzboží: %s?\n\nZvolte ""Ano"" nebo ""Ne""."
ScotApp_568,Smazat
ScotApp_468,   Staženo
ScotApp_368,Papír v tiskárně nezaložen - zaseknutý
ScotApp_268,Chyba čtení karty
ScotApp_1027,"Stiskem ""Ano"" zrušíte transakci stiskem ""Ne"" v ní můžete pokračovat."
ScotApp_1354,Odebrat dárkovou kartu
ScotApp_968,968unused
ScotApp_868,Zadání autorizačního čísla:
ScotApp_1433,na taškové váze.
ScotApp_1687,"Pomocí obrazovky ""Stav peněz/papíru"" doplňte bankovky."
ScotApp_1150,Dvířka tiskárny jsou otevřena.
ScotApp_1699,"Správné peníze nejsou k dispozici - problém: %s. Doplňte je nebo uvolněte zaseknutí a stiskněte ""Problém napraven""."
ScotApp_1259,DEFINOVÁNO UŽIVATELEM 1
ScotApp_1223,MÁLO PENĚZ/PAPÍRU
ScotApp_1379,jednotková cena
ScotApp_1432,<<<Málo bankovek. Doplňte.>>>
ScotApp_1686,Neřešitelná chyba. Uzavřete prosím pokladnu. Zavolejte firmu Gunnebo a předejte jí následující informace o chybě.\n\nChyba modulu SafePay: %s
ScotApp_1157,Dvířka vydavače bankovek mohou být otevřena.\n\nVydavač bankovek nemůže pracovat s otevřenými dvířky.\n\nZavřete dobře dvířka (bezpečnostní nebo vydavače) a zajistěte západkou.
ScotApp_1013,Nahromaděné zboží
ScotApp_1184,VÍCE ÚDAJŮ
ScotApp_1848,"Položka odstraněna. Načtěte další položku nebo stiskněte ""Zadejte kód""."
ScotApp_1169,"Otevřete dvířka tiskárny.\n* Popotáhněte tiskárnu opatrně vpřed, až západka zaklapne.\n* Zavřete a uzamkněte dvířka tiskárny."
ScotApp_1662,Jiné stvrzenky
ScotApp_1311,"* Vyjměte přijímač bankovek.\n* Otevřete modul.\n* Není zaseknutá bankovka? Opravte a vraťte modul zpět.\n* Zkontrolujte, zda se motor přijímače rozeběhne a zelená LED svítí."
ScotApp_1025,Odeberte všechno zboží z pásu a zavřete bezpečnostní kryt.
ScotApp_1378,hmotnost
ScotApp_22, + 0        \n(%s)
ScotApp_1234,MNOŽSTEVNÍ OMEZENÍ
ScotApp_1685,Obecná chyba modulu mincí
ScotApp_1156,"Zkontrolujte, zda je vypínač vydavače zapnutý."
ScotApp_1012,Vaše zboží je přepravováno.
ScotApp_1365,Čtečka karet
ScotApp_1235,AKTIVNÍ BEZPEČNOSTNÍ VISAČKA
ScotApp_1221,ODEČET
ScotApp_1143,Mince docházejí nebo chybí jejich zásobník.
ScotApp_434,Typ stravenky/potr.poukázky
ScotApp_1625,"Vložte mince k jejich doplnění nebo stiskněte ""Odebrat mince"" k jejich výběru."
ScotApp_1430,Stornovat zboží
ScotApp_1684,Chyba recyklátoru mincí
ScotApp_1155,Zařízení je offline.
ScotApp_834,Poplatky a smlouvy se zákazníky
ScotApp_799,Zkontrolujte košík
ScotApp_699,Neprodejné zboží
ScotApp_599,Resetování modulu formulářů...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,Aplikace User Exits načtena.
ScotApp_743,743unused
ScotApp_643,Zboží odstraněno. Načtěte další zboží.
ScotApp_543,Kód obsluhy nesmí být delší než %d čísel.
ScotApp_343,343unused
ScotApp_243,Čtečka karet: neplatná karta
ScotApp_999,Limit překročen
ScotApp_899,Schválit storno pro:
ScotApp_1220,EL. PŘENOS
ScotApp_1142,Chyba vydavače mincí
ScotApp_943,Mám vlastní tašku
ScotApp_843,843unused
ScotApp_1437,Limit pro odstraněné zboží byl překročen
ScotApp_1601,     Dochází kontejner vydavače karet
ScotApp_722,722unused
ScotApp_622,Upravit toleranci pro čár. kód
ScotApp_522,Nesprávný PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Postup při obsluze tiskárny: Zkontrolujte možné chyby na tiskárně nebo v prohlížeči událostí, poté stiskněte ""Problém napraven""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Schválit stornované zboží.
ScotApp_1715,Schválení pro odmítnutí pozastavení 
ScotApp_1227,ČASOVÉ OMEZENÍ
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,Vložte kartu. Nezůstalo zboží v košíku?
ScotApp_301,Zadejte hodnotu kupónu
ScotApp_201,Test přihlášení...
ScotApp_101,Cena neznámá
ScotApp_1633,Chyba recyklátoru bankovek
ScotApp_901,Schválení pro nepoužití tašek.
ScotApp_801,Zakoupení celého balení
ScotApp_1824,Elektronická stvrzenka nebyla vygenerována.
ScotApp_1328,Dvojnásobná hmotnost v taškách
ScotApp_1299,Zahájit transakci a přejít do asistenčního režimu
ScotApp_1226,STAŽENO Z OBĚHU
ScotApp_1140,Zaseknutý vydavač bankovek.
ScotApp_1579,Přijímač bankovek
ScotApp_1426,%s\nJe %d správně?
ScotApp_1632,"Sejměte kryt bankovek. Zkontrolujte kabel validátoru bankovek a akci opakujte. Pokud se chyba opakuje, zavolejte servis.\n\nChyba modulu SafePay: %s"
ScotApp_1141,Výdej %s se nezdařil. POZOR: Bankovka může být zaseknuta v horní části vydavače.
ScotApp_1791,Pouze hotovost
ScotApp_1357,Odebrat dárkovou kartu
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Povinné použití tašek
ScotApp_514,514unused
ScotApp_314,kontejner - došlo k problému
ScotApp_214,Debetní
ScotApp_114,Zboží nelze zrušit
ScotApp_1369,Různé
ScotApp_78,Debetní k. (bezhotovostně)
ScotApp_1630,Chyba recyklátoru bankovek
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Jděte k pokladně, odeberte přebývající zboží a stiskněte ""Smazat alarm""."
ScotApp_1422,Ruční čtečka
ScotApp_18,Celkem
ScotApp_1147,Chyba bezpečnostní váhy
ScotApp_1578,Hodnota celkem:
ScotApp_1022,Toto zboží nechci\ndávat do tašky
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Časové omezení
ScotApp_1434,Věkový limit
ScotApp_1356,Odebrat
ScotApp_1212,JINÉ
ScotApp_1455,Neplatné číslo
ScotApp_1713,Pozastavení odmítněte stiskem tlačítka Schválit.
ScotApp_1565,Zadejte doplňovanou hodnotu pro: %s
ScotApp_194,Načítání aplikace Device Manager...
ScotApp_1275,DEFINOVÁNO UŽIVATELEM 17
ScotApp_1146,Přijímač neodpovídá.
ScotApp_1303,Věrnostní karta akceptována: č. #%s
ScotApp_70,70unused
ScotApp_60,Požádat o pomoc
ScotApp_50,50unused
ScotApp_40,Ověření obchodu
ScotApp_30,Stornované zboží
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,"Nelze stornovat zboží, dokud není stornován jeho kupón. Stornujte nejprve kupón."
ScotApp_1211,VÝCHOZÍ
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,Zadání PIN se nezdařilo
ScotApp_463,Aplikace Remote Approval je ukončována...
ScotApp_363,\nZadejte heslo obsluhy na klávesnici.
ScotApp_163,163unused
ScotApp_1420,Zrušit zboží\n%s?
ScotApp_1145,Chyba přijímače mincí
ScotApp_963,Zrušit požadavek
ScotApp_863,Zadání hodnoty kupónu
ScotApp_1816,Došlo k zaseknutí mincí nebo jsou otevřená dvířka.
ScotApp_1637,Problém s kabelem
ScotApp_742,742unused
ScotApp_642,Zboží přidáno. Načtěte další zboží.
ScotApp_542,Nelze vytvořit čárový kód obsluhy.
ScotApp_342,Popis typu
ScotApp_242,Čtečka karet: zaseknutá karta
ScotApp_142,Potvrďte částku
ScotApp_1210,POSLEDNÍ ZOBRAZENÍ
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Platba prováděná s obsluhou
ScotApp_1427,Změna množství zboží: \n%s
ScotApp_721,721unused
ScotApp_621,Výchozí
ScotApp_1341,Hlasitost
ScotApp_421,"Načtěte zboží, nebo začněte stiskem ""Spustit""."
ScotApp_321,Ověřování transakce
ScotApp_221,Zavřete a uzamkněte dvířka tiskárny.
ScotApp_121,zboží z této pokladny.
ScotApp_1636,Chyba recyklátoru mincí
ScotApp_921,Na bezpečnostní váze byla očekávána zátěž.
ScotApp_821,821unused
ScotApp_600,Údržba zabezpečení
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,Podpisový modul
ScotApp_200,Testování aplikace Transaction Broker...
ScotApp_100,Zadejte množství
ScotApp_1076,Pozor
ScotApp_1623,Přesunout bankovky do kazety k výběru
ScotApp_1340,Vypnout celý systém
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Násypkový zásobník je venku nebo není usazený.
ScotApp_1758,Chyba kontejneru kupónů
ScotApp_1635,"Zkontrolujte kabel recyklátoru bankovek a akci opakujte. Pokud se chyba opakuje, zavolejte servis.\n\nChyba modulu SafePay: %s"
ScotApp_1557,Vybrat vydavač
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Zboží s časovým omezením
ScotApp_1413,Dokončete prosím transakci během # min.  Brzy může dojít k výpadku proudu.
ScotApp_334,Chyba čtečky karet: chybí karta
ScotApp_234,"Vytáhněte kazetu na bankovky.\n\nVytáhněte bankovky z kazety.\n\nZasuňte kazetu zpět do zapadnutí západky.\n\nZatáhněte za držadlo kazety a zkontrolujte, zda západka drží."
ScotApp_1569,Hodnota
ScotApp_1801,Provozní režim
ScotApp_934,Hmotnost je vyšší
ScotApp_1622,Kazeta
ScotApp_768,Potvrzení pozastavení
ScotApp_668,Vytištění podpisu proběhlo úspěšně.
ScotApp_1347,Obnovování spojení
ScotApp_1778,Smazat alarm
ScotApp_168,Načtěte kupóny a odložte je stranou do konce nákupu.
ScotApp_1203,PODEPSANÝ DOKUMENT
ScotApp_1634,Problém s kabelem
ScotApp_1556,Vybrat přijímač
ScotApp_1412,Asistenční funkce
ScotApp_1783,BEZPEČNOSTNÍ KRYT OTEVŘEN
ScotApp_1232,SCHVÁLENÝ PODPIS
ScotApp_1568,Celkem:        %s
ScotApp_1800,Vyberte provozní režim
ScotApp_1495,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1621,Odemknout kazetu bankovek
ScotApp_1346,Pokladna je offline a systém se snaží navázat spojení.
ScotApp_72,72unused
ScotApp_62,Ano
ScotApp_52,Zrušit kupóny
ScotApp_42,Stornované zboží
ScotApp_32,Pokračovat
ScotApp_12,  Množ. %d po %s/ks
ScotApp_1411,Změna množství
ScotApp_92,Dobrý den!
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Konec období sestavy
ScotApp_1620,Odemknout kryt bankovek
ScotApp_1345,Security Manager je ukončován...
ScotApp_1819,Chyba přijímače recyklátoru mincí
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Přijímač
ScotApp_462,Aplikace Remote Approval načtena.
ScotApp_362,Zadejte heslo
ScotApp_262,262unused
ScotApp_162,Načtěte zboží a kupóny.
ScotApp_1410,Změna ceny
ScotApp_962,"Odeberte stornované zboží na pokladně a stiskněte ""Schválit storno""."
ScotApp_862,Zadání hodnoty kupónu:
ScotApp_1806,"\n*Chcete-li ukončit transakci a vrátit zákazníkovi hotovost ručně, stiskněte ""Pouze karty""."
ScotApp_1088,1088unused
ScotApp_1627,Chyba recyklátoru mincí/bankovek
ScotApp_741,741unused
ScotApp_641,Prům.hmot.  Schváleno  Načteno    Typ toler. Hodnota toler.  Datum
ScotApp_541,Vytisknout načtený čárový kód obsluhy
ScotApp_441,Potvrďte částku
ScotApp_341,341unused
ScotApp_241,Neočekávaná chyba aplikace Device Manager
ScotApp_141,Vyberte typ karty
ScotApp_941,Stornované zboží
ScotApp_841,Zboží
ScotApp_1873,1873unused
ScotApp_25,Datum narození:
ScotApp_720,720unused
ScotApp_520,Neznámý kód zboží
ScotApp_420,420unused
ScotApp_320,Zpět
ScotApp_220,* Otevřete dvířka tiskárny.\n* Otevřete kryt tiskárny - není zaseknutá?\n* Založte do tiskárny novou roli papíru.\n* Zavřete a uzamkněte dvířka tiskárny.
ScotApp_120,Transakce zrušena. Odeberte
ScotApp_1626,Vložte bankovky k jejich doplnění nebo zvolte jinou funkci.
ScotApp_1423,Ruční čtečka se pokouší navázat spojení.
ScotApp_920,Schválit bez aktualizace.
ScotApp_820,Schválit storno
ScotApp_1757,"Chcete-li přidat háček nebo čárku, stiskněte tlačítko ""Diakritika"" v dolní části obrazovky, a teprve poté zadejte příslušné písmeno."
ScotApp_1872,1872unused
ScotApp_754,Souhrn za minulých 7 dní
ScotApp_554,Zatím neprotahujte hotovostní karty.
ScotApp_1613,Kontejner na odmítnuté peníze
ScotApp_354,Funkce systému
ScotApp_254,Výdej mincí mimo provoz.\nNaplňte vydavač mincí\nnebo jej zapněte\nnebo odstraňte zaseknuté mince.
ScotApp_154,Načítání...
ScotApp_1769,Zad. kód
ScotApp_1240,HOTOVOST
ScotApp_954,Aplikaci Smart Scale nelze spustit
ScotApp_854,Pět kusů
ScotApp_1547,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1403,"Restartujte program NCR SelfServ Checkout. Pokud chyba trvá, kontaktujte podpůrnou službu."
ScotApp_545,Zboží s omezeným prodejem
ScotApp_1559,Konec
ScotApp_1871,%s %s zjištěno
ScotApp_1612,Správa karet
ScotApp_1550,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_845,Načíst další zboží:
ScotApp_1564,Zadejte doplňovaný počet pro: %s
ScotApp_1768,Nepodporovaná hmotnostní jednotka.
ScotApp_1272,DEFINOVÁNO UŽIVATELEM 14
ScotApp_1546,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_74,Schválit storna
ScotApp_64,Zvoleno zrušení
ScotApp_54,Zrušit
ScotApp_44,44unused
ScotApp_34,34unused
ScotApp_1558,Uložit a ukončit
ScotApp_14,14unused
ScotApp_1870,%s %s očekáváno
ScotApp_1389,Chyba skeneru podpisu.
ScotApp_1611,     Kont.na odmítnuté peníze: plný
ScotApp_94,94unused
ScotApp_84,Načíst možnosti
ScotApp_1289,B - C
ScotApp_687,Tisk sestavy
ScotApp_587,Podpis
ScotApp_487,Dolů
ScotApp_387,Transport zablokován
ScotApp_287,Čtečka: Neplatná visačka
ScotApp_1545,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1336,Nástroje
ScotApp_987,Zboží odebráno z pásu. Vraťte zboží zpět.
ScotApp_887,Zboží odebráno
ScotApp_555,Jiné placení
ScotApp_1610,     Kontejner na odmítnuté peníze: téměř plný (%s)
ScotApp_1041,Schválení - podpis
ScotApp_1691,Správa hotovosti
ScotApp_1809,Chyba výdeje recyklátoru mincí
ScotApp_1288,A
ScotApp_761,761unused
ScotApp_1193,IDENTITA OVĚŘENA
ScotApp_561,Odložte kupóny stranou
ScotApp_461,Načítání aplikace Remote Approval...
ScotApp_361,Pokladna uzavřena
ScotApp_261,261unused
ScotApp_961,"Závada databáze s učením hmotností: Zkontrolujte možné chyby v prohlížeči událostí a stiskněte ""Problém napraven""."
ScotApp_861,861unused
ScotApp_1876,%s %s zjištěno
ScotApp_740,740unused
ScotApp_640,Stávající položky ve váhové DB
ScotApp_540,540unused
ScotApp_340,Vyberte zboží ze seznamu. Šipkami se posouvejte nahoru a dolů.
ScotApp_240,Device Manager: nespecifikovaná chyba
ScotApp_140,Děkujeme
ScotApp_1105,"e=d=0,005 kg Max 13,995 kg min 0,1 kg Max.počet 2799"
ScotApp_1192,POPLATEK ZA SESTAVENÍ
ScotApp_940,Storno
ScotApp_840,Zboží:
ScotApp_1863,Stiskněte „Schválit“ nebo „Stornovat zboží“
ScotApp_1463,Hodnota mincí
ScotApp_1875,%s %s očekáváno
ScotApp_774,Získáno bodů:
ScotApp_674,"""Platba odmítnuta, důvod: """
ScotApp_780,780unused
ScotApp_474,474unused
ScotApp_374,Chyba tiskárny - černé značky
ScotApp_174,"Načtené zboží není v evidenci. Dosud nebylo zakoupeno, nebo už bylo stornováno."
ScotApp_1029,Vložit kupón
ScotApp_974,974unused
ScotApp_1679,Chyba knihovny bankovek
ScotApp_1747,Chyba čtečky otisků
ScotApp_1862,Ověřte zboží na váze se skenerem
ScotApp_1603,     Zásoba v kontejneru vydavače karet normální
ScotApp_1419,Vícedílné balení
ScotApp_1759,Plný kontejner kupónů
ScotApp_649,Pevná cena
ScotApp_1039,Předcházející zboží mělo bezpečnostní visačky.
ScotApp_849,Zadejte množství
ScotApp_765,765unused
ScotApp_565,Přihlášení obsluhy
ScotApp_1549,Vyhledejte řešení problému v návodu k zařízení.
ScotApp_1861,ROZEVÍRACÍ SEZNAM
ScotApp_1731,Načítání obrázků seznamu...
ScotApp_76,76unused
ScotApp_66,66unused
ScotApp_56,Zrušit placení
ScotApp_46,Nápověda
