AmountSaved,Iznos Ušteđen
ScotApp_1704,"Dotaknite ""Ispravio sam grešku"".\n* Ako se greška ne ukloni, ponovo pokrenite terminal:\n* Odaberite ""Zatvori cijeli sustav"".\n* Kad je ekran prazan, ugasite terminal na UPS-u (Stalni izvor napajanja) ili na višestrukoj utičnici.\n* Uključite terminal.\n* Ako se kvar ponovi, molim vas zovite pomoć."
ScotApp_1827,\n    - Sadašnji Jezik (%s)
ScotApp_1562,Zbroj
ScotApp_1815,"* Iskvačite i izvadite pladanj od spremnika (I).\n* Ponovo umetnite svaki nedostajni spremnik i pobrinite se da su svi spremnici pravilno namješteni.\n* Pobrinite se da spremnik za najslabiju vrijednost novčića je umetnut i pravilno namješten.\n* Pobrinite se da su spremnici pravilnih valuta umetnuti.\n* Ako se kvar ponovi, molim vas zovite pomoć."
ScotApp_1574,Unesena vrijednost je %s nevažeca.\nMolimo unesite ponovo.
ScotApp_1543,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1290,D - J
ScotApp_1096,Izvještavanje
ScotApp_1352,Uložite Poklon-Karticu 
ScotApp_1561,Denominacija
ScotApp_1083,Proizvod je sklonut od zone pakiranja.\nPovratite proizvod.
ScotApp_1753,Proizvod nije pronađen
ScotApp_418,Hard Totals završava...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Iskvačite i izvadite pladanj od spremnika (I). \n* Sklonite zaostali spremnik(e). Provjerite i sklonite bilo koji zastoj na zoni izlaza (II).\n* Ako nema zastoja u zoni izlaza, ispraznite spremnik(e). Provjerite i sklonite bilo koji zastoj pored rotirajuća diska (III).\n* Ponovo umetnite spremnik(e).\n* Pobrinite se da su sva vrata pravilno zatvorena i zaključana. Ako se kvar ponovi, zovite pomoć."
ScotApp_1095,"Odaberite vrstu izvještaja i zatim pritisnite ""Pokreni Izvještaj""."
ScotApp_1351,%s\n%s %s uklonjeno
ScotApp_1825,Sačuvajte Postavke
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Početak Ponude Novca.
ScotApp_377,Jedinice - Status
ScotApp_277,277unused
ScotApp_1560,Ukupni iznos u akceptoru: %s
ScotApp_1082,Ja sam sklonijo proizvod ili kesicu
ScotApp_977,Sadašnja Težina: %s %s
ScotApp_877,Točna Cijena
ScotApp_1777,Transakcija je završena jer je korišten kupon koji prekoračuje kuponski limit trgovine.
ScotApp_1812,Novčići zaostaju ili spremnici za novčiće su puni ili izvan.
ScotApp_756,756unused
ScotApp_556,Prekid transakcije je odbijen.
ScotApp_456,456unused
ScotApp_356,Šifrator
ScotApp_256,User Exits završava....
ScotApp_156,Vijest Sustava
ScotApp_1231,VIZUALNO PROVJERENO
ScotApp_1874,1874unused
ScotApp_956,Zahtjev pametne vage nije uspio
ScotApp_856,Priznanica:
ScotApp_1567,Ukupni iznos u izdavacu: %s
ScotApp_735,735unused
ScotApp_635,Unesite datum rođenja
ScotApp_535,   Vrijeme Ukinjeno
ScotApp_335,Moguće prtljanje kupca po čitaču kartica
ScotApp_235,Status akceptora novčanica - uskoro pun
ScotApp_135,135unused
ScotApp_1776,Odobrenje trgovine
ScotApp_1811,"* Izvadite preradnik novčića.\n* Sklonite zastoje sa prikazane zone micanjem novčića ili guranjem novčića nadalje. \n* Vratite novčiće kupcu.\n* Ako se kvar ponovi, molim vas zovite pomoć."
ScotApp_935,Težina Smanjena
ScotApp_835,Priznanica:
ScotApp_1708,"* Pritisnite gumb za povrat kovanica nekoliko puta da biste uklonili zaglavljenje kovanica, zatim pritisnite ""Ispravio sam grešku"".\n* Ako se kvar ponovi, zovite pomoc."
ScotApp_1168,Pisač nije zakvačen u prednjem položaju.
ScotApp_1446,Isprazni
ScotApp_1566,Puna zamjena
ScotApp_1080,Odložite proizvod na remen.
ScotApp_1775,Priznajte Kupon
ScotApp_1810,Novčići zaostoju.
ScotApp_1297,VRIJEME ZA UZIMANJE OSTATKA JE ISTEKLO
ScotApp_1648,(mmddgg)
ScotApp_708,708unused
ScotApp_608,Postavi Uspoređivanje težine
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,Neodgovarajući Kupon 
ScotApp_781,781unused
ScotApp_681,Odaberite između Omiljenih
ScotApp_581,Prekid transakcije je odbijen.
ScotApp_481,Potrebna je Pomoć
ScotApp_381,Normalno
ScotApp_908,Zaštita
ScotApp_521,Iznos je Povraćen:
ScotApp_1087,Kartica je Primljena. Skenirajte vaše proizvode i kupone.
ScotApp_981,981unused
ScotApp_881,Obustavi:
ScotApp_1774,IZNOS KUPONA JE PREVISOK
ScotApp_1296,Napunite sve spremnike s kovanicama za optimalnu razinu usluge.
ScotApp_1583,valuta je niska (%s)
ScotApp_1552,Kanta je puna
ScotApp_1295,T - Z
ScotApp_1877,Alarm za krađu
ScotApp_1761,Kanta za kupone je puna ili je otvor za kupone blokiran. Uklonite sve predmete koji blokiraju otvor za kupone i zatim ispraznite kantu za kupone.
ScotApp_1086,"""Dodaj Nula težina"" briše sve unose težina."
ScotApp_693,693unused
ScotApp_794,Zaglavljenje u kaseti izdavaca novcanica\nUkloni zaglavljenje u izdavacu novcanica.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap učitan.
ScotApp_494,Odaberite ostatak iznosa od spisaka.
ScotApp_394,394unused
ScotApp_1098,"* Otvorite vrata kucišta pisaca.\n* Provjerite zaostaj papira u prikazanoj zoni.\n* Ako nema zaglavljenja papira, umetnite papir.\n* Trebao bi biti ispisan racun sa smiješkom.\n* Zatvorite i zakljucajte vrata kucišta pisaca."
ScotApp_1551,valuta je visoka (%s)
ScotApp_994,Zatvoreno
ScotApp_894,DBM učitan.
ScotApp_1760,Kanta za kupone je puna ili je otvor za kupone blokiran. Uklonite sve predmete koji blokiraju otvor za kupone i zatim ispraznite kantu za kupone.
ScotApp_1371,Akceptor gotovine
ScotApp_1803,Prihvaćena je Samo Gotovina
ScotApp_1359,Ispis potvrde
ScotApp_1085,Skupi kupone
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Izdavac kovanica: je napunjen dana %s u %s sati
ScotApp_1491,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_476,Kupon je Ostavljen
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Dali želite zaustaviti odjavu i izbrisati vašu cijelu kupovinu?
ScotApp_976,976unused
ScotApp_876,"Unesite ID glavnog blagajnika i pritisnite ""Unesite""."
ScotApp_1271,USERDEFINED13
ScotApp_1767,Uređaj nije uspio naći parametre za težinu na vagi.
ScotApp_755,Obrada...
ScotApp_655,Izuzetak Proizvoda
ScotApp_1084,Skupljanje
ScotApp_455,455unused
ScotApp_355,Odaberite funkciju sustava
ScotApp_255,255unused
ScotApp_155,Vijest Sustava
ScotApp_1011,Transportiranje...
ScotApp_869,"Utipkajte Autorizaciju # i pritisnite ""Unesite""."
ScotApp_955,Neuspjelo aktiviranje pametne vage.
ScotApp_855,Skup Naknade:
ScotApp_23,+ %s (%s)
ScotApp_1766,Greška u skeneru/vagi.
ScotApp_1280,GOTOVINA
ScotApp_1335,Traka je zatvorena
ScotApp_1497,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_728,728unused
ScotApp_628,Traka #: %d
ScotApp_528,528unused
ScotApp_428,Žuto
ScotApp_328,"* Djeljenje nije uspilo %s kupcu.\n* Provjerite djeljitelj kovanica i racuna.\n* Ako je prazan, napunite.\n* Ako nije prazan, uklonite zaglavljenje.\n* Dotaknite ""Ispravio sam grešku""."
ScotApp_228,"Zatvarač čitača kartica se zaglavio, zatvorite."
ScotApp_128,128unused
ScotApp_1690,Molimo nazovite službu podrške
ScotApp_281,281unused
ScotApp_181,"\nUpotrebite tipkovnicu za ubaciti vrijednost kupona u centima i pritisnite ""OK""."
ScotApp_928,Idite na traku i provjerite uređaj.
ScotApp_828,828unused
ScotApp_1033,"Deaktivirajte proizvod ili uklonite tvrdu etiketu i pritisnite ""Očisti zaštitu""."
ScotApp_1496,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_680,680unused
ScotApp_580,Pokušali ste poništenje proizvoda prije poništenja njegovog kupona.
ScotApp_380,380unused
ScotApp_280,Očisti Sigurnosni zapis 
ScotApp_180,Spremite kupone sa strane za sada.\nUložite ih na kraju kupovine.
ScotApp_1364,Micr
ScotApp_980,Tajmer istekao bez odgovora kupca
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01lb Maks 30.00 lb min 0.2 lb Nmaks 3000
ScotApp_1032,EAS Proizvoda još uvjek aktivan.
ScotApp_1286,Hrvatski
ScotApp_1462,Kante
ScotApp_1298,Funkcije podrške operatera
ScotApp_1031,Skenirajte vaše kupone.
ScotApp_1482,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1706,"* Uredaj nije spreman.\n* Zatvorite sve druge aplikacije koje bi mogle imati pristup uredaju i pritisnite ""Ispravio sam grešku"".\n* Ako se greška pojavi ponovo, pozovite Gunnebo za službu za korisnike."
ScotApp_1399, Poslužitelj
ScotApp_1494,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1672,Greška u Priradniku Kovanice
ScotApp_573,"Unesite svoj korisnički ID i pritisnite ""Unesite""."
ScotApp_173,173unused
ScotApp_775,Dobrodošli na NCR SelfServ Checkout! Sretna kupovina! 
ScotApp_675,Izdavač kovanica je napunjen
ScotApp_1481,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Pokušajte Ponovo 
ScotApp_39,Transakcija Poništena
ScotApp_29,Ograničeni Proizvodi
ScotApp_19,Porez
ScotApp_975,975unused
ScotApp_603,Uredi/Dodaj unos težine
ScotApp_99,Količina za Poništiti
ScotApp_89,89unused
ScotApp_303,Poništite Proizvode
ScotApp_203,203unused
ScotApp_103,Utipkajte kod proizvoda
ScotApp_1889,Provjera razine sigurnosti
ScotApp_1443,"Umetnite kovanice za nadopunu ili pritisnite ""Uklonite novac"" za pražnjenje."
ScotApp_903,Proizvod je sklonut od zone pakiranja.
ScotApp_803,803unused
ScotApp_1555,Izdavač
ScotApp_1037,Potpis
ScotApp_1480,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1263,USERDEFINED5
ScotApp_1697,Zaglavljenje uklonjeno
ScotApp_748,748unused
ScotApp_648,UPC
ScotApp_548,548unused
ScotApp_448,Vaš korisnički račun za čestog kupca je bio aktiviran.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_948,\n* Udaljena Pomoć
ScotApp_848,Količina Potrebna:
ScotApp_485,Potreban je Potpis
ScotApp_1036,Aktivan ENR
ScotApp_1487,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1499,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1023,1023unused
ScotApp_1179,VRIJEME ZA ODLAZAK ISTEKLO
ScotApp_1035,Aktivan ENR
ScotApp_1682,Opća greška u jedinici čitača novčanica
ScotApp_1486,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1144,Izdavač ne reagira.
ScotApp_866,Da 
ScotApp_1498,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1384,Jezik
ScotApp_1743,"Utipkajte svoj korisnički ID i pritisnite ""Unesite"", ili stavite prst na čitač otisaka da biste se prijavili."
ScotApp_1319,VAUČER
ScotApp_1178,PRAG ZAVRŠETKA UKLANJANJA JE PRIJEĐEN
ScotApp_1001,Proizvod nije pronađen
ScotApp_1034,1034unused
ScotApp_1485,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1068,1068unused
ScotApp_1694,"Koristi se zamjena jer %s u Pritisnite ""Stanje Gotovine / Papira"" treba napuniti ili ukloniti zaglavljenje."
ScotApp_1165,* Pažljivo povucite pisac naprijed dok se ne zakvaci u pravilan položaj.\n* Zatvorite i zakljucajte vrata kucišta pisaca.
ScotApp_1021,Pažnja
ScotApp_1230,NEGATIVAN ODJEL
ScotApp_1484,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_912,Potvrdi i ažuriraj težinu
ScotApp_723,723unused
ScotApp_623,"Unesite odstupanje pomoću tipkovnice i pritisnite ""Unesite""."
ScotApp_523,Kartica je Propala
ScotApp_423,Umetnite karticu. Molim vas provjerite košaru za dodatne proizvode.
ScotApp_323,  Količina %d @ %d/%s
ScotApp_223,Spremnik za prihvat čitača kartica je pun
ScotApp_123,123unused
ScotApp_1020,Skenirajte Proizvode
ScotApp_923,923unused
ScotApp_823,Poništiti Odobrenje
ScotApp_1483,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1237,KUPON
ScotApp_1680,* Nepopravljiva greška.\n* Molimo zatvorite traku.\n* Pozovite Gunnebo i podnesite informacije prikazane ispod.\n\nGreška u SafePay-u: %s
ScotApp_702,702unused
ScotApp_602,Uredi/Dodaj\nunos težine
ScotApp_502,Odložite poništene proizvode sa strane.
ScotApp_402,Nije prisutno
ScotApp_302,Molim vas unesite vaš PIN u uređaj za plaćanje.
ScotApp_202,Provjera odjave...
ScotApp_102,Ukinut Proizvod 
ScotApp_1722,"Traka je u postupku pripreme, želite li nastaviti transakciju?"
ScotApp_902,Proizvod je sklonut od zone pakiranja. Povratite proizvod.
ScotApp_802,"\nKupujete cijelo pakiranje\nod %s?\n\nOdaberite ""Da"" ili ""Ne""."
ScotApp_568,Izbrisati
ScotApp_468,   Ukinuti
ScotApp_368,Zastoj pisača - papir nije umetnut
ScotApp_268,Kartica nije pravilno pročitana
ScotApp_1027,"Pritisnite ""Da"" za poništenje transakcije ili ""Ne"" za nastavak transakcije."
ScotApp_1354,Skupljajte Poklon-karticu
ScotApp_968,968unused
ScotApp_868,Upis Broja Autorizacije: 
ScotApp_1433,na vagi za pakiranje.
ScotApp_1687,"Za unos novca koristite ekran  ""Stanje Gotovine / Papira""."
ScotApp_1150,Vrata kućišta pisača su otvorena.
ScotApp_1699,"Koristi se zamjena jer treba napuniti ili ocistiti zaglavljenje, zatim pritisnite ""Stanje ispravljeno""."
ScotApp_1259,USERDEFINED1
ScotApp_1223,MANJAK NOVCA / PAPIRA
ScotApp_1379,Jedinična cijena
ScotApp_1432,<<<Malo kovanica. Molimo napunite.>>>
ScotApp_1686,* Nepopravljiva greška.\n* Molimo zatvorite traku.\n* Pozovite Gunnebo i podnesite informacije prikazane ispod.\n\nGreška u SafePay-u: %s
ScotApp_1157,* Moguce je da su vrata izdvaca novcanica otvorena.\n* Izdavac novcanica nece raditi dok su otvorena pristupna vrata.\n* Zatvorite i dobro zakvacite vrata izdavaca  ili sigurnosna vrata.
ScotApp_1013,Proizvodi su Pokrenuti natrag
ScotApp_1184,VIŠE PODATAKA
ScotApp_1848,"Proizvod je izbrisan. Skenirajte sljedeći proizvod ili Ipritisnite ""Unesi Kod""."
ScotApp_1169,* Otvorite vrata kućišta pisača.\n* Pažljivo povucite pisač naprijed dok se ne zakvači u pravilan položaj.\n* Zatvorite i zaključajte vrata kućišta pisača.
ScotApp_1662,Drugi računi
ScotApp_1311,* Uklonite akceptor novcanica.\n* Otvorite modul akceptora.\n* Provjerite da li je došlo do zaglavljenja i zatim zamijenite modul.\n* Provjerite da li se motor akceptora ukljucuje i da li seupalila zeleno LED svjetlo.
ScotApp_1025,Uklonite sve proizvode s trake i zatvorite sigurnosni poklopac.
ScotApp_1378,Težina
ScotApp_22,Nema\nostatka\nnovca\n+ 0         \n(%s)
ScotApp_1234,KOLIČINA OGRANIČENA
ScotApp_1685,Opća greška u jedinici kovanica
ScotApp_1156,Provjerite da li je tipka za pokretanje izdavača kovanica uključena.
ScotApp_1012,Vaš proizvod je bio prebačen.
ScotApp_1365,MSR
ScotApp_1235,AKTIVAN EAS
ScotApp_1221,STORNIRANI EVIDENTIRANI PROMET
ScotApp_1143,Kovanica ima malo ili nema spremnika s kovanicama.
ScotApp_434,Vrsta Naknade
ScotApp_1625,"Umetnite kovanice za nadopunu ili pritisnite ""Ukloni kovanice"" za pražnjenje."
ScotApp_1430,Poništite Proizvod 
ScotApp_1684,Greška u Priradniku Kovanice
ScotApp_1155,Uređaj je odspojen.
ScotApp_834,Naknade ii Sporazumi Korisnika:
ScotApp_799,Provjerite Košaru
ScotApp_699,Proizvod koji se ne može prodati
ScotApp_599,Resetiranje uređaja za obrasce...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,User Exits učitan.
ScotApp_743,743unused
ScotApp_643,Proizvod je izbrisan. Skeniraj sljedeći proizvod.
ScotApp_543,ID (korisnicko ime) operatera ne smije biti veci od %d brojeva.
ScotApp_343,343unused
ScotApp_243,Čitač kartice kartica nevaži
ScotApp_999,Limit prekoračen
ScotApp_899,Potvrdi poništenje za
ScotApp_1220,EFT
ScotApp_1142,Greška u radu izdavača kovanica
ScotApp_943,Ja koristim moju kesicu
ScotApp_843,843unused
ScotApp_1437,"Prijeđen prag za ""Proizvod uklonjen"""
ScotApp_1601,     Kanta izdavača kartica - niska razina
ScotApp_722,722unused
ScotApp_622,Uredi odstupanje za UPC
ScotApp_522,Nepravilan PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Slijed zahtjeva pisača: Provjerite pisač ili preglednik događaja radi grešaka, zatim pritisnite  ""Ispravio sam grešku""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Potvrdi poništeni proizvod
ScotApp_1715,Potvrda za odbijanje prekida
ScotApp_1227,VRIJEME JE OGRANIČENO
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,Umetnite karticu. Molim vas provjerite košaru za dodatne proizvode.
ScotApp_301,Unesite vrijednost kupona
ScotApp_201,Provjera prijave...
ScotApp_101,Nepoznata Cjena
ScotApp_1633,Greška u Preradniku Novčanica
ScotApp_901,Odobrenje za preskočiti pakiranje.
ScotApp_801,Kupovinska Košara za pakiranje
ScotApp_1824,Digitalni Račun nije izdan.
ScotApp_1328,Dupla Težina
ScotApp_1299,Pokrenite transakciju i unesi Postupak podrške
ScotApp_1226,UKINUT PROIZVOD
ScotApp_1140,Zaglavljenje u izdavaču novčanica.
ScotApp_1579,Akceptor novčanica
ScotApp_1426,%s\nJe li %d pravilno?
ScotApp_1632,"* Uklonite poklopac spremnika za novcanice.\n* Provjerite kabel za Provjeru novcanica i pritisnite tipku Pokušaj ponovo.\n* Ako se kvar ponovi, zovite pomoc.\n\nGreška u SafePay-u: %s"
ScotApp_1141,Izdavanje nije uspilo %s. OPREZ: Postoji mogucnost da se na vrhu izdavaca zaglavila novcanica.
ScotApp_1791,Samo Gotovina
ScotApp_1357,Skupljajte Poklon-karticu
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Postupak pakiranja
ScotApp_514,514unused
ScotApp_314,problem kante
ScotApp_214,Provjera dugovanja
ScotApp_114,Nemože se Poništiti Proizvod 
ScotApp_1369,Misc
ScotApp_78,ATM ( Ne gotovina)
ScotApp_1630,Greška u Preradniku Novčanica
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Idi na traku, ukloni suvišne proizvode i pritisni ""Očisti zaštitu""."
ScotApp_1422,Ručni skener
ScotApp_18,Cijeli
ScotApp_1147,Greška u radu sigurnosne vage
ScotApp_1578,Ukupna vrijednost:
ScotApp_1022,Ja ne želim staviti\nu kesicu ovaj proizvod
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Vrijeme je ograničeno
ScotApp_1434,Ograničena Starost
ScotApp_1356,Skuplja
ScotApp_1212,DRUGO
ScotApp_1455,Nevažeći broj
ScotApp_1713,Pritisnite Potvrda za odbijanje prekida
ScotApp_1565,Unesi vrijednost sredstava za %s
ScotApp_194,Učitavanje Upravljanja uređajem...
ScotApp_1275,USERDEFINED17
ScotApp_1146,Akceptor ne reagira.
ScotApp_1303,Kartica Vjernosti je prihvaćena: #%s
ScotApp_70,70unused
ScotApp_60,Zahtjev za Pomoć
ScotApp_50,50unused
ScotApp_40,Odobrenje trgovine
ScotApp_30,Poništeni Proizvodi
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,Proizvod se ne može poništiti sve dok njegov kupon nije poništen. Prvo poništite kupon proizvoda.
ScotApp_1211,ZADANO
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,Unos PIN-a je Promašen
ScotApp_463,Daljinsko odobrenje završava...
ScotApp_363,\nUnesite lozinku operatera pomocu tipkovnice
ScotApp_163,163unused
ScotApp_1420,Izbrisati proizvod\n%s?
ScotApp_1145,Greška u akceptoru kovanica
ScotApp_963,Poništi zahtjev
ScotApp_863,Upis Vrijednost Kupona
ScotApp_1816,Novčići zaostoju ili vrata su otvorena.
ScotApp_1637,Problem u kabelu
ScotApp_742,742unused
ScotApp_642,Proizvod je dodan. Skeniraj sljedeći proizvod.
ScotApp_542,Nije moguće kreirati bar kod operatera.
ScotApp_342,Otipkajte Opis
ScotApp_242,Zaglavljena kartica u Čitaču kartica
ScotApp_142,Potvrdite Iznos
ScotApp_1210,ZADNJI PREGLED
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Način plaćanja uz pomoć operatera 
ScotApp_1427,Promijenite kolicinu proizvoda:  \n%s
ScotApp_721,721unused
ScotApp_621,Zadano
ScotApp_1341,Regulacija jačine
ScotApp_421,"Skenirajte vaše proizvode, ili dotaknite ""Početak"" za početak."
ScotApp_321,Dokazivanje Transakcije
ScotApp_221,Zatvorite i zaključajte vrata kućišta pisača.
ScotApp_121,proizvode s ovog položaja za provjeru.
ScotApp_1636,Greška u Priradniku Kovanice
ScotApp_921,Očekivana težina na sigurnosnoj vagi.
ScotApp_821,821unused
ScotApp_600,Održavanje zaštite
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,SigCap učitan
ScotApp_200,Provjera Transkacijskog brokera. ..
ScotApp_100,Potrebna je Količina 
ScotApp_1076,Pažnja
ScotApp_1623,Premjestite novčanice u kasetu za podizanje
ScotApp_1340,Zatvori cijeli sustav
ScotApp_1108,%s\t%s\t%s do %s %s/%s\t%s
ScotApp_1814,Spremnik je izvan ili nije namješten.
ScotApp_1758,Greška u kanti za kupone
ScotApp_1635,"* Provjerite kablove Preradnika novcanica i pritisnite tipku Pokušaj ponovo.\n* Ako se kvar ponovi, zovite pomoc.\n\nGreška u SafePay-u: %s"
ScotApp_1557,Podizanje izdavača
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Ograničeno Vrijeme za Proizvode
ScotApp_1413,Molim vas završite vašu transakciju u slijedeći(h) # minut(a).  Jedna jaka nepovezanost može se ubrzo pojaviti.
ScotApp_334,Nema kartice u Čitaču kartica
ScotApp_234,* Uklonite kasetu za novcanice.\n* Uklonite novcanice iz kasete.\n* Umetnite kasetu i zakvacite u pravi položaj.\n* Izvadite rucicu kasete da provjerite da kvaka drži kasetu u pravilnom položaju.
ScotApp_1569,Vrijednost 
ScotApp_1801,Postupak od Operacije
ScotApp_934,Težina Povećana
ScotApp_1622,Kaseta
ScotApp_768,Obustavi potvrdu
ScotApp_668,Potpis uspješno ispisan.
ScotApp_1347,Pokušaj ponovnog spajanja
ScotApp_1778,Očisti zaštitu
ScotApp_168,Skenirajte vaše kupone i odložite ih sa strane sve dok ne završite kupovinu.
ScotApp_1203,DOKUMENT POTVRĐEN
ScotApp_1634,Problem u kabelu
ScotApp_1556,Podizanje akceptora
ScotApp_1412,Pomoćne funkcije
ScotApp_1783,OTVOREN SIGURNOSNI POKLOPAC
ScotApp_1232,POTPIS POTVRĐEN
ScotApp_1568,Krajnji iznos:                    %s
ScotApp_1800,Odaberite Postupak od Operacije
ScotApp_1495,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1621,Otključajte kasetu za novčanice
ScotApp_1346,Traka nije spojena na mrežu (offline) i sustav se pokušava ponovo spojiti.
ScotApp_72,72unused
ScotApp_62,Da
ScotApp_52,Poništite Kupone
ScotApp_42,Poništen Proizvod
ScotApp_32,Nastaviti
ScotApp_12,Količina %d @ %s/svakog
ScotApp_1411,Promijenite količinu
ScotApp_92,Dobrodošli!
ScotApp_82,82unused
ScotApp_1807,_ _ _
ScotApp_1089,Završi vrijeme izvještaja
ScotApp_1620,Otključajte poklopac spremnika za novčanice
ScotApp_1345,Upravljanje sigurnošću završava...
ScotApp_1819,Greška u Preradniku Akceptanta Novčića
ScotApp_762,762unused
ScotApp_662,%
ScotApp_1554,Akceptor
ScotApp_462,Daljinsko odobrenje učitano.
ScotApp_362,Unesite lozinku
ScotApp_262,262unused
ScotApp_162,Skenirajte vaše proizvode i kupone.
ScotApp_1410,Promijenite cijenu
ScotApp_962,"Pokupite poništeni proizvod s trake i zatim pritisnite ""Potvrdi poništenje""."
ScotApp_862,Upis Vrijednost Kupona: 
ScotApp_1806,"\n*Pritisnite ""Samo Kartice"" za završiti transakciju i ručno dajte ostatak kupcu."
ScotApp_1088,1088unused
ScotApp_1627,Greška Preradnika kovanica/novčanica
ScotApp_741,741unused
ScotApp_641,Prosjek Težine  Odobreno Zbroj  Tip odstup. Vrijednost odstup. Datum
ScotApp_541,Ispis bar koda skena operatera
ScotApp_441,Potvrditi Iznos
ScotApp_341,341unused
ScotApp_241,Neočekivana greška Upravljanja uređajem
ScotApp_141,Odaberite vrstu Kartice
ScotApp_941,Poništen Proizvod
ScotApp_841,Upis Proizvoda
ScotApp_1873,1873unused
ScotApp_25,Datum rođenja:
ScotApp_720,720unused
ScotApp_520,Kod Proizvoda je Nepoznat
ScotApp_420,420unused
ScotApp_320,Vrati se nazad
ScotApp_220,* Otvorite vrata kucišta pisaca.\n* Otvorite poklopac pisaca radi provjere zaglavljenja.\n* Umetnite novi smotak papira u pisac.\n* Zatvorite i zakljucajte vrata kucišta pisaca.
ScotApp_120,Transakcija je poništena. Sklonite
ScotApp_1626,Umetnite novac za nadopunu ili izaberite drugu funkciju.
ScotApp_1423,Ručni skener se pokušava spojiti.
ScotApp_920,Potvrdi/Nije ažurirano.
ScotApp_820,Potvrdi poništenje
ScotApp_1757,"Za dodati jedan naglasak, pritisnite jednu tipku ""Naglasak"" na donjoj strani ekrana i otipkajte slovo."
ScotApp_1872,1872unused
ScotApp_754,Sažetak zadnjih 7 dana
ScotApp_554,Nemoj te provući platnu karticu u ovo vrijeme.
ScotApp_1613,Kanta odbačenih kartica
ScotApp_354,Funkcije sustava
ScotApp_254,* Izdavac kovanica nije u funkciji.\n* Napunite izdavac kovanica ili\n* Ga ukljucite ili\n* Uklonite zaglavljenje u izdavacu.
ScotApp_154,Učitavanje...
ScotApp_1769,Unesi Kod
ScotApp_1240,GOTOVINA/NOVAC
ScotApp_954,Neuspjelo otvaranje pametne vage.
ScotApp_854,Pet Proizvoda
ScotApp_1547,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_1403,"Zaustavite i restartajte NCR SelfServ Checkout Odjavite se iz programa. Ako greška nije uklonjena, kontaktirajte službu za pomoć."
ScotApp_545,Ograničen Proizvod.
ScotApp_1559,Izlaz
ScotApp_1871,%s %s opaženo
ScotApp_1612,Upravljanje karticama
ScotApp_1550,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_845,Skenirajte Dodatne Proizvode:
ScotApp_1564,Unesi zbroj sredstava za %s
ScotApp_1768,Nepodržana jedinica za težinu.
ScotApp_1272,USERDEFINED14
ScotApp_1546,Molimo pogledajte Priručnik uređaja kako biste popravili grešku.
ScotApp_74,Potvrditi Poništenje
ScotApp_64,Poništite to što ste izbirali
ScotApp_54,Poništite
