AmountSaved,Úspora
ScotApp_1177,LIMIT PRE VLOŽENIE DO TAŠKY UPLYNUL
ScotApp_1528,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1175,PREKROČENÝ LIMIT PRE NEPOUŽITIE TAŠIEK
ScotApp_1109,%s\t%s\t%s po %s/%s\t%s
ScotApp_1453,Heslo pokladníka
ScotApp_1693,Náhrada mincí
ScotApp_1515,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,ZADANÝ NOVÝ TOVAR
ScotApp_1724,TRANSAKCIA V ŠKOLIACOM REŽIME
ScotApp_1019,Položte na pás
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Upraviť toleranciu hmotnosti
ScotApp_1305,%s vložené
ScotApp_1893,Invalid Barcode
ScotApp_1409,Menu režimu pomoci
ScotApp_1692,Prihlásenie vedúceho
ScotApp_1163,"Stlačte tlačidlo ""Odstránil(a) som problém"".\nAk chyba pretrváva, reštartujte terminál:\nOtočte kľúč vedúceho do polohy ""S"" – ALEBO stlačte tlačidlo vedúceho.\nZvoľte ""Vypnúť celý systém"".\nKeď zmizne obraz z obrazovky, odpojte terminál od zdroja alebo zo zásuvky.\nZapnite terminál. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_1514,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1372,Prijímač mincí
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Vernostná karta akceptovaná
ScotApp_1162,Zariadenie je offline.
ScotApp_1833,Exc_TB
ScotApp_1818,"* Odomknite a vytiahnite priehradku násypky, aby ste odstránili zaseknutie (I).\n* Zaseknuté mince vráťte do správneho zásobníka (zásobníkov) násypiek. Potom vložte späť a zamknite priehradku násypky.\n* Vytiahnite recyklátor mincí. Potom odomknite a vyberte kryt.\n* Odpojte zobrazený kábel (II).\n* Uvoľnite červený výčnelok na pravej strane prijímača, potom ho vytiahnite dopredu a otočte, aby sa odstránilo zaseknutie na zobrazených miestach (III).\n* Vložte späť prijímač a znova zapojte kábel.\n* Vráťte späť kryt a zamknite ho. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_1174,ROZDIEL V HMOTNOSTI
ScotApp_1500,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1366,Váha
ScotApp_1161,Chyba pagera
ScotApp_1717,ZH:
ScotApp_1832,Exc_DEPT
ScotApp_1370,Šifrovací modul
ScotApp_669,Tlač podpisu sa nepodarila. Došlo k chybám.
ScotApp_569,Zadajte kód
ScotApp_469,469unused
ScotApp_369,Chyba komunikácie s tlačiarňou
ScotApp_269,Režim pomoci
ScotApp_1507,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Zabezpečenie je offline, posledná akcia bola zrušená."
ScotApp_537,537unused
ScotApp_437,Poukážka nestačí
ScotApp_337,"Načítajte tovar alebo zadajte kód a stlačte tlačidlo ""OK""."
ScotApp_237,"Vložte kazetu, až poistka zaklapne.\n\nPotiahnite za rukoväť kazety, aby ste si overili, že poistka kazetu drží."
ScotApp_137,Vezmite drobné
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s očakávané;LSWND3=%s %s zistené;
ScotApp_1519,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1831,Interpol.
ScotApp_937,Limit\nna odstránenie tovaru
ScotApp_837,Poplatky
ScotApp_1702,*** DUPLIKÁT ÚČTENKY ***
ScotApp_1377,množstvo
ScotApp_1728,Vyberte tovar zo zoznamu.
ScotApp_1395,Vstup do režimu obsluhy
ScotApp_716,716unused
ScotApp_616,Porovnávanie hmotnosti
ScotApp_516,Iný druh platby
ScotApp_416,Načítanie aplikácie Hard Totals...
ScotApp_316,316unused
ScotApp_216,"* Otvorte dvierka na skrinke tlačiarne.\n* Otvorte kryt tlačiarne a skontrolujte, či nie je zachytený papier.\n* Zatvorte kryt tlačiarne a znova vložte papier.\n* Má sa vytlačiť účtenka so Šťastnou tvárou.\n* Zatvorte a zamknite dvierka na skrinke tlačiarne."
ScotApp_116,Zrušiť všetok tovar
ScotApp_1522,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1506,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1879,Skontrolujte bezpečnostnú váhu a stlačte „Vymazať alarm“.
ScotApp_916,"Skontrolujte tovar pri pokladni a stlačte tlačidlo ""Vymazať alarm""."
ScotApp_816,816unused
ScotApp_1167,"* Otvorte dvierka na skrinke tlačiarne.\n* Odistite a potlačte tlačiareň dozadu.\n* Otvorte kryt tlačiarne a skontrolujte, či nie je zachytený papier.\n* Zatvorte kryt tlačiarne a znova vložte papier.\n* Potiahnite tlačiareň opatrne vpred, až poistka zaklapne."
ScotApp_1518,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1830, Položky schválené
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Karta odmietnutá
ScotApp_483,Priloženým perom sa podpíšte na podpisovej ploche.
ScotApp_383,383unused
ScotApp_283,Zadajte heslo
ScotApp_1505,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_983,Načítanie aplikácie Takeaway Belt...
ScotApp_883,Potvrdiť pozastavenie
ScotApp_1363,Displej pokladne
ScotApp_1714,SCHVÁLENÉ ODMIETNUTIE POZASTAVENIA
ScotApp_1837,"Stlačte ""Schváliť"" a pokračujte v transakcii."
ScotApp_1449,Stav bankoviek
ScotApp_1375,Zmeny po zakúpení tovaru:\n%s
ScotApp_1248,DARČEKOVÁ KARTA
ScotApp_1153,Zaseknutý papier.
ScotApp_1504,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1362,Zámka
ScotApp_1836,NEPLATNÝ ČIAROVÝ KÓD
ScotApp_1571,Potvrďte ignorovanie zmien
ScotApp_1215,CHYBA ZARIADENIA
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Minul sa papier.
ScotApp_1700,"Výdaj %s sa nepodaril. %s\nSkontrolujte vydávače bankoviek a mincí.\nAk sú prázdne, doplňte ich.\nAk nie sú prázdne, odstráňte zaseknutie. \nStlačte tlačidlo ""Chyba opravená""."
ScotApp_1823,Elektronická účtenka bola úspešne vytvorená.
ScotApp_1605,     Zásobník vydávača kariet je prázdny
ScotApp_1361,Modul vrátenia bankoviek
ScotApp_1835,Skontrolujte alebo dajte tovar nabok
ScotApp_1878,Nesprávna hmotnosť na bezpečnostnej váhe.
ScotApp_1281,PLATBA S OBSLUHOU
ScotApp_1425,Pripojiť
ScotApp_1570,Ignorovať zmeny
ScotApp_814,814unused
ScotApp_291,"Zablokovaný kanál vydávača mincí\n%s\nOdstráňte zaseknuté mince, potom stlačte tlačidlo ""Zaseknutie odstránené""."
ScotApp_191,Transaction Broker je načítaný.
ScotApp_1151,Kryt tlačiarne je otvorený.
ScotApp_1707,Mince sú zaseknuté v prijímači
ScotApp_1822,Pozri hmotnosť položky vľavo dolu na obrazovke
ScotApp_757,757unused
ScotApp_657,Doklady pre vrátenie peňazí alebo zľavu predložte až na konci nákupu.
ScotApp_557,Tovar s obmedzením množstva
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Hlásenie systému
ScotApp_1360,Zásobník bankoviek
ScotApp_1719,Pr.:
ScotApp_1834,Max.
ScotApp_1868,"Skontrolujte, či rukami nezakrývate výhľad kamery čítačky"
ScotApp_957,Klient DB Manager nekomunikuje
ScotApp_857,Skontrolovať poplatok za skompletovanie
ScotApp_1064,1064unused
ScotApp_1577,Celkový počet:
ScotApp_736,736unused
ScotApp_636,Zabezpečenie je offline.
ScotApp_1091,"Mince sú zaseknuté, priehradka násypky chýba alebo sú otvorené dvierka."
ScotApp_436,Potvrďte sumu
ScotApp_336,Nájsť tovar
ScotApp_236,236unused
ScotApp_136,Vložte peniaze
ScotApp_1509,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1821,Akceptovať hmotnosť
ScotApp_936,Limit\nna tovar mimo tašiek
ScotApp_836,Poplatky a zmluvy so zákazníkmi
ScotApp_1367,Čítačka
ScotApp_1718,Poč:
ScotApp_1274,UŽÍVATEĽOM DEFINOVANÉ 16
ScotApp_715,715unused
ScotApp_615,Zvoľte nastavenie pre používanie tašiek. (Či zákazník MUSÍ vkladať tovar do tašiek.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Úspory debetu
ScotApp_115,Potvrdiť zrušenie
ScotApp_1576,Stav vydávača bankoviek:
ScotApp_1090,Vytvoriť zostavu
ScotApp_815,Otvoriť pokladňu
ScotApp_1508,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1406,Sync TB/POS
ScotApp_1099,Neznáma chyba zariadenia
ScotApp_1563,Doplniť
ScotApp_782,Vydávač bankoviek je zaseknutý\nOdstráňte zaseknuté bankovky alebo \nupravte zásob. odmietnutých peňazí.
ScotApp_682,682unused
ScotApp_582,Platba dokončená.
ScotApp_482,482unused
ScotApp_382,Neznáme
ScotApp_282,Zadajte ID
ScotApp_1575,Stav vydávača mincí:
ScotApp_1097,Vytlačiť záznamy alebo zostavy
ScotApp_1448,Stav mincí
ScotApp_982,Chyba zariadenia
ScotApp_143,Podpíšte účtenku
ScotApp_1353,Vložte darčekovú kartu do štrbiny na kupóny.
ScotApp_1704,"Stlačte tlačidlo ""Odstránil(a) som problém"".\nAk chyba pretrváva, reštartujte terminál:\nOtočte kľúč vedúceho do polohy ""S"" – ALEBO stlačte tlačidlo vedúceho.\nZvoľte ""Vypnúť celý systém"".\nKeď zmizne obraz z obrazovky, odpojte terminál od zdroja alebo zo zásuvky.\nZapnite terminál. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_1827,\n    - Aktuálny jazyk (%s)
ScotApp_1562,Počet
ScotApp_1815,"* Odomknite a vytiahnite priehradku násypky.\n* Vložte chýbajúcu násypku (násypky) a zabezpečte, aby boli všetky násypky správne nasadené.\n* Zabezpečte, aby bola násypka s najmenšími mincami vložená a správne nasadená.\n* Zabezpečte, aby boli vložené násypky so správnou menou. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_1574,Zadaná hodnota pre %s nie je platná. \nZadajte znova.
ScotApp_1543,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1290,D – J
ScotApp_1096,Zostavy
ScotApp_1352,Predloženie darčekovej karty
ScotApp_1561,Hodnota
ScotApp_1083,Tovar zobraný z baliaceho priestoru.\nVráťte tovar späť.
ScotApp_1753,Tovar nebol nájdený
ScotApp_418,Ukončovanie aplikácie Hard Totals...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Odomknite a vytiahnite priehradku násypky (I).\n* Vytiahnite zaseknutý zásobník (zásobníky) násypiek. Skontrolujte a odstráňte zaseknutia na výstupe (II).\n* Ak nie je vo výstupnej oblasti zaseknutie, vyprázdnite zásobník (zásobníky) násypiek. Skontrolujte a odstráňte zaseknutia otáčaním disku (III).\n* Vložte späť zásobník (zásobníky) násypiek.\n* Zabezpečte, aby boli všetky dvierka zatvorené a správne zamknuté. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_1095,"Zvoľte typ zostavy a stlačte ""Vytvoriť zostavu""."
ScotApp_1351,%s\n%s %s odstránené
ScotApp_1825,Uložiť preferencie
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Začnite platbu v hotovosti.
ScotApp_377,Jednotky – stav
ScotApp_277,277unused
ScotApp_1560,Prijímač celkom:  %s
ScotApp_1082,Zobral som tovar alebo tašku
ScotApp_977,Skutočná hmotnosť: %s %s
ScotApp_877,Zadanie ceny
ScotApp_1777,"Transakcia bola dokončená s kupónom, ktorý prekročil limit predajne na kupóny."
ScotApp_1812,"Mince sú zaseknuté alebo sú zásobníky mincí plné, prípadne prázdne"
ScotApp_756,756unused
ScotApp_556,Pozastavenie transakcie odmietnuté.
ScotApp_456,456unused
ScotApp_356,Šifrovací modul
ScotApp_256,Ukončovanie aplikácie User Exits...
ScotApp_156,Hlásenie systému
ScotApp_1231,VIZUÁLNE OVERENÉ
ScotApp_1874,1874unused
ScotApp_956,Aplikácia Smart Scale sa nedá vyžiadať
ScotApp_856,Účtenka:
ScotApp_1567,Vydávač celkom:  %s
ScotApp_735,735unused
ScotApp_635,Zadajte dátum narodenia
ScotApp_535,   Stiahnuté (staré)
ScotApp_335,Čítačka kariet: možné poškodenie zákazníkom
ScotApp_235,Stav prijímača bankoviek: takmer plný
ScotApp_135,135unused
ScotApp_1776,Overenie predajne
ScotApp_1811,"* Vytiahnite recyklátor mincí.\n* Odstráňte zaseknutie v zobrazenej oblasti odobraním míncí alebo ich potlačením dopredu.\n* Vráťte mince zákazníkovi. Ak sa chyba znova prejaví, zavolajte servis."
ScotApp_935,Hmotnosť je nižšia
ScotApp_835,Účtenka:
ScotApp_1708,"Niekoľkokrát stlačte tlačidlo návratu mincí, a tým odstráňte zaseknuté mince. Potom stlačte ""Odstránil(a) som problém"".\n\nAk sa chyba zopakuje, zavolajte servis."
ScotApp_1168,Tlačiareň nie je zaistená v prednej polohe.
ScotApp_1446,Vybrať
ScotApp_1566,Úplné doplnenie
ScotApp_1080,Položte tovar na pás.
ScotApp_1775,Schváliť kupón
ScotApp_1810,Mince sú zaseknuté.
ScotApp_1297,UPLYNUL LIMIT NA VYBRANIE DROBNÝCH
ScotApp_1648,(mmddrr).
ScotApp_708,708unused
ScotApp_608,Nastaviť porovnávanie hmotnosti
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,Nehodiaci sa kupón
ScotApp_781,781unused
ScotApp_681,Vybrať z Obľúbených
ScotApp_581,Pozastavenie transakcie odmietnuté
ScotApp_481,Je potrebná pomoc
ScotApp_381,Normálne
ScotApp_908,Zabezpečené
ScotApp_521,Vrátená suma:
ScotApp_1087,Karta je akceptovaná. Načítajte svoj tovar a kupóny.
ScotApp_981,981unused
ScotApp_881,Pozastavenie:
ScotApp_1774,KUPÓN MÁ PRÍLIŠ VYSOKÚ HODNOTU
ScotApp_1296,Doplňte všetky zásobníky mincí na optimálny stav.
ScotApp_1583,nedostatok peňazí  (%s)
ScotApp_1552,zásobník je plný
ScotApp_1295,T – Z
ScotApp_1877,Pozor na krádež
ScotApp_1761,Zásobník kupónov môže byť plný alebo štrbina na kupóny zablokovaná. Odstráňte predmety blokujúce štrbinu kupónov a potom vyprázdnite zásobník kupónov.
ScotApp_1086,"""Pridať nulovú hmotnosť"" zruší navážené údaje"
ScotApp_693,693unused
ScotApp_794,Kazeta vydávača bankoviek je zaseknutá\nOdstráňte zaseknuté bankovky.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap načítaná.
ScotApp_494,Zo zoznamu zvoľte sumu pre cash back.
ScotApp_394,394unused
ScotApp_1098,"* Otvorte dvierka na skrinke tlačiarne.\n* Skontrolujte, či papier nie je zachytený v zobrazenej oblasti.\n* Ak papier nie je zachytený, znova vložte papier.\n* Má sa vytlačiť účtenka so Šťastnou tvárou.\n* Zatvorte a zamknite dvierka na skrinke tlačiarne."
ScotApp_1551,nadbytok peňazí  (%s)
ScotApp_994,Zatvorené
ScotApp_894,DBM načítaná.
ScotApp_1760,Zásobník kupónov môže byť plný alebo štrbina na kupóny zablokovaná. Odstráňte predmety blokujúce štrbinu kupónov a potom vyprázdnite zásobník kupónov.
ScotApp_1371,Prijímač bankoviek
ScotApp_1803,Akceptovať len hotovosť
ScotApp_1359,Tlačiareň dokladov
ScotApp_1085,Zoberte kupóny
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Vydávač mincí:Doplnený %s o %s
ScotApp_1491,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_476,Odovzdanie kupónov
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,\nChcete zastaviť účtovanie a zrušiť celý nákup?
ScotApp_976,976unused
ScotApp_876,"Zadajte kód hlavného pokladníka a stlačte tlačidlo ""Enter""."
ScotApp_1271,UŽÍVATEĽOM DEFINOVANÉ 13
ScotApp_1767,Nepodaril sa prístup k hmotnostným parametrom váhy.
ScotApp_755,Spracúvanie...
ScotApp_655,Tovar – výnimka
ScotApp_1084,Odber
ScotApp_455,455unused
ScotApp_355,Zvoľte funkciu systému
ScotApp_255,255unused
ScotApp_155,Hlásenie systému
ScotApp_1011,Preprava...
ScotApp_869,"Zadajte autorizačné číslo a stlačte tlačidlo ""Enter""."
ScotApp_955,Aplikácia Smart Scale sa nedá povoliť
ScotApp_855,Poplatok za skompletovanie:
ScotApp_23,+ %s (%s)
ScotApp_1766,Chyba čítačky alebo váhy.
ScotApp_1280,HOTOVOSŤ
ScotApp_1335,Pokladňa zatvorená
ScotApp_1497,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_728,728unused
ScotApp_628,Pokl. č. %d
ScotApp_528,528unused
ScotApp_428,Žltá
ScotApp_328,"Výdaj %s zákazníkovi sa nepodaril. \n* Skontrolujte vydávač mincí a bankoviek.\n* Ak sú prázdne, doplňte ich.\n* Ak nie sú prázdne, odstráňte zaseknutie.\n* Stlačte tlačidlo ""Odstránil(a) som problém""."
ScotApp_228,Štrbina čítačky kariet zablokovaná
ScotApp_128,128unused
ScotApp_1690,Zavolajte servis
ScotApp_281,281unused
ScotApp_181,"\nNa klávesnici zadajte hodnotu kupónu v centoch a stlačte tlačidlo ""OK""."
ScotApp_928,Choďte k pokladni a skontrolujte zariadenie.
ScotApp_828,828unused
ScotApp_1033,"Deaktivujte tovar alebo snímte visačku v pokladni a stlačte tlačidlo ""Vymazať alarm""."
ScotApp_1496,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_680,680unused
ScotApp_580,Pokus o stornovanie tovaru pred stornovaním jeho kupónu.
ScotApp_380,380unused
ScotApp_280,Vymazať protokol alarmov
ScotApp_180,Teraz dajte kupóny nabok.\nPredložte ich až na konci nákupu.
ScotApp_1364,Mikr
ScotApp_980,Čas vypršal bez odozvy zákazníka
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,Bezpečnostná visačka stále aktívna.
ScotApp_1286,slovenčina
ScotApp_1462,Zásobníky
ScotApp_1298,Funkcie vykonávané obsluhou
ScotApp_1031,Načítajte kupóny.
ScotApp_1482,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1706,"Zariadenie nie je pripravené. Zatvorte všetky ostatné aplikácie, ktoré majú prístup k zariadeniu, a stlačte ""Odstránil(a) som problém"". Ak sa chyba znova prejaví, zavolajte servis firmy Gunnebo."
ScotApp_1399,Obsluha
ScotApp_1494,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1672,Chyba recyklátora mincí
ScotApp_573,"Zadajte kód užívateľa a stlačte tlačidlo ""Enter""."
ScotApp_173,173unused
ScotApp_775,Vitajte v samoobslužnej pokladni NCR! Želáme vám príjemný nákup!
ScotApp_675,Vydávač mincí doplnený
ScotApp_1481,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Skúsiť znova
ScotApp_39,Zrušenie transakcie
ScotApp_29,Limitovaný tovar
ScotApp_19,DPH
ScotApp_975,975unused
ScotApp_603,Upraviť/pridať údaj hmotnosti
ScotApp_99,Množstvo na stornovanie
ScotApp_89,89unused
ScotApp_303,Zrušiť tovar
ScotApp_203,203unused
ScotApp_103,Zadajte kód tovaru.
ScotApp_1889,Overenie dôveryhodnosti
ScotApp_1443,"Vložte mince na doplnenie alebo stlačte tlačidlo ""Vybrať mince"" a vyberte ich."
ScotApp_903,Tovar bol odstránený z baliaceho priestoru.
ScotApp_803,803unused
ScotApp_1555,Vydávač
ScotApp_1037,Podpis
ScotApp_1480,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1263,UŽÍVATEĽOM DEFINOVANÉ 5
ScotApp_1697,Zaseknutie odstránené
ScotApp_748,748unused
ScotApp_648,Čiarový kód
ScotApp_548,548unused
ScotApp_448,Váš účet častého zákazníka bol aktivovaný.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_948,\n* Vzdialená pomoc
ScotApp_848,Zadajte množstvo:
ScotApp_485,Je potrebný podpis
ScotApp_1036,Aktívna bezpečnostná visačka
ScotApp_1487,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1499,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1023,1023unused
ScotApp_1179,"LIMIT UPLYNUL, ZÁKAZNÍK ODIŠIEL"
ScotApp_1035,Aktívna bezpečnostná visačka
ScotApp_1682,Všeobecná chyba čítačky bankoviek
ScotApp_1486,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1144,Vydávač neodpovedá.
ScotApp_866,Áno
ScotApp_1498,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1384,Jazyk
ScotApp_1743,"Zadajte kód užív. a stlačte ""Enter"" alebo položte prst na čítačku odtlačkov a prihláste sa."
ScotApp_1319,POUKÁŽKA
ScotApp_1178,PREKROČENÝ LIMIT VYBERANIA Z BALIACEHO PRIESTORU
ScotApp_1001,Tovar nebol nájdený
ScotApp_1034,1034unused
ScotApp_1485,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1068,1068unused
ScotApp_1694,"Je použitá náhrada – dôvod: %s Stlačte tlačidlo ""Stav peňazí alebo papiera"" a doplňte peniaze alebo odstráňte zaseknutie."
ScotApp_1165,"Potiahnite tlačiareň opatrne dopredu, až západka zaklapne.\n\nZatvorte a zamknite dvierka na skrinke tlačiarne."
ScotApp_1021,Pozor
ScotApp_1230,ZĽAVA
ScotApp_1484,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_912,Schváliť a aktualizovať hmotnosť
ScotApp_723,723unused
ScotApp_623,"Zadajte toleranciu na klávesnici a stlačte ""Enter"""
ScotApp_523,Karta odmietnutá
ScotApp_423,"Vložte kartu. Pozrite, či nemáte v košíku ďalší tovar."
ScotApp_323,  Počet %d po %d/%s
ScotApp_223,Záchytný priečinok čítačky kariet je plný
ScotApp_123,123unused
ScotApp_1020,Načítajte tovar
ScotApp_923,923unused
ScotApp_823,Schváliť storno
ScotApp_1483,Odstránenie problému nájdite v návode na používanie zariadenia.
ScotApp_1237,KUPÓN
ScotApp_1680,Neriešiteľná chyba. Zatvorte pokladňu. Zavolajte firmu Gunnebo a oznámte jej informácie o chybe zobrazené nižšie.\n\nChyba modulu SafePay: %s
ScotApp_702,702unused
ScotApp_602,Upraviť/pridať \núdaj hmotnosti
ScotApp_502,Odložte zrušený tovar nabok.
ScotApp_402,Nie je
ScotApp_302,Zadajte PIN na platobnom termináli.
ScotApp_202,Test odhlásenia...
ScotApp_102,Tovar bol stiahnutý z obehu
ScotApp_1722,"Pokladňa je v školiacom režime, chcete pokračovať v transakcii?"
ScotApp_902,Tovar bol odstránený z baliaceho priestoru. Vráťte tovar späť.
ScotApp_802,"\nKupujete celé balenie\ntovaru: %s? \n\nZvoľte ""Áno"" alebo ""Nie""."
ScotApp_568,Vymazať
ScotApp_468,   Stiahnuté
ScotApp_368,"Papier v tlačiarni nevložený, zaseknutý"
ScotApp_268,Chyba čítania karty
ScotApp_1027,"Ak chcete transakciu zrušiť stlačte ""Áno"" ak v nej chcete pokračovať stlačte ""Nie""."
ScotApp_1354,Zobrať darčekovú kartu
ScotApp_968,968unused
ScotApp_868,Zadanie autorizačného čísla:
ScotApp_1433,na taškovej váhe.
ScotApp_1687,"Pomocou obrazovky ""Stav peňazí alebo papiera"" vložte hotovosť."
ScotApp_1150,Dvierka na skrinke tlačiarne sú otvorené.
ScotApp_1699,"Je použitá náhrada – dôvod: %s Doplňte peniaze alebo odstráňte zaseknutie a stlačte ""Chyba opravená""."
ScotApp_1259,UŽÍVATEĽOM DEFINOVANÉ 1
ScotApp_1223,"MÁLO PEŇAZÍ, PAPIERA"
ScotApp_1379,jednotková cena
ScotApp_1432,<<<Málo bankoviek. Doplňte.>>>
ScotApp_1686,Neriešiteľná chyba. Zatvorte pokladňu. Zavolajte firmu Gunnebo a oznámte jej informácie o chybe zobrazené nižšie.\n\nChyba modulu SafePay: %s
ScotApp_1157,Možno sú dvierka vydávača bankoviek otvorené.\n\nVydávač bankoviek nemôže pracovať s otvorenými dvierkami. \n\nDobre zatvorte bezpečnostné dvierka alebo dvierka vydávača a zaistite ich závorou.
ScotApp_1013,Nahromadený tovar
ScotApp_1184,VIAC ÚDAJOV
ScotApp_1848,"Tovar vymazaný. Načítajte ďalší tovar alebo stlačte ""Zadajte kód""."
ScotApp_1169,"Otvorte dvierka na skrinke tlačiarne.\n* Opatrne potiahnite tlačiareň vpred, až poistka zaklapne.\n* Zatvorte a zamknite dvierka na skrinke tlačiarne."
ScotApp_1662,Iné účtenky
ScotApp_1311,"* Vyberte prijímač bankoviek.\n* Otvorte modul prijímača.* \nSkontrolujte, či nie je zaseknutá bankovka, opravte a vráťte modul naspäť.\n* Skontrolujte, či sa motor prijímača rozbehne a zelená LED svieti."
ScotApp_1025,Zoberte všetok tovar z pása a zatvorte bezpečnostný kryt.
ScotApp_1378,hmotnosť
ScotApp_22,Žiadny\nCash\nBack\n+ 0          \n(%s)
ScotApp_1234,OBMEDZENIE MNOŽSTVA
ScotApp_1685,Všeobecná chyba modulu mincí
ScotApp_1156,"Skontrolujte, či je vypínač vydávača mincí zapnutý."
ScotApp_1012,Váš tovar sa prepravuje.
ScotApp_1365,MSR
ScotApp_1235,AKTÍVNA BEZPEČNOSTNÁ VISAČKA
ScotApp_1221,ODPOČET
ScotApp_1143,Málo mincí alebo zásobník mincí nie je vložený.
ScotApp_434,Typ dávky alebo potravinovej poukážky
ScotApp_1625,"Vložte mince na doplnenie alebo stlačte tlačidlo ""Vybrať mince"" a vyberte ich."
ScotApp_1430,Stornovať tovar
ScotApp_1684,Chyba recyklátora mincí
ScotApp_1155,Zariadenie je offline.
ScotApp_834,Poplatky a zmluvy so zákazníkmi:
ScotApp_799,Skontrolujte košík
ScotApp_699,Nepredajný tovar
ScotApp_599,Resetovanie modulu formulárov...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,User Exits je načítaná.
ScotApp_743,743unused
ScotApp_643,Tovar vymazaný. Načítajte ďalší tovar.
ScotApp_543,ID obsluhy nemôže mať viac než %d číslic.
ScotApp_343,343unused
ScotApp_243,Čítačka kariet: neplatná karta
ScotApp_999,Limit prekročený
ScotApp_899,Schváliť storno pre
ScotApp_1220,EL. PRENOS
ScotApp_1142,Chyba vydávača mincí
ScotApp_943,Mám vlastnú tašku
ScotApp_843,843unused
ScotApp_1437,Prekročený limit odstráneného tovaru
ScotApp_1601,     V zásobníku vydávača kariet je málo kariet
ScotApp_722,722unused
ScotApp_622,Upraviť toler. pre čiar. kód
ScotApp_522,Nesprávny PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Postup pri obsluhe tlačiarne: Skontrolujte chyby na tlačiarni alebo v prehliadači udalostí, potom stlačte tlačidlo ""Odstránil(a) som problém""."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,Schváliť stornovaný tovar
ScotApp_1715,Schválenie odmietnutia pozastavenia
ScotApp_1227,ČASOVÉ OBMEDZENIE
ScotApp_701,701unused
ScotApp_601,601unused
