AmountSaved,Sutaupyta suma
ScotApp_1644,Banknotų grąžinimo į apyvartą įtaiso dangtis išjungtas
ScotApp_1115,ATASKAITOS NEPRIJUNGUS
ScotApp_795,Pirkimo procedūros stebimos siekiant užtikrinti geresnę paslaugų kokybę.
ScotApp_695,695unused
ScotApp_595,"Įkeliama programa ""NCR SelfServ Checkout AuxDisp""..."
ScotApp_395,"Neleidžiamos prekės, dėl kurių taikomi apribojimai"
ScotApp_295,295unused
ScotApp_195,"Programa ""Device Manager"" įkelta."
ScotApp_566,566unused
ScotApp_1324,Po operacijos svoris\nišlieka ant svarstyklių.
ScotApp_995,"Nueikite prie kasos ir prisiregistruokite parduotuvės režimu, kad takelį atidarytumėte."
ScotApp_895,Išjungiama programa DBM...
ScotApp_1102,Kitas
ScotApp_1383,(išimt.)
ScotApp_1402,BANKNOTŲ ATMETIMO DĖŽĖS TRUMPIKLIO KIŠTUKAS IŠJUNGTAS.
ScotApp_1292,N - O
ScotApp_1114,"Funkcija ""Baigti ataskaitos laikotarpį"" atnaujinta sėkmingai"
ScotApp_1222,NEVEIKIA
ScotApp_1101,%s\t%s
ScotApp_1159,PIN klaviatūra / EFT įtaisas nereaguoja.
ScotApp_1100,%s
ScotApp_1539,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1649,(ddmmMMMM)
ScotApp_1317,Mokėjimas vaučeriu
ScotApp_1883,"Patikrinkite maišų svarstykles ir vežimėlį, ar nėra papildomų prekių, ir palieskite „Apsaugos išjungimas“."
ScotApp_729,729unused
ScotApp_629,Iš viso:
ScotApp_429,Raudona
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,"Patikrinkite, ar anuliuotos prekės atidėtos į šalį."
ScotApp_1107,%s\t%s\tkiekis %s @ %s/%s\t%s
ScotApp_1538,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_929,WLDB ryšys nepalaikomas teisingai.
ScotApp_829,829unused
ScotApp_1316,"* Atidarykite spausdintuvo dangtį ir patikrinkite, ar parodytoje srityje nesusidarė popieriaus kamštis.\n * Uždarykite spausdintuvo dangtį ir vėl įdėkite popierių."
ScotApp_81,Tęsti
ScotApp_1882,„Smart Assist“ įspėjimas – prekė nenuskenuota.
ScotApp_1673,Monetų kamštis
ScotApp_1135,Banknotų išdavimo įtaiso klaida
ScotApp_1705,Ryšio klaida.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"Įvesta gimimo data: %s, amžius – %d m."
ScotApp_1398, Patarn./mokym.
ScotApp_1106,%s\t%s\tkiekis %s @ %s/ kas\t%s
ScotApp_1525,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1493,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1490,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1315,"* Atidarykite spausdintuvo dangtį ir patikrinkite, ar nesusidarė popieriaus kamštis.\n * Uždarykite spausdintuvo dangtį ir vėl įdėkite popierių."
ScotApp_1881,"Patikrinkite maišų svarstykles, nuimkite papildomas prekes ir palieskite „Apsaugos išjungimas“."
ScotApp_1173,PATVIRTINTA PANAIKINTA PREKĖ
ScotApp_1524,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_505,Neteisingas numeris
ScotApp_1302,Uždaryti
ScotApp_905, (Daugiau informacijos apie kvitą...)
ScotApp_1164,Spausdintuvo padėtis nenustatyta teisingai.
ScotApp_1492,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1314,* Atidarykite spausdintuvo dangtį ir išvalykite bet kokias popieriaus atplaišas.\n * Uždarykite dangtį.\n * Įstatykite naują popieriaus ruloną.\n * Nukreipkite popierių iš rulono viršaus į spausdintuvą.
ScotApp_1817,"* Ištraukite monetu gražinimo i apyvarta itaisa.\n* Atidarykite apvalias šonines dureles ir pašalinkite monetas nuo diržu.\n* Isitikinkite, kad visos dureles uždarytos ir užrakintos tinkamai.\n* Gražinkite monetas klientui. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_1442,"Įdėkite pinigus, jei norite papildyti arba palieskite ""Išimti pinigus"" jei norite iškrauti."
ScotApp_1880,Nenumatyta prekė ant maišų svarstyklių.
ScotApp_1172,LAIKINAS SUSTABDYMAS PATVIRTINTAS
ScotApp_1415,1415unused
ScotApp_788,Galiojanti gimimo data: %s
ScotApp_688,688unused
ScotApp_588,"Įkeliama programa ""Device Factory""..."
ScotApp_488,Padėkite prekę ant svarstyklių: %s
ScotApp_388,Apdorojama...
ScotApp_288,"Palieskite ""Problemą ištaisiau"".\n\nJei klaida išlieka, paleiskite įrenginį iš naujo:\nPasukite prižiūrėtojo užraktą į padėtį ""S"" ARBA paspauskite prižiūrėtojo mygtuką.\nPasirinkite ""Visos sistemos išjungimas"".\nKai vaizdas ekrane dingsta, išjunkite įrenginį ties nenutrūkstamo energijos tiekimo šaltiniu arba maitinimo laidu.\nĮjunkite įrenginį. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_188,Pasirinktys įkeliamos...
ScotApp_988,Nenumatyta prekė ant juostos. Pašalinkite prekę.
ScotApp_888,Nenumatyta prekė pakavimo zonoje.  Pašalinkite prekę.
ScotApp_1887,Peržiūrėkite operaciją
ScotApp_1171,NENUMATYTAS PADIDĖJIMAS
ScotApp_1199,ĮVESTA GALIOJIMO PABAIGOS DATA
ScotApp_1300,Pradėti operaciją
ScotApp_1326,Kupono įdėjimo skirtasis laikas baigėsi
ScotApp_1291,K - M
ScotApp_1517,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1886,Patikrinkite papildomas prekes.
ScotApp_749,749unused
ScotApp_1529,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_549,549unused
ScotApp_449,Monetų priėmimo įtaiso būklė: atmesta
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,Įveskite PIN
ScotApp_1307,Kvitas spausdinamas
ScotApp_1738,"Patarnautojas, patikrinsiantis jūsų maišus"
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Pasirinkite svorio palyginimo nustatymą. (Lyginti prekės svorį su esamomis įvestimis).
ScotApp_517,Reikalaujama kito mokėjimo.
ScotApp_417,"Programa ""Hard Totals"" įkelta..."
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Atidėkite prekes į šalį
ScotApp_1516,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1885,Prekė nenuskenuota
ScotApp_917,Per daug užklausų pašalinti prekes iš pakavimo zonos.  Maks. = %d.
ScotApp_817,Reikia pagalbos
ScotApp_1177,PREKĖS PAKAVIMO SKIRTASIS LAIKAS BAIGĖSI
ScotApp_1528,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1175,VIRŠYTA NEPAKAVIMO SLENKSTINĖ VERTĖ
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Kasininko slaptažodis
ScotApp_1693,Monetų pakeitimas
ScotApp_1515,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,ĮVESTA NAUJA PREKĖ
ScotApp_1724,OPERACIJA MOKYMOSI REŽIMU
ScotApp_1019,Padėkite ant juostos
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Redaguoti svorio nuokrypį
ScotApp_1305,%s įdėta
ScotApp_1893,Invalid Barcode
ScotApp_1409,Pagalbos meniu
ScotApp_1692,Prižiūrėtojo registracija
ScotApp_1163,"Palieskite ""Problemą ištaisiau"".\n\nJei klaida išlieka, paleiskite galinį įrenginį iš naujo:\nPasukite prižiūrėtojo užraktą į padėtį ""S"" ARBA paspauskite prižiūrėtojo mygtuką.\nPasirinkite ""Visos sistemos išjungimas"".\nKai vaizdas ekrane dingsta, išjunkite galinį įrenginį ties nenutrūkstamo energijos tiekimo šaltiniu arba maitinimo laidu.\nĮjunkite galinį įrenginį. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_1514,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1372,Monetų priėmimo įtaisas
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Lojalumo kortelė priimta.
ScotApp_1162,Įtaisas neprijungtas.
ScotApp_1833,Išimt_TB
ScotApp_1818,"* Atrakinkite ir ištraukite piltuvu dekla, kad pašalintumete kamšti (I).\n* Gražinkite istrigusias monetas i tinkamas piltuvo deže (-es). Vel istatykite ir užrakinkite piltuvu dekla.\n* Ištraukite monetu gražinimo i apyvarta itaisa. Atrakinkite ir nuimkite dangti.\n* Atjunkite parodyta kabeli (II).\n* Atleiskite raudona asele priemimo itaiso dešineje, tada patraukite priemimo itaisa i prieki ir apverskite, kad pašalintumete kamšcius pavaizduotose vietose (III).\n* Vel istatykite priemimo itaisa ir prijunkite kabeli.\n* Vel uždekite ir užrakinkite dangti. Jei klaida vel ivyksta, kreipkites del technines priežiuros."
ScotApp_1174,NEATITIKĘS SVORIS
ScotApp_1500,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1366,Svarstyklės
ScotApp_1161,Ieškiklio klaida
ScotApp_1717,NS:
ScotApp_1832,Išimt_dept.
ScotApp_1370,Šifravimo įtaisas
ScotApp_669,Parašo atspausdinti nepavyko. Įvyko klaidų.
ScotApp_569,Įveskite kodą
ScotApp_469,469unused
ScotApp_369,Ryšio su spausdintuvu klaida
ScotApp_269,Pagalbos režimas
ScotApp_1507,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Apsauga neprijungta, paskutinis veiksmas panaikintas."
ScotApp_537,537unused
ScotApp_437,Nepakankamas balansas
ScotApp_337,"Nuskenuokite savo prekę arba įveskite kodą ir palieskite ""OK""."
ScotApp_237,"Įstatykite kasetę, kad ji būtų užfiksuota savo padėtyje.\n\nPatraukite kasetės rankenėlę, kad įsitikintumėte, jog kasetė yra užraktu laikoma reikiamoje padėtyje."
ScotApp_137,Paimkite grąžą
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s laukiama;LSWND3=%s %s nustatyta;
ScotApp_1519,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1831,Int.
ScotApp_937,Riba\pašalinti prekes
ScotApp_837,Mokesčiai
ScotApp_1702,*** KVITO DUBLIKATAS ***
ScotApp_1377,kiekis
ScotApp_1728,Pasirinkite iš populiarių prekių skyrelio arba atlikite prekės paiešką pagal abėcėlę. 
ScotApp_1395,Įeiti į patarnautojo režimą
ScotApp_716,716unused
ScotApp_616,Svorio palyginimas
ScotApp_516,Kitas mokėjimas
ScotApp_416,"Įkeliama programa ""Hard Totals""..."
ScotApp_316,316unused
ScotApp_216,"* Atidarykite korpus.dureles.\n* Atidarykite spausdint.dangtį, kad patikrintumėte, ar jame nesusidarė kamštis.\n* Uždarykite ir vėl įdėkite popierių.\n* Atspausdinamas kvitas su šypsenėle.\n* Uždarykite ir užrakinkite korpuso dureles."
ScotApp_116,Panaikinti visas prekes
ScotApp_1522,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1506,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1879,Patikrinkite maišų svarstykles ir palieskite „Apsaugos išjungimas“.
ScotApp_916,"Patikrinkite prekes takelyje ir palieskite ""Apsaugos išjungimas""."
ScotApp_816,816unused
ScotApp_1167,"* Atidarykite spausdintuvo korpuso dureles.\n* Atkabinkite ir pastumkite spausdintuvą atgal.\n* Atidarykite spausdintuvo dangtį, kad patikrintumėte, ar nesusidarė kamščių.\n* Uždarykite spausdintuvo dangtį ir vėl įdėkite popieriaus.\n* Atsargiai patraukite spausdintuvą pirmyn, kol jis užsifiksuos savo padėtyje."
ScotApp_1518,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1830, Patvirtinti įrašai 
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Kortelė nepriimta.
ScotApp_483,Pridėtų rašikliu pasirašykite ant parašo lentelės.
ScotApp_383,383unused
ScotApp_283,Įveskite slaptažodį
ScotApp_1505,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_983,Įkeliama iškrovimo juosta...
ScotApp_883,Patvirtinti laikiną sustabdymą
ScotApp_1363,Eilučių vaizduoklis
ScotApp_1714,LAIKINO SUSTABDYMO ATMETIMAS PATVIRTINTAS
ScotApp_1837,"Norėdami tęsti operaciją, palieskite ""Patvirtinti""."
ScotApp_1449,Banknotų būklė
ScotApp_1375,Modifikavimas po prekės užregistravimo:\n%s
ScotApp_1248,DOVANŲ KORTELĖ
ScotApp_1153,Popierius įstrigo.
ScotApp_1504,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1362,Klavišų užraktas
ScotApp_1836,NEGALIOJANTIS BRŪKŠNINIS KODAS
ScotApp_1571,Pokyčių nepaisymo patvirtinimas
ScotApp_1215,ĮTAISO KLAIDA
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Baigėsi popierius.
ScotApp_1700,"Nepavyko išduoti %s. %s\n* Patikrinkite monetų ir banknotų išdavimo įtaisus.\n* Jei jie tušti, pripildykite juos.\n* Jei ne, išvalykite kamštį.\n* Palieskite ""Būklė ištaisyta""."
ScotApp_1823,Skaitmeninis kvitas sėkmingai sugeneruotas.
ScotApp_1605,     kortelių išdavimo dėžė tuščia
ScotApp_1361,Grynųjų išdavimo įtaisas
ScotApp_1835,Patikrinkite arba atidėkite prekę į šalį
ScotApp_1878,Neteisingas svoris ant maišų svarstyklių.
ScotApp_1281,MOKĖJIMAS KAI JUMS PADEDAMA
ScotApp_1425,Prijungti
ScotApp_1570,Nepaisyti pokyčių
ScotApp_814,814unused
ScotApp_291,"Kamštis monetų išdavimo įtaiso vamzdyje\n%s\nIšvalykite kamštį monetų išdavimo įtaise, tada palieskite ""Kamštis išvalytas""."
ScotApp_191,"Programa ""Transaction Broker"" įkelta..."
ScotApp_1151,Atidarytas spausdintuvo dangtis.
ScotApp_1707,Priėmimo įtaise įstrigo monetos
ScotApp_1822,"Žr. prekės svorį ekrano apačioje, kairėje pusėje."
ScotApp_757,757unused
ScotApp_657,Grąžinimą ar nuolaidas atidėkite pirkimo procedūros pabaigai.
ScotApp_557,"Prekės, dėl kurių taikomi kiekio apribojimai"
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Sistemos pranešimas
ScotApp_1360,Grynųjų stalčius
ScotApp_1719,PS:
ScotApp_1834,Maks.
ScotApp_1868,"Pasirūpinkite, kad jūsų rankos neuždengtų skenerio kameros vaizdo"
ScotApp_957,DB tvarkyklės kliento programai nepavyko užmegzti ryšio
ScotApp_857,Patikrinti surinkimo mokestį
ScotApp_1064,1064unused
ScotApp_1577,Kiekis iš viso:
ScotApp_736,736unused
ScotApp_636,Apsauga neprijungta.
ScotApp_1091,1091unused
ScotApp_436,Patvirtinkite sumą
ScotApp_336,Žiūrėti prekę
ScotApp_236,236unused
ScotApp_136,Įdėkite pinigus
ScotApp_1509,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1821,Patvirtinti svorį
ScotApp_936,Riba\praleisti pakavimą
ScotApp_836,Mokesčiai ir susitarimai su klientu
ScotApp_1367,Skeneris
ScotApp_1718,PS:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,"Pasirinkite priverstinio pakavimo nustatymą. (Tikimasi, kad klientas prekę supakuos)."
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Debetu sutaupyta
ScotApp_115,Patvirtinti panaikinimą
ScotApp_1576,Grynųjų išdavimo įtaiso būklė:
ScotApp_1090,Parengti ataskaitą
ScotApp_815,Atidaryti registrą
ScotApp_1508,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1406,Sinchr. TB/POS
ScotApp_1099,Nežinoma įtaiso klaida
ScotApp_1563,Įkrauti
ScotApp_782,Kamštis banknotų išdavimo įtaise.\nIšvalykite kamštį banknotų įtaise arba\nsureguliuokite valymo dėžę.
ScotApp_682,682unused
ScotApp_582,Mokėjimas baigtas.
ScotApp_482,482unused
ScotApp_382,Nežinoma
ScotApp_282,Įveskite ID
ScotApp_1575,Monetų išdavimo įtaiso būklė:
ScotApp_1097,Įrašų / ataskaitų spausdinimas
ScotApp_1448,Monetų būklė
ScotApp_982,Įtaiso klaida
ScotApp_143,Pasirašykite kvitą
ScotApp_1353,Įdėkite išnaudotą dovanų kortelę  į plyšį kuponams.
ScotApp_1704,"Palieskite ""Problemą ištaisiau"".\n\nJei klaida išlieka, paleiskite galinį įrenginį iš naujo:\nPasukite prižiūrėtojo užraktą į padėtį ""S"" ARBA paspauskite prižiūrėtojo mygtuką.\nPasirinkite ""Visos sistemos išjungimas"".\nKai vaizdas ekrane dingsta, išjunkite galinį įrenginį ties nenutrūkstamo energijos tiekimo šaltiniu arba maitinimo laidu.\nĮjunkite galinį įrenginį. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_1827,\n    - Dabartinė kalba (%s)
ScotApp_1562,Kiekis
ScotApp_1815,"* Atrakinkite ir ištraukite piltuvu dekla.\n* Vel istatykite trukstama (-us) piltuva (-us) ir isitikinkite, kad visi piltuvai ideti tinkamai.\n* Isitikinkite, kad mažiausios vertes monetu piltuvas yra istatytas ir idetas tinkamai.\n* Isitikinkite, kad istatyti tinkami grynuju pinigu piltuvai. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_1574,Įvesta parametro %s vertė netinka. \nPrašome įvesti dar kartą.
ScotApp_1543,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1290,D - J
ScotApp_1096,Ataskaitos
ScotApp_1352,Nuskenuokite dovanų kortelę
ScotApp_1561,Nominalas
ScotApp_1083,"Grąžinkite prekes į pakavimo zoną arba palieskite ""Prekė pašalinta""."
ScotApp_1753,Prekė nerasta
ScotApp_418,"Išjungiama programa ""Hard Totals""..."
ScotApp_318,318unused
ScotApp_1813,"%s\n* Atrakinkite ir ištraukite piltuvu dekla (I).\n* Išimkite istrigusia piltuvo deže (-es). Patikrinkite ir pašalinkite kamšcius išmetimo srityje (II).\n* Jei kamšciu išmetimo srityje nera, ištuštinkite piltuvo deže (-es). Patikrinkite ir pašalinkite kamšcius sukdami diska (III).\n* Vel idekite piltuvo deže (-es).\n* Isitikinkite, kad visos dureles tinkamai uždarytos ir užrakintos. Jei klaida vel ivyksta, kreipkites del technines priežiuros."
ScotApp_1095,"Pasirinkite ataskaitos tipą, tada palieskite ""Parengti ataskaitą""."
ScotApp_1351,%s\n%s %s removed 
ScotApp_1825,Išsaugoti parinktis
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Pradėti mokėjimą pinigais.
ScotApp_377,Įrenginiai – būklė
ScotApp_277,277unused
ScotApp_1560,Priėmimo įtaisas iš viso:  %s
ScotApp_1082,Prekė pašalinta
ScotApp_977,Tikrasis svoris: %s               %s
ScotApp_877,Kainos užklausa
ScotApp_1777,"Operacija buvo užbaigta naudojant kuponą, kuris viršija parduotuvės kuponų ribą."
ScotApp_1812,Monetos istrigo arba monetu deže yra pilna ar išimta.
ScotApp_756,756unused
ScotApp_556,Laikinas mokėjimo sustabdymas nepriimtas.
ScotApp_456,456unused
ScotApp_356,Šifravimo įtaisas
ScotApp_256,"Išjungiama programa ""User Exits""..."
ScotApp_156,Sistemos pranešimas
ScotApp_1231,VIZUALIAI PATIKRINTA
ScotApp_1874,1874unused
ScotApp_956,"Išjunkite galinį įrenginį ir paleiskite jį iš naujo:\n* Pasukite prižiūrėtojo užraktą į padėtį ""S"" ARBA paspauskite prižiūrėtojo mygtuką.\n* Pasirinkite ""Kitą Kartą Paleisdami iš Naujo įjunkite ADD"". Pasirinkite ""Taip"", kad patvirtintumėte.\n* Pasirinkite ""Visos sistemos išjungimas"".\n* Kai vaizdas ekrane dingsta, išjunkite galinį įrenginį ties nenutrūkstamo energijos tiekimo šaltiniu arba maitinimo laido kištuku.\n* Įjunkite galinį įrenginį. Patikrinkite įvykių žiūryklę. Jei klaida vėl įvyksta, kreipkitės dėl techninės priežiūros."
ScotApp_856,Kvitas:
ScotApp_1567,Išdavimo įtaisas iš viso:  %s
ScotApp_735,735unused
ScotApp_635,Įveskite kliento gimimo datą
ScotApp_535,   Laikas atšauktas
ScotApp_335,"Kortelių skaitytuvas – gali būti, jog klientas atlieka draudžiamus veiksmus"
ScotApp_235,Grynųjų priėmimo įtaiso būklė – arti pripildymo
ScotApp_135,135unused
ScotApp_1776,Parduotuvės administravimas
ScotApp_1811,"* Ištraukite monetu gražinimo i apyvarta itaisa.\n* Pašalinkite kamšti iš parodytos srities išimdami monetas arba pastumdami monetas pirmyn.\n* Gražinkite monetas klientui. Jei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_935,Svorio sumažėjimas
ScotApp_835,Kvitas:
ScotApp_1708,"Kelis kartus paspauskite monetos grąžinimo mygtuką, kad monetų kamštis būtų atlaisvintas, tada palieskite ""Problemą ištaisiau"".\n\nJei klaida vėl įvyksta, sugeneruokite diagnostikos failą ir kreipkitės dėl techninės priežiūros."
ScotApp_1168,Spausdintuvas neužfiksuotas priešakinėje padėtyje.
ScotApp_1446,Iškrauti
ScotApp_1566,Visiškas pakeitimas
ScotApp_1080,Padėkite prekę ant juostos.
ScotApp_1775,Patvirtinti kuponą
ScotApp_1810,Monetos istrigo.
ScotApp_1297,BAIGĖSI GRĄŽOS PAĖMIMO LAIKAS
ScotApp_1648,(mmddMM)
ScotApp_708,708unused
ScotApp_608,Nustatyti svorio palyginimą
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,Kuponas netinka
ScotApp_781,781unused
ScotApp_681,"Pasirinkti iš skyrelio ""Populiarios"""
ScotApp_581,Laikinas mokėjimo sustabdymas nepriimtas
ScotApp_481,Reikia pagalbos
ScotApp_381,Normalu
ScotApp_908,Prek. apsauga
ScotApp_521,Grąžinta suma:
ScotApp_1087,Kortelė priimta. Nuskenuokite savo prekes ir kuponus.
ScotApp_981,981unused
ScotApp_881,Laikinai sustabdyti:
ScotApp_1774,Kupono suma per didelė
ScotApp_1296,Monetų dėtuvėje pripildykite visus monetų kanalus iki viršaus.
ScotApp_1583,banknotų kiekis mažas (%s)
ScotApp_1552,dėžė pilna
ScotApp_1295,T - Z
ScotApp_1877,Vagystės įspėjimas
ScotApp_1761,"Kuponų dėžė gali būti pilna arba kuponų plyšys yra užblokuotas. Pašalinkite daiktus, kuriais užblokuotas kuponų plyšys, tada ištuštinkite kuponų dėžę. "
ScotApp_1086,"Pasirinkus ""Pridėti nulinį svorį"" ištrinamos visos svorio įvestys."
ScotApp_693,693unused
ScotApp_794,Kamštis banknotų išdavimo įtaiso kasetėje.\nIšvalykite kamštį banknotų įtaise.
ScotApp_694,694unused
ScotApp_594,"Programa ""NCR SelfServ Checkout SigCap"" įkelta..."
ScotApp_494,Iš sąrašo pasirinkite pageidaujamą pinigų išdavimo sumą.
ScotApp_394,394unused
ScotApp_1098,"* Atidarykite spausdintuvo korpuso dureles.\n* Patikrinkite, ar parodytoje zonoje nėra popieriaus kamščio.\n* Jei popieriaus kamščio nėra, vėl įdėkite popierių.\n* Turėtų būti atspausdintas kvitas su besišypsančiu veiduku.\n* Uždarykite spausdintuvo korpuso dureles ir užrakinkite jas."
ScotApp_1551,banknotų kiekis didelis (%s)
ScotApp_994,Uždaryta
ScotApp_894,Programa DBM įkelta.
ScotApp_1760,"Kuponų dėžė gali būti pilna arba kuponų plyšys yra užblokuotas. Pašalinkite daiktus, kuriais užblokuotas kuponų plyšys, tada ištuštinkite kuponų dėžę."
ScotApp_1371,Banknotų priėmimo įtaisas
ScotApp_1803,Priimti tik grynuosius
ScotApp_1359,Kvitelių spausdintuvas
ScotApp_1085,Paimkite kuponus
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Monetų išdavimo įtaisas: pripildytas %s %s.
ScotApp_1491,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_476,Kuponų atidavimas
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Ar norite sustabdyti prekių registravimą ir panaikinti visus savo pirkinius?
ScotApp_976,976unused
ScotApp_876,"Įveskite vyr. kasininko ID ir palieskite ""Įvesti""."
ScotApp_1271,USERDEFINED13
ScotApp_1767,Prieigos prie svarstyklių svorio parametrų gedimas.
ScotApp_755,Apdorojama...
ScotApp_655,Išimtinė prekė
ScotApp_1084,Paėmimas
ScotApp_455,455unused
ScotApp_355,Pasirinkti sistemos funkciją
ScotApp_255,255unused
ScotApp_155,Sistemos pranešimas
ScotApp_1011,Transportuojama...
ScotApp_869,"Įveskite įgaliojimų patikrinimo numerį ir palieskite ""Įvesti""."
ScotApp_955,"Įjungti ""Smart Scale"" nepavyko"
ScotApp_855,Surinkimo mokestis:
ScotApp_23,+ %s (%s)
ScotApp_1766,Skenerio / svarstyklių klaida.
ScotApp_1280,GRYNIEJI
ScotApp_1335,Kasa uždaryta
ScotApp_1497,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_728,728unused
ScotApp_628,Kasos Nr.: %d
ScotApp_528,528unused
ScotApp_428,Geltona
ScotApp_328,"Išduoti klientui nepavyko: %s. \nPatikrinkite monetų ir banknotų išdavimo įtaisus.\nJei jie tušti, pripildykite juos.\nJei ne, išvalykite kamštį. \nPalieskite ""Problemą ištaisiau""."
ScotApp_228,"Kortelių skaitytuvo užraktas užstrigo, uždarykite"
ScotApp_128,128unused
ScotApp_1690,Prašome kreiptis dėl techninės priežiūros
ScotApp_281,281unused
ScotApp_181,"\nKlaviatūra įveskite kupono vertę centais ir palieskite ""OK""."
ScotApp_928,Nueikite prie kasos ir patikrinkite įtaisą.
ScotApp_828,828unused
ScotApp_1033,"Deaktyvinkite prekę arba nuimkite standžiąją žymą kasos takelyje ir palieskite ""Apsaugos išjungimas""."
ScotApp_1496,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_680,680unused
ScotApp_580,Prekę anuliuoti bandyta iki anuliuojant jos kuponą.
ScotApp_380,380unused
ScotApp_280,Išvalyti apsaugos žurnalą
ScotApp_180,Atidėkite kuponus į šalį.\nNuskenuokite juos pabaigę veiksmus su pirkiniais.
ScotApp_1364,Mikr.
ScotApp_980,Skirtasis laikas baigėsi negavus kliento atsako
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,EAS prekė vis dar aktyvi.
ScotApp_1286,Anglų
ScotApp_1462,Dėžės
ScotApp_1298,Funkcijos padedant operatoriui
ScotApp_1031,Nuskenuokite savo kuponus.
ScotApp_1482,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
