AmountSaved,Gespart
ScotApp_288,"""Problem gelöst"" berühren. Wenn der Fehler immer noch auftritt, wie folgt neu starten: Supervisor-Knopf auf ""S"" drehen -ODER- ""Supervisor"" drücken. ""System herunter-fahren"" wählen. Wenn keine Daten mehr angezeigt werden, Kasse über USV oder Netzschalter ausschalten. Kasse wieder einschalten. Wenn der Fehler erneut auftritt, Service rufen."
ScotApp_188,Laden der Optionen...
ScotApp_988,Unerwarteter Artikel auf dem Band.  Bitte herunter nehmen.
ScotApp_888,Unerwarteter Artikel. Bitte entnehmen.
ScotApp_1887,Transaktion Überprüfen
ScotApp_1171,UNERWARTETE ERHÖHUNG
ScotApp_1199,EINGEGEBENES VERFALLSDATUM
ScotApp_1300,Transaktion starten
ScotApp_1326,Coupon hineinstecken Zeitgeber abgelaufen
ScotApp_1291,K - M
ScotApp_1517,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1886,Nach zusätzlichen Artikeln überprüfen.
ScotApp_749,749unused
ScotApp_1529,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_549,549unused
ScotApp_449,Münzannahme Status Abweisung
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,PIN eingeben
ScotApp_1307,Kassenbon wird gedruckt
ScotApp_1738,Ein Mitarbeiter wird Ihre Taschen prüfen
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,Einstellung für den Gewichtsvergleich wählen. (Vergleiche Artikelgewicht mit Eingaben.)
ScotApp_517,Zahlungsart ändern.
ScotApp_417,Hard Totals geladen.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,Artikel zur Seite legen
ScotApp_1516,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1885,Artikel nicht gescannt
ScotApp_917,"Zu viele Anfragen, um Artikel aus der Einpack-Station zu entnehmen.  Max = %d."
ScotApp_817,Hilfe erforderlich
ScotApp_1177,EINPACKZEITGEBER ABGELAUFEN
ScotApp_1528,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1175,SCHWELLE ÜBERSCHR.: NICHT EINPCK
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,Kassierer-Passwort
ScotApp_1693,Münzersatz
ScotApp_1515,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,NEU EINGEGEBENER ARTIKEL
ScotApp_1724,TRANSAKTION IM TRAININGS-MODUS
ScotApp_1019,Artikel auf Band legen
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,Ändern Gewichts-Toleranz
ScotApp_1305,%s hineingesteckt
ScotApp_1893,Invalid Barcode
ScotApp_1409,Hilfemenü
ScotApp_1692,Supervisor-Anmeldung
ScotApp_1163,"""Problem gelöst"" berühren.\n\nWenn der Fehler immer noch auftritt, Kasse wie folgt neu starten:\nSupervisor-Knopf auf ""S"" drehen -ODER- ""Supervisor"" drücken.\n""System herunterfahren"" wählen.\nWenn keine Daten mehr angezeigt werden, Kasse über USV oder Netzschalter ausschalten.\nKasse anschließend wieder einschalten. Wenn der Fehler erneut auftritt, Service rufen."
ScotApp_1514,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1372,Münzenannahmemodul
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,Kundenkarte [wurde*] akzeptiert.
ScotApp_1162,Gerät ist offline.
ScotApp_1833,Ausn-TB
ScotApp_1818,"* Behälterführung aufschließen und herausnehmen um Stau zu entfernen (I).\n* Gestaute Münzen wieder in die jeweiligen Behälter geben. Die Behälterführung wieder einsetzen und verschließen. \n* Münzrückführung herausnehmen. Abdeckung aufschließen und abnehmen .\n* Angezeigtes Kabel abtrennen (II).\n* Rote Lasche auf der rechten Seite der Annahme entriegeln und Annahme nach vorne ziehen und umdrehen, um Staus aus den angezeigten Stellen zu entfernen (III).\n* Annahme wieder einsetzen und Kabel wieder anschließen. \n* Abdeckung wieder aufsetzen und verschließen. Wenn Fehler wieder auftritt, Service rufen."
ScotApp_1174,NICHT ÜBEREINSTIMMENDES GEWICHT
ScotApp_1500,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1366,Waage
ScotApp_1161,Pagerfehler
ScotApp_1717,GG:
ScotApp_1832,Ausn-Abtl
ScotApp_1370,Chiffrierer
ScotApp_669,Fehler beim Druck der Unterschrift.
ScotApp_569,Code eingeben
ScotApp_469,469unused
ScotApp_369,Drucker Kommunikations-Fehler
ScotApp_269,Assistenz-Modus
ScotApp_1507,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,"Sicherheitsmodul offline, Aktion gelöscht."
ScotApp_537,537unused
ScotApp_437,Ungenügender Ausgleich
ScotApp_337,"Scannen Sie den Artikel, oder geben Sie die Artikel-Nr. ein und drücken Sie ""OK""."
ScotApp_237,"Kassette hineinschieben, bis sie einrastet.\n\nAm Griff ziehen, um sicherzustellen, dass die Kassette richtig eingerastet ist."
ScotApp_137,Nehmen Sie Ihr Rückgeld
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s erwartet;LSWND3=%s %s gefunden;
ScotApp_1519,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1831,Eingefüg
ScotApp_937,Limit\Artikel entnehmen
ScotApp_837,Fees
ScotApp_1702,***      ZWEITDRUCK     ***
ScotApp_1377,Menge
ScotApp_1728,Aus beliebten Artikeln wählen oder nach Alphabet suchen. 
ScotApp_1395,Modus für Aufsicht aktivieren
ScotApp_716,716unused
ScotApp_616,Gewichtsvergleich
ScotApp_516,Andere Zahlungsart
ScotApp_416,Hard Totals werden geladen...
ScotApp_316,316unused
ScotApp_216,"* Druckergehäuseklappe öffnen.\n* Druckerabdeckung öffnen und prüfen, ob Stau vorliegt.\n* Druckerabdeckung schließen und Papier wieder einlegen.\n* Ein Kassenbon mit einem Smiley wird gedruckt.\n* Druckergehäuseklappe schließen und verriegeln."
ScotApp_116,Alle Artikel stornieren
ScotApp_1522,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1506,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1879,"Taschenwaage überprüfen und ""Beheben"" berühren."
ScotApp_916,"Bitte prüfen Sie die Artikel an der Kasse und berühren Sie ""Beheben""."
ScotApp_816,816unused
ScotApp_1167,"Druckergehäuseklappe öffnen.\n* Drucker entriegeln und nach hinten schieben.\n* Druckerabdeckung öffnen und prüfen, ob Stau vorliegt.\n* Druckerabdeckung schließen und Papier wieder einlegen.\n* Drucker vorsichtig nach vorne ziehen, bis er einrastet."
ScotApp_1518,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1830, Eingaben genehmigt
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,Karte abgelehnt.
ScotApp_483,Unterschreiben Sie auf dem Pad mit dem Stift.
ScotApp_383,383unused
ScotApp_283,Eingabe Passwort
ScotApp_1505,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_983,Takeaway-Band wird geladen...
ScotApp_883,Unterbrechung bestätigen
ScotApp_1363,Einzelpostenanzeige
ScotApp_1714,ABBRUCHVERWEIGERUNG GENEHMIGT
ScotApp_1837,"""Annehmen"" berühren, um die Transaktion fort zu führen."
ScotApp_1449,Geldscheinstatus
ScotApp_1375,Nachträgliche Artikeländerung:\n%s
ScotApp_1248,GESCHENKGUTSCHEIN
ScotApp_1153,Papierstau.
ScotApp_1504,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1362,Schlüsselschloss
ScotApp_1836,UNGÜLTIGER BARCODE
ScotApp_1571,Änderungen ignorieren bestätigen
ScotApp_1215,GERÄTEFEHLER
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,Kein Papier.
ScotApp_1700,"%s konnte(n) nicht herausgegeben werden. %s\n* Münzen- und Geldscheinausgabemodule prüfen.\n* Falls leer, bitte auffüllen.\n* Anderenfalls, Geldstau beseitigen.\n* Drücken Sie auf  ""Problem behoben""."
ScotApp_1823,Elektronischer Beleg wurde erfolgreich erstellt
ScotApp_1605,     Kartenausgabebehälter ist leer
ScotApp_1361,Geldwechsler
ScotApp_1835,Artikel prüfen oder beiseite legen
ScotApp_1878,Falsches Gewicht auf Taschenwaage.
ScotApp_1281,BEDIENERUNTERSTÜTZTE ZAHLUNGSMITTEL
ScotApp_1425,Verbindung aufbauen
ScotApp_1570,Änderungen ignorieren
ScotApp_814,814unused
ScotApp_291,"Münzstau an Münzenröhren\n%s\nStau in Münzausgabe beseitigen, dann ""Stau beseitigt"" drücken."
ScotApp_191,Transaction Broker geladen.
ScotApp_1151,Druckerabdeckung ist offen.
ScotApp_1707,Münzstau in Münzannahme
ScotApp_1822,Artikelgewicht wird unten links im Bildschirm angezeigt
ScotApp_757,757unused
ScotApp_657,Legen Sie Rückvergütung/Rabatt zur Seite bis zum Ende des Vorgangs.
ScotApp_557,Artikellimit (Menge)
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,System-Nachricht
ScotApp_1360,Geldausgabe
ScotApp_1719,GH:
ScotApp_1834,Max
ScotApp_1868,"Stellen Sie sicher, dass sich Ihre Hände nicht im Kamerafeld des Scanners befinden"
ScotApp_957,DB Manager Client Kommunikationsfehler
ScotApp_857,Verify Assembly Fee
ScotApp_1064,1064unused
ScotApp_1577,Gesamtstückzahl:
ScotApp_736,736unused
ScotApp_636,Sicherheitsmodul ist offline.
ScotApp_1091,1091unused
ScotApp_436,Betrag bestätigen
ScotApp_336,PLU-Artikel
ScotApp_236,236unused
ScotApp_136,Eingabe von Bargeld
ScotApp_1509,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1821,Gewicht akzeptieren
ScotApp_936,Limit\Einpacken überspringen
ScotApp_836,Fees & Customer Agreements
ScotApp_1367,Scanner
ScotApp_1718,AA:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,Einstellung für die Einpackpflicht wählen. (Kunde wollte Artikel einpacken.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Ersparnisse
ScotApp_115,Storno bestätigen
ScotApp_1576,Status Geldausgabemodul:
ScotApp_1090,Bericht ausführen
ScotApp_815,Kasse öffnen
ScotApp_1508,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1406,Sync TB/POS
ScotApp_1099,Unbekannter Gerätefehler
ScotApp_1563,Bestücken
ScotApp_782,Notenausgabe-Stau\nNotenausgabe-Stau beheben oder\nAusgabebehälter justieren.
ScotApp_682,682unused
ScotApp_582,Zahlung komplett.
ScotApp_482,482unused
ScotApp_382,Unbekannt
ScotApp_282,Eingabe Identifikation
ScotApp_1575,Status Münzenausgabemodul:
ScotApp_1097,Einträge/Berichte drucken
ScotApp_1448,Münzenstatus
ScotApp_982,Gerätefehler
ScotApp_143,Bon unterschreiben
ScotApp_1353,Bitte stecken Sie Ihren eingelösten Geschenkgutschein in den Coupon-Schlitz.
ScotApp_1704,"""Problem gelöst"" berühren.\n\nWenn der Fehler immer noch auftritt, Kasse wie folgt neu starten:\nSupervisor-Knopf auf ""S"" drehen -ODER- ""Supervisor"" drücken.\n""System herunterfahren"" wählen.\nWenn keine Daten mehr angezeigt werden, Kasse über USV oder Netzschalter ausschalten.\nKasse anschließend wieder einschalten. Wenn der Fehler erneut auftritt, Service rufen."
ScotApp_1827,\n    - Aktuelle Sprache (%s)
ScotApp_1562,Stückzahl
ScotApp_1815,"* Behälterführung aufschließen und herausnehmen.\n* Setzen Sie fehlende Behälter wieder ein und stellen Sie sicher, dass alle Behälter richtig eingesetzt sind.\n* Stellen Sie sicher, dass der Behälter für die Münzen mit kleinstem Wert richtig eingesetzt ist.\n* Stellen Sie sicher, dass die Behälter für die richtige Währung eingesetzt sind. Wenn Fehler erneut auftritt, Service rufen."
ScotApp_1574,Der eingegebene Wert für %s ist ungültig.\nBitte gültigen Wert eingeben.
ScotApp_1543,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1290,D - J
ScotApp_1096,Berichtsfunktion
ScotApp_1352,Geschenkgutschein abgeben
ScotApp_1561,Nennwert
ScotApp_1083,Artikel auf Einpack-Station zurücklegen.
ScotApp_1753,Artikel nicht gefunden
ScotApp_418,Hard Totals werden beendet...
ScotApp_318,318unused
ScotApp_1813,"%s\n* Behälterführung aufschließen und herausnehmen (I).\n* Gestaute Behälter entfernen. Ausgänge auf mögliche Staus prüfen und gegebenenfalls entfernen (II).\n* Wenn keine Staus an den Ausgängen sind, Behälter leeren. Nach möglichen Staus suchen und gegebenenfalls durch Drehen an der Scheibe entfernen. (III).\n* Behälter wiedereinsetzen. \n* Sicherstellen, dass alle Türen richtig geschlossen und verschlossen sind. Wenn Fehler erneut auftritt, Service rufen."
ScotApp_1095,"Berichtstyp wählen und ""Bericht ausführen"" berühren"
ScotApp_1351,%s\n%s %s entfernt 
ScotApp_1825,Favoriten speichern
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Anfang Barzahlung.
ScotApp_377,Geräte - Status
ScotApp_277,277unused
ScotApp_1560,Summe Annahmemodul:  %s
ScotApp_1082,Ich habe den Artikel oder die Tasche entnommen
ScotApp_977,Tatsächliches Gewicht: %s %s
ScotApp_877,Preis
ScotApp_1777,"Die Transaktion wurde mit einem Coupon durchgeführt, der das Coupon-Limit des Ladens übersteigt."
ScotApp_1812,Münzstau oder Münzbehälter voll/entnommen
ScotApp_756,756unused
ScotApp_556,Vorgangs-Rückstellung abgelehnt.
ScotApp_456,456unused
ScotApp_356,Encryptor
ScotApp_256,User Exists werden beendet...
ScotApp_156,System-Nachricht
ScotApp_1231,VISUELL GEPRÜFT
ScotApp_1874,1874unused
ScotApp_956,"Fahren Sie das Terminal herunter und starten Sie es neu:\n* Drehen Sie das Supervisor-Schloss auf 'S' -ODER- drücken Sie die Supervisor-Taste.\n* Wählen Sie ""Führen Sie Beim Nächsten Neustart ADD Aus"".  Wählen Sie ""Ja"" zu bestätigen.\n* Wählen Sie ""Shut Down Entire System.""\n* Wenn der Bildschirm leer ist, schalten Sie das Terminal an der USV oder an der Steckerleiste aus.\n* Schalten Sie das Terminal wieder ein. Prüfen Sie den Ereignis-Viewer. Wenn der Fehler erneut auftritt, Service rufen."
ScotApp_856,Bon:
ScotApp_1567,Summe Ausgabemodul:  %s
ScotApp_735,735unused
ScotApp_635,Kunden-Geburtsdatum eingeben
ScotApp_535,   nicht verkaufbarer Artikel
ScotApp_335,Kartenleser Manipulation
ScotApp_235,Bargeldannahme - Status fast voll
ScotApp_135,135unused
ScotApp_1776,Filial-Autorisierung
ScotApp_1811,"* Nehmen Sie die Münzrückführung heraus.\n* Entfernen Sie den Stau an der angezeigten Stelle, indem Sie die Münzen herausnehmen oder nach vorne drücken.\n* Münzen dem Kunden zurückgeben. Wenn Fehler erneut auftritt, Service rufen."
ScotApp_935,Gewicht reduzieren
ScotApp_835,Bon:
ScotApp_1708,"Münzrückgabetaste mehrmals drücken, um den Münzstau zu beseitigen, dann auf ""Problem gelöst"" drücken.\n\nWenn der Fehler erneut auftritt, Service rufen."
ScotApp_1168,Drucker ist vorne nicht eingerastet.
ScotApp_1446,Entleeren
ScotApp_1566,Neubestückung
ScotApp_1080,Bitte Artikel auf das Band legen.
ScotApp_1775,Coupon annehmen
ScotApp_1810,Münzstau.
ScotApp_1297,ZEITGEBER ZUR ENTNAHME DES WECHSELGELDS ABGELAUFEN
ScotApp_1648,(MMTTJJ)
ScotApp_708,708unused
ScotApp_608,Gewichtsvergleich einstellen
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,cent
ScotApp_208,208unused
ScotApp_108,ungültiger Coupon
ScotApp_781,781unused
ScotApp_681,Wählen Sie aus Favoriten
ScotApp_581,Vorgangs-Rückstellung abgelehnt.
ScotApp_481,Hilfe erforderlich
ScotApp_381,Normal
ScotApp_908,Sicherheit
ScotApp_521,Erstattungsbetrag:
ScotApp_1087,Die Karte wurde akzeptiert. Sie können Ihre Artikel und Coupons jetzt scannen.
ScotApp_981,981unused
ScotApp_881,Unterbrechen:
ScotApp_1774,Coupon zu hoch.
ScotApp_1296,Füllen Sie alle Münzbehälter auf den optimalen Stand auf.
ScotApp_1583,Geldbestand niedrig (%s)
ScotApp_1552,Behälter ist voll
ScotApp_1295,T - Z
ScotApp_1877,Diebstahl-Alarm
ScotApp_1761,Coupon-Behälter voll oder Coupon-Schlitz blockiert. Machen Sie den Coupon-Schlitz frei und leeren Sie dann den Coupon-Behälter.
ScotApp_1086,"""Nullgewicht hinzufügen"" löscht alle eingegebenen Gewichte."
ScotApp_693,693unused
ScotApp_794,Geldschein-Ausgabe Auswerfer-Stau\nAuswerfer-Stau entfernen.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap loaded.
ScotApp_494,Wählen Sie den Auszahlungs-Betrag von der Liste.
ScotApp_394,394unused
ScotApp_1098,"* Druckergehäuseklappe öffnen.\n* Angezeigten Bereich auf Papierstau überprüfen.\n* Wenn kein Papierstau vorliegt, Papierrolle wieder einlegen.\n* Ein Kassenbon mit einem Smiley wird gedruckt.\n* Druckergehäuseklappe schließen und verriegeln."
ScotApp_1551,Geldkassetten sind fast voll (%s)
ScotApp_994,Geschlossen
ScotApp_894,DBM geladen
ScotApp_1760,Coupon-Behälter voll oder Coupon-Schlitz blockiert. Machen Sie den Coupon-Schlitz frei und leeren Sie dann den Coupon-Behälter.
ScotApp_1371,Geldannahmemodul
ScotApp_1803,Nur Bargeld annehmen
ScotApp_1359,Einzahlungsschein-Drucker
ScotApp_1085,Coupons sammeln
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Rückgeldgeber: Aufgefüllt am %s um %s
ScotApp_1491,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_476,Coupon Drop off
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Wollen Sie den Einkauf beenden und den Vorgang stornieren?
ScotApp_976,976unused
ScotApp_876,"Bitte geben Sie die Hauptkassierer-ID ein und berühren Sie ""Eingabe""."
ScotApp_1271,USERDEFINED13
ScotApp_1767,Fehler beim Zugriff auf die Gewichtsparameter der Waage.
ScotApp_755,In Arbeit...
ScotApp_655,Ausnahme-Artikel
ScotApp_1084,Sammlung
ScotApp_455,455unused
ScotApp_355,Wähle System Funktion
ScotApp_255,255unused
ScotApp_155,System-Nachricht
ScotApp_1011,Artikelbeförderung...
ScotApp_869,"Bitte geben Sie die Berechtigungsnummer ein und berühren Sie ""Eingabe""."
ScotApp_955,Smart Scale Startfehler
ScotApp_855,Assembly Fee:
ScotApp_23,+ %s (%s)
ScotApp_1766,Fehler bei Scanner/Waage
ScotApp_1280,BARGELD
ScotApp_1335,Kasse geschlossen
ScotApp_1497,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_728,728unused
ScotApp_628,Kassen #: %d
ScotApp_528,528unused
ScotApp_428,Gelb
ScotApp_328,"Ausgabe von %s an Kunden fehlgeschlagen.\nMünzen- und Geldscheinausgabemodule prüfen.\nFalls leer, bitte auffüllen.\nAnderenfalls, Geldstau beseitigen.\n""Problem gelöst"" berühren."
ScotApp_228,Kartenleser - Schließung klemmt
ScotApp_128,128unused
ScotApp_1690,Wartungsdienst anrufen
ScotApp_281,281unused
ScotApp_181,"\nGeben Sie den Coupon-Betrag am Bildschirm ein und drücken Sie ""OK""."
ScotApp_928,Bitte gehen Sie zur Kasse und überprüfen Sie das Gerät.
ScotApp_828,828unused
ScotApp_1033,"Bitte Artikel deaktivieren oder Sicherheitsetikett an der Kasse entfernen und ""Sicherheitsproblem beheben"" berühren."
ScotApp_1496,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_680,680unused
ScotApp_580,Versuch Artikel zu stornieren vor Coupon-Storno.
ScotApp_380,380unused
ScotApp_280,Lösche das Sicherheits-Log
ScotApp_180,Legen Sie Coupons zur Seite. Ablegen am Ende des Einkaufs.
ScotApp_1364,Mikr
ScotApp_980,Zeitgeber abgelaufen; keine Kundenantwort
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,EAS-Artikel immer noch aktiv.
ScotApp_1286,Deutsch
ScotApp_1462,Behälter
ScotApp_1298,Bedienerunterstützte Funktionen
ScotApp_1031,Scannen Sie Ihre Coupons.
ScotApp_1482,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1706,"Gerät ist nicht bereit.\n* Alle anderen Anwendungen schließen, die möglicherweise auf das Gerät zugreifen, und auf ""Problem gelöst"" drücken.\n* Wenn der Fehler erneut auftritt, Gunnebo anrufen."
ScotApp_1399, Aufsicht
ScotApp_1494,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1672,Fehler: Münzenrecycler
ScotApp_573,Bedieneridentifikation und Eingabe tippen.
ScotApp_173,173unused
ScotApp_775,Herzlich willkommen beiminimize NCR SelfServ Checkout!
ScotApp_675,Münzen nachgefüllt
ScotApp_1481,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,versuche nochmals
ScotApp_39,Vorgangs-Abbruch
ScotApp_29,Jugendschutz-Artikel
ScotApp_19,MwSt
ScotApp_975,975unused
ScotApp_603,ändern/eingeben Gewicht
ScotApp_99,zu stornierende Menge
ScotApp_89,89unused
ScotApp_303,Artikel stornieren
ScotApp_203,203unused
ScotApp_103,tippen Sie Artikelnummer ein
ScotApp_1889,Sicherheits-Vertrauensebene
ScotApp_1443,"Münzenkassette(n) bestücken oder ""Kassette(n) leeren""."
ScotApp_903,Artikel wurde von Sicherheitswaage genommen.
ScotApp_803,803unused
ScotApp_1555,Ausgabemodul
ScotApp_1037,Bargeld zurückgegeben
ScotApp_1480,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1263,USERDEFINED5
ScotApp_1697,Stau beseitigt
ScotApp_748,748unused
ScotApp_648,EAN
ScotApp_548,548unused
ScotApp_448,Kundenkonto wurde aktiviert.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_948,\n* Dezentrale Hilfe
ScotApp_848,Benötigte Menge:
ScotApp_485,Unterschrift erforderlich
ScotApp_1036,EAS-Artikel aktiv
ScotApp_1487,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1499,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1023,1023unused
ScotApp_1179,WABWESENHEITSZEITGEBER ABGELAUFEN
ScotApp_1035,EAS-Artikel aktiv
ScotApp_1682,Allgemeiner Fehler: Geldscheinleser
ScotApp_1486,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1144,Ausgabemodul reagiert nicht.
ScotApp_866,Ja
ScotApp_1498,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1384,Sprache
ScotApp_1743,"Benutzer-ID eingeben und ""Eingabe"" drücken oder Finger auf Fingerabdruck-Lesegerät legen."
ScotApp_1319,COUPON
ScotApp_1178,ENTF. FERTIG SCHWELLE ÜBERSCHRITTEN
ScotApp_1001,Aritkel nicht gefunden
ScotApp_1034,1034unused
ScotApp_1485,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1068,1068unused
ScotApp_1694,"Münzersatz wegen %s. Drücken Sie auf ""Status Bargeld / Papier"", um aufzufüllen oder den Stau zu beseitigen."
ScotApp_1165,"Drucker vorsichtig nach vorne ziehen, bis er einrastet.\n\nDruckergehäuseklappe schließen und verriegeln."
ScotApp_1021,Achtung
ScotApp_1230,NEGATIVE ABTEILUNG
ScotApp_1484,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_912,Genehm. & Gew. aktual.
ScotApp_723,723unused
ScotApp_623,Toleranz eingeben und <Eingabe>drücken.
ScotApp_523,Karte abgelaufen
ScotApp_423,Führen Sie die Karte ein. Prüfen Sie Ihren Warenkorb nach zusätzlichen Artikeln.
ScotApp_323,  Menge %d @ %d/%s
ScotApp_223,Behälter des Kartenlesers voll
ScotApp_123,123unused
ScotApp_1020,Artikel scannen
ScotApp_923,923unused
ScotApp_823,Stornierungsgenehmigung
ScotApp_1483,Informationen zur Fehlerbehebung finden Sie im Gerätehandbuch.
ScotApp_1237,COUPON
ScotApp_1680,Nicht behebbarer Fehler.  Bitte schließen Sie die Kasse.  Rufen Sie Gunnebo an und geben Sie die unten angezeigten Fehlerinformationen durch.\n\nSafePay-Fehler: %s
ScotApp_702,702unused
ScotApp_602,ändern/eingeben \nGewicht
ScotApp_502,Legen Sie den stornierten Artikel links
ScotApp_402,Nicht vorhanden
ScotApp_302,Bitte PIN am Zahlungsterminal eingeben.
ScotApp_202,Test Abmeldung...
ScotApp_102,aufgerufener Artikel
ScotApp_1722,Kasse ist im Trainings-Modus. Transaktion fortsetzen?
ScotApp_902,Artikel auf Einpack-Station zurücklegen.
ScotApp_802,"\nVoller Kasten\nvon %s?\n\n""Ja"" oder ""Nein""."
ScotApp_568,Löschen
ScotApp_468,  zurückgerufen
ScotApp_368,"Bonrolle nicht eingezogen, Stau"
ScotApp_268,Karten-Lesefehler
ScotApp_1027,"Berühren Sie ""Ja"" um die Transaktion abzubrechen oder ""Nein"" um sie fortzusetzen."
ScotApp_1354,Geschenkgutschein abholen
ScotApp_968,968unused
ScotApp_868,Eingabe der Berechtigungsnummer:
ScotApp_1433,immer noch angezeigt.
ScotApp_1687,"Anzeige ""Status Bargeld / Papier"" benutzen, um Kassetten zu bestücken."
ScotApp_1150,Klappe des Druckergehäuses ist offen.
ScotApp_1699,"Ersatz wird verwendet, da %sRefill, oder Stau beseitigen und dann ""Problem behoben"" drücken."
ScotApp_1259,USERDEFINED1
ScotApp_1223,BARGELD-/PAPIERMANGEL
ScotApp_1379,Einzelpreis
ScotApp_1432,<<<Wenige Geldscheine vorhanden. Bitte nachfüllen.>>>
ScotApp_1686,Nicht behebbarer Fehler.  Bitte schließen Sie die Kasse.  Rufen Sie Gunnebo an und geben Sie die unten angezeigten Fehlerinformationen durch.\n\nSafePay-Fehler: %s
ScotApp_1157,Klappe des Geldscheinausgabemoduls ist möglicherweise offen.\n\nGeldscheinausgabemodul funktioniert nicht bei offener Zugangsklappe.\n\nModul- oder Sicherungsklappe schließen und verriegeln.
ScotApp_1013,Restliche Artikel
ScotApp_1184,MEHR DATEN
ScotApp_1848,"Artikel gelöscht. Nächsten Artikel scannen oder ""Code eingeben"" berühren."
ScotApp_1169,"Druckergehäuseklappe öffnen.\n* Drucker vorsichtig nach vorne ziehen, bis er einrastet.\n* Druckergehäuseklappe schließen und verriegeln."
ScotApp_1662,Andere Kassenbons
ScotApp_1311,"* Geldscheinannahmemodul herausnehmen,\n* öffnen und\n* auf Geldscheinstau überprüfen.\n* Bitte prüfen, ob Geldscheinannahmemodul läuft und die LED grün leuchtet."
ScotApp_1025,Alle Artikel vom Band nehmen und Sicherheitsabdeckung schließen.
ScotApp_1378,Gewicht
ScotApp_22,Kein\n Rückgeld\n+ 0          \n(%s)
ScotApp_1234,MENGE EINGESCHRÄNKT
