AmountSaved,Kazanılan Tutar
ScotApp_1835,Kenara alınan ürünü kontrol edin.
ScotApp_1878,Poşet Tartısında hatalı ağırlık.
ScotApp_1281,YARDIMLI ÖDEME
ScotApp_1425,Bağlan
ScotApp_1570,Değişiklikleri Yok Say
ScotApp_814,814unused
ScotApp_291,"Madeni para vericisi tüpünde sıkışma\n%s\nMadeni Para vericisindeki sıkışmayı giderin ve ""Sıkışma Giderildi"" ye basın."
ScotApp_191,İşlem Brokeri yüklendi.
ScotApp_1151,Yazıcı kapağı açık.
ScotApp_1707,Madeni paralar alıcıda sıkıştı
ScotApp_1822,Ekranın sol alt köşesinden ürün ağırlığını kontrol edin
ScotApp_757,757unused
ScotApp_657,Para iadesini/indirimi satın alma işleminin sonuna kadar kenara koyun.
ScotApp_557,Miktar Sınırlı Ürünler
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,Sistem mesajı
ScotApp_1360,Nakit Çekicisi
ScotApp_1719,EA:
ScotApp_1834,Maks.
ScotApp_1868,Ellerinizin kamera görüşünü engellemediğinden emin olun
ScotApp_957,DB Yöneticisi Kullanıcı Bağlantısı Başarısız
ScotApp_857,Toplama Ücretini Doğrula
ScotApp_1064,1064unused
ScotApp_1577,Toplam Sayı:
ScotApp_736,736unused
ScotApp_636,Güvenlik çevrimdışı.
ScotApp_1091,1091unused
ScotApp_436,Tutarı Onayla
ScotApp_336,Ürün Ara
ScotApp_236,236unused
ScotApp_136,Nakit Yerleştir
ScotApp_1509,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1821,Ağırlığı Kabul Et
ScotApp_936,Paketlemeyi Sınırla\Atla
ScotApp_836,Ek Ücretler ve Müşteri Anlaşmaları
ScotApp_1367,Tarayıcı
ScotApp_1718,ÜA:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,Mecburi Paketleme uygulaması ayarlarını seçin. (Ürünü paketletmeyi bekleyen müşteri.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,Borç İndirimleri
ScotApp_115,İptali Onayla
ScotApp_1576,Nakit Vericisi Durumu:
ScotApp_1090,Raporu Çalıştır
ScotApp_815,Kasayı Aç
ScotApp_1508,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1406,Senk TB/POS
ScotApp_1099,Bilinmeyen Aygıt Hatası
ScotApp_1563,Yükle
ScotApp_782,Fatura vericisi sıkışması\nFatura vericisindeki sıkışmayı giderin veya\nTemizlik kutusunu ayarlayın.
ScotApp_682,682unused
ScotApp_582,Ödeme Tamamlandı.
ScotApp_482,482unused
ScotApp_382,Bilinmeyen
ScotApp_282,Kimlik Gir
ScotApp_1575,Madeni Para Vericisi Durumu:
ScotApp_1097,Kayıtları / Raporları Yazdır
ScotApp_1448,Madeni Para Durumu
ScotApp_982,Aygıt Hatası
ScotApp_143,Fişi İmzala
ScotApp_1353,Lütfen boşalan hediye kartınızı kupon yuvasına yerleştirin.
ScotApp_1704,"""Sorunu çözdüm"" e basın.\n\nHata devam ederse terminali yeniden yükleyin:\nYönetici kilidini 'S' e getirin -VEYA- Yönetici düğmesine basın.\nTüm Sistemi Kapat"" ı seçin.\nEkran karardığında terminali UPS'ten veya güç kaynağından kapatın.\nTerminali açın. Hata tekrarlanırsa tanı dosyası oluşturun ve servisi arayın."
ScotApp_1827,\n    - Mevcut Dil (%s)
ScotApp_1562,Say
ScotApp_1815,"* Kilidini açarak hazne tablasini çikarin.\n* Eksik hazneleri yerlestirin ve tüm haznelerin uygun sekilde yerlestirildiginden emin olun.\n* En düsük madeni para degeri haznesinin dogru sekilde yerlestirildiginden emin olun.\n* Uygun para birimi haznelerinin yerlestirildiginden emin olun. Eğer hata tekrar ederse, servisi arayın."
ScotApp_1574,%s için girilen değer geçersiz.\nLütfen tekrar deneyin.
ScotApp_1543,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1290,D - J
ScotApp_1096,Bildiriliyor
ScotApp_1352,Hediye Kartınızı Verin
ScotApp_1561,İsimlendirme
ScotApp_1083,"Ürünleri paketleme alanına geri götürün veya ""Ürün Kaldırıldı"" ya basın."
ScotApp_1753,Ürün Bulunamadı
ScotApp_418,Hard Totals sonlandırılıyor...
ScotApp_318,318unused
ScotApp_1813,%s\n* Hazne tablasini açin ve çikarin (I).\n* Sikismis hazne kutularini çikarin. Çikis bölümündeki sikisikliklari kontrol edin ve giderin  (II).\n*Sikisma yoksa hazne kutularini bosaltin. Diski çevirerek sikisikligi giderin (III).\n* Hazne kutularini tekrar yerlestirin. \n* Tüm kapilarin kapandigindan ve düzgün sekilde kilitlendiginden emin olun. Hata tekrar ederse servisi arayin.
ScotApp_1095,"Rapor türünü seçin, sonra ""Raporu Çalıştır"" a basın."
ScotApp_1351,%s\n%s %s çıkarıldı
ScotApp_1825,Tercihleri Kaydet
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,Nakit Ödemeyi Başlat.
ScotApp_377,Birimler – Durum
ScotApp_277,277unused
ScotApp_1560,Alıcı toplamı: %s
ScotApp_1082,Ürün Kaldırıldı
ScotApp_977,Gerçek Ağırlık: %s %s
ScotApp_877,Fiyat Sorgulama
ScotApp_1777,İşlem mağaza kupon limitini aşan bir kuponla gerçekleştirildi.
ScotApp_1812,Bozuk para sikismasi ya Bozuk para hazneleri dolu
ScotApp_756,756unused
ScotApp_556,İşlem askıya alma reddedildi.
ScotApp_456,456unused
ScotApp_356,Şifreleyici
ScotApp_256,Kullanıcı çıkışları sonlandırılıyor...
ScotApp_156,Sistem mesajı
ScotApp_1231,GÖRSEL OLARAK DOĞRULANMIŞ
ScotApp_1874,1874unused
ScotApp_956,"Terminali kapatıp yeniden başlatın:\n* Yönetici kilidini ‘S’ konumuna getirin VEYA Yönetici düğmesine basın.\n* Seçme ""Bir dahaki sistem yüklemesinde ADD’ i çalıştırın"". Seçeneğini ""Evet"" onaylamak için.\n* ‘Tüm Sistemi kapatın.’\n* Ekran boşaldığında terminali kesintisiz güç kaynağından kapatın veya güç kablosunu prizden çekin.\n* Terminali açın. Olay günlüğünü kontrol edin. Hata tekrarlanırsa tanı dosyası oluşturun ve servisi arayın. ."
ScotApp_856,Fiş:
ScotApp_1567,Verici Toplamı: %s
ScotApp_735,735unused
ScotApp_635,Müşterinin doğum tarihini gir
ScotApp_535,   Time Recalled
ScotApp_335,Kart okuyucusu muhtemel müşteri müdahalesi
ScotApp_235,Nakit alıcısı doluya yakın konumda
ScotApp_135,135unused
ScotApp_1776,Mağaza Yetkisi
ScotApp_1811,"* Madeni para geri dönüstürücüsünü çikarin.\n* Gösterilen bölgedeki sikismayi madeni paralari çikararak veya ileri iterek giderin.\n* Madeni paralari müsteriye iade edin. Eğer hata tekrar ederse, servisi arayın."
ScotApp_935,Ağırlık Düşüşü
ScotApp_835,Fiş:
ScotApp_1708,"Madeni Para sıkışmasını gidermek için Madeni Para iade butonuna birkaç kez basın, ardından ""sorunu çözdüm"" butonuna basın.\n\nHata tekrarlanırsa tanı dosyası oluşturun ve servisi arayın."
ScotApp_1168,Yazıcı ön konumda yerine oturmamış.
ScotApp_1446,Boşalt
ScotApp_1566,Tam Yenileme
ScotApp_1080,Ürünü banda koyun.
ScotApp_1775,Kuponu Onayla
ScotApp_1810,Madeni para sikismis.
ScotApp_1297,PARA ÜSTÜ ALMA SÜRESİ DOLDU
ScotApp_1648,(aaggyy)
ScotApp_708,708unused
ScotApp_608,Ağırlık Karşılaştırmayı Ayarla
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,sent
ScotApp_208,208unused
ScotApp_108,Uyumsuz Kupon
ScotApp_781,781unused
ScotApp_681,Sık Kullanılanlardan Seç
ScotApp_581,İşlem askıya alma reddedildi
ScotApp_481,Yardım Gerekiyor
ScotApp_381,Normal
ScotApp_908,Güvenlik
ScotApp_521,İade Edilen Tutar:
ScotApp_1087,Kart kabul edildi. Ürün ve kuponlarınızı taratın.
ScotApp_981,981unused
ScotApp_881,Askıya Al:
ScotApp_1774,Kupon Çok Yüksek
ScotApp_1296,Tüm madeni para haznelerini optimum hizmet seviyesine kadar yeniden doldurun.
ScotApp_1583,Para seviyesi düşük (%s)
ScotApp_1552,Kutu dolu
ScotApp_1295,T - Z
ScotApp_1877,Hırsızlık Alarmı
ScotApp_1761,Kupon haznesi dolu veya kupon yuvası tıkanmış. Kupon yuvasını tıkayan nesneyi çıkartın ve kupon haznesini boşaltın.
ScotApp_1086,"""Sıfır Ağırlık Ekle"" tüm ağırlık girişlerini siler."
ScotApp_693,693unused
ScotApp_794,Fatura vericisi kasetinde sıkışma\nFatura vericisindeki sıkışmayı ortadan kaldırın.
ScotApp_694,694unused
ScotApp_594,NCR SelfServ Checkout SigCap yüklendi.
ScotApp_494,Para iadesi tutarını listeden seç.
ScotApp_394,394unused
ScotApp_1098,"* Yazıcı kabin kapısını açın.\n*Gösterilen bölgede kağıt sıkışması olup olmadığını kontrol edin.\n* Kağıt sıkışması yoksa, yeniden kağıt yükleyin.\n* Üzerinde Gülen Yüz bulunan bir fiş yazdırılacak.\n* Yazıcı kabin kapısını kapatın ve kilitleyin."
ScotApp_1551,para seviyesi yüksek (%s)
ScotApp_994,Kapalı
ScotApp_894,DBM yüklendi.
ScotApp_1760,Kupon haznesi dolu veya kupon yuvası tıkanmış. Kupon yuvasını tıkayan nesneyi çıkartın ve kupon haznesini boşaltın.
ScotApp_1371,Nakit Alıcısı
ScotApp_1803,Yalnızca Nakit Kabul Et
ScotApp_1359,Slip Yazıcısı
ScotApp_1085,Kuponları Topla
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,Madeni Para Vericisi: %s %s’te yeniden dolduruldu.
ScotApp_1491,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_476,Kupon Teslimi
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,Ödemeyi durdurup satın alma işleminizi iptal etmek istiyor musunuz?
ScotApp_976,976unused
ScotApp_876,"Baş Kasiyer Kimliğini girin ve ""Giriş"" e basın."
ScotApp_1271,USERDEFINED13
ScotApp_1767,Tartı ağırlık parametrelerine ulaşılamıyor.
ScotApp_755,İşlem gerçekleştiriliyor...
ScotApp_655,İstisna Ürün
ScotApp_1084,Toplama
ScotApp_455,455unused
ScotApp_355,Sistem fonksiyonu seç
ScotApp_255,255unused
ScotApp_155,Sistem mesajı
ScotApp_1011,Taşınıyor...
ScotApp_869,"Yetki Numarasını girin ve ""Giriş"" e basın."
ScotApp_955,Akıllı Tartı Etkinleştirme Başarısız
ScotApp_855,Toplama Ücreti:
ScotApp_23,+ %s (%s)
ScotApp_1766,Tarayıcı/Tartı Hatası.
ScotApp_1280,NAKİT
ScotApp_1335,Kasa Kapatıldı
ScotApp_1497,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_728,728unused
ScotApp_628,Kasa #: %d
ScotApp_528,528unused
ScotApp_428,Sarı
ScotApp_328,"Müşteriye %s verme başarısız.\n* Madeni para ve fatura vericilerini kontrol edin.\n* Boş ise yeniden doldurun.\n* Boş değil ise sıkışıklığı giderin.\n* ""Sorunu çözdüm"" e basın."
ScotApp_228,Kart okuyucu girişi sıkışma yüzünden kapandı
ScotApp_128,128unused
ScotApp_1690,Lütfen servisi arayın
ScotApp_281,281unused
ScotApp_181,"\nKupon değerini sent olarak girmek için tuş takımını kullanın ve ""OK"" e basın."
ScotApp_928,Kasaya gidin ve aygıtı kontrol edin.
ScotApp_828,828unused
ScotApp_1033,"Ürün etkinliğini kaldırın veya kasada sert etiketi çıkararak ""Güvenliği Kaldır"" a basın."
ScotApp_1496,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_680,680unused
ScotApp_580,Kuponu iptal edilmeden ürün iptal edilmeye çalışıldı.
ScotApp_380,380unused
ScotApp_280,Güvenlik Kaydını Sil
ScotApp_180,Kuponları şimdilik kenara koyun.\nKuponlarınızı satın alma işlemi sonunda teslim edin.
ScotApp_1364,Mikr
ScotApp_980,Müşteri karşılık vermediği için süre doldu
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01 lb Max 30.00 lb min 0.2 lb Nmax 3000
ScotApp_1032,EAS Ürünü hala aktif.
ScotApp_1286,Türkçe
ScotApp_1462,Kutular
ScotApp_1298,Operatör Yardımlı Fonksiyonlar
ScotApp_1031,Kuponlarınızı taratın.
ScotApp_1482,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1706,"Aygıt hazır değil. Aygıtı kullanabilecek tüm diğer uygulamaları kapatın ve ""sorunu çözdüm"" butonuna basın. Hata tekrar ederse Gunnebo servisini arayın."
ScotApp_1399, Görevli
ScotApp_1494,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1672,Bozuk Para Dönüştürücü Hatası
ScotApp_573,"Kullanıcı Kimliğinizi girin ve ""Giriş"" e basın."
ScotApp_173,173unused
ScotApp_775,NCR Self-Servis İşleme Hoşgeldiniz! Mutlu Alış-verişler!
ScotApp_675,Madeni Para Vericisi Dolduruldu
ScotApp_1481,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,Yeniden Dene
ScotApp_39,İşlem İptali
ScotApp_29,İzne Tabi Ürünler
ScotApp_19,Vergi
ScotApp_975,975unused
ScotApp_603,Düzenle/Ekle Ağırlık Girişi
ScotApp_99,İptal Edilecek Miktar
ScotApp_89,89unused
ScotApp_303,Ürünleri İptal Et
ScotApp_203,203unused
ScotApp_103,Ürün kodunu gir
ScotApp_1889,Güvenlik Güvenlirlik Seviyesi
ScotApp_1443,"Yeniden yükleme yapmak için Madeni Para yerleştirin veya boşaltmak için ""Nakdi Çıkar"" a basın."
ScotApp_903,Ürün paketleme alanından kaldırıldı.
ScotApp_803,803unused
ScotApp_1555,Verici
ScotApp_1037,İmza
ScotApp_1480,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1263,USERDEFINED5
ScotApp_1697,Sıkışma Giderildi
ScotApp_748,748unused
ScotApp_648,UPC
ScotApp_548,548unused
ScotApp_448,Daimi müşteri hesabınız etkinleştirildi.
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_948,\n* Uzaktan Yardım
ScotApp_848,Gerekli Miktar:
ScotApp_485,İmza Gerekiyor
ScotApp_1036,EAS Ürünü Aktif
ScotApp_1487,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1499,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1023,1023unused
ScotApp_1179,KASADAN AYRILMA SÜRESİ DOLDU
ScotApp_1035,EAS Ürünü Aktif
ScotApp_1682,General Note Reader Unit Error
ScotApp_1486,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1144,Verici cevap vermiyor.
ScotApp_866,Evet
ScotApp_1498,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1384,Dil
ScotApp_1743,"Kullanıcı Adınızı girin ve ""Giriş""e basın veya giriş yapmak için parmağınızı parmak izi okuyucusuna yerleştirin."
ScotApp_1319,MAKBUZ
ScotApp_1178,ÇIKARMA İŞLEMİ YAPILDI EŞİĞİ AŞILDI
ScotApp_1001,Ürün bulunamadı
ScotApp_1034,1034unused
ScotApp_1485,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1068,1068unused
ScotApp_1694,"%s yüzünden değişiklik yapıldı. Yeniden doldurmak veya sıkışmayı gidermek için ""Nakit / Kağıt Durumu"" na basın.  "
ScotApp_1165,Yazıcıyı yerine oturana kadar dikkatli bir şekilde öne doğru çekin.\n\nYazıcı kabin kapısını kapatıp kilitleyin.
ScotApp_1021,Dikkat
ScotApp_1230,NEGATIVE DEPT (No equivalent in TUR)
ScotApp_1484,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_912,Ağırlığı Onayla ve Güncelle
ScotApp_723,723unused
ScotApp_623,"Tuş takımını kullanarak toleransı gir ve ""Giriş"" e basın."
ScotApp_523,Kart Reddedildi
ScotApp_423,Kartınızı yerleştirin. Ek ürünler için lütfen sepeti kontrol edin.
ScotApp_323,  Qty %d @ %d/%s
ScotApp_223,Kart okuyucu toplama kutusu dolu
ScotApp_123,123unused
ScotApp_1020,Ürünleri Tara
ScotApp_923,923unused
ScotApp_823,İptal Onayı
ScotApp_1483,Hatayı düzeltmek için lütfen Aygıt Kılavuzuna başvurun.
ScotApp_1237,KUPON
ScotApp_1680,Unrecoverable Error.  Please close the Lane.  Call Gunnebo and provide the error information shown below.\n\nSafePay Error: %s
ScotApp_702,702unused
ScotApp_602,Düzenle/Ekle \nAğırlık Girişi
ScotApp_502,İptal edilen ürünü kenara koyun.
ScotApp_402,Mevcut Değil
ScotApp_302,Lütfen ödeme aygıtına PIN numaranızı girin.
ScotApp_202,Oturum kapama test ediliyor...
ScotApp_102,Piyasadan Çekilmiş Ürün
ScotApp_1722,"Kasa eğitim modunda, işleme devam edilsin mi?"
ScotApp_902,Ürün paketleme alanından kaldırıldı. Ürünü iade edin.
ScotApp_802,"\n %s’lik dolu kasa satın alınsın mı?\n\n""Evet"" veya ""Hayır’ı"" seçin."
ScotApp_568,Sil
ScotApp_468,   Piyasadan çekilmiş
ScotApp_368,Yazıcı kağıt yüklenmemiş sıkışma
ScotApp_268,Hatalı Kart Okuma
ScotApp_1027,"İşlemi iptal etmek için ""Evet"" e veya işleme devam etmek için ""Hayır"" a basın."
ScotApp_1354,Hediye Kartınızı Alın
ScotApp_968,968unused
ScotApp_868,Yetki Numarası Girişi:
ScotApp_1433,paket tartısında.
ScotApp_1687,"Use ""Cash/Paper Status"" screen to load cash."
ScotApp_1150,Yazı kabin kapısı açık.
ScotApp_1699,"%s nedeniyle değiştirme yapıldı. Tekrar doldurun veya sıkışıklığı giderin ardından ""Durum Düzeltildi"" düğmesine basın."
ScotApp_1259,USERDEFINED1
ScotApp_1223,NAKİT / KAĞIT EKSİKLİĞİ
ScotApp_1379,birim fiyat
ScotApp_1432,<<<Düşük fatura seviyesi. Lütfen yeniden doldurun.>>>
ScotApp_1686,Unrecoverable Error.  Please close the Lane.  Call Gunnebo and provide the error information shown below.\n\nSafePay Error: %s
ScotApp_1157,Fatura vericisi kapısı açık olabilir.\n\nErişim kapısı açık durumdayken fatura vericisi çalışmayacaktır.\n\nKapağını veya güvenlik kapısını tam olarak kapatın ve mandallayın.
ScotApp_1013,Biriken Ürünler
ScotApp_1184,DAHA FAZLA VERİ
ScotApp_1848,"Ürün iptal edildi. Bir sonraki ürünü taratın veya ""Kodu Tuşla"" a basın."
ScotApp_1169,Yazıcı kabin kapısını açın.\n* Yerine oturana kadar yazıcıyı dikkatli bir şekilde öne doğru çekin.\n* Yazıcı kabin kapısını kapatın ve kilitleyin.
ScotApp_1662,Diğer Fişler
ScotApp_1311,* Fatura alıcısını çıkarın.\n* Alıcı modülünü açın.\n* Sıkışma olup olmadığını kontrol edin ve modülü değiştirin.\n* Fatura alıcısı motorunun açıldığını ve LED ışığının yeşil olduğunu kontrol edin.
ScotApp_1025,Tüm ürünleri banttan kaldırın ve güvenlik kapağını kapatın.
ScotApp_1378,ağırlık
ScotApp_22,\nPara\nİadesi\nYok\n+ 0        \n(%s)
ScotApp_1234,MİKTAR KISITLAMALI
ScotApp_1685,General Coin Unit Error
ScotApp_1156,Madeni para vericisi güç düğmesinin açık olup olmadığını kontrol edin.
ScotApp_1012,Ürününüz taşınıyor.
ScotApp_1365,MSR
ScotApp_1235,EAS ÜRÜNÜ AKTİF
ScotApp_1221,EKSİ BAKİYE
ScotApp_1143,Madeni para seviyesi düşük veya madeni para haznesi mevcut değil.
ScotApp_434,Kazanç Türü
ScotApp_1625,"Insert coins to replenish or touch ""Remove Coins"" to unload."
ScotApp_1430,Ürünü İptal Et
ScotApp_1684,Bozuk Para Dönüştürücü Hatası
ScotApp_1155,Aygıt çevrimdışı.
ScotApp_834,Ek Ücretler ve Müşteri Anlaşmaları:
ScotApp_799,Sepeti Kontrol Et
ScotApp_699,Satılamayan Ürün
ScotApp_599,Form Aygıtı Sıfırlanıyor...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,Kullanıcı Çıkışları yüklendi.
ScotApp_743,743unused
ScotApp_643,Ürün iptal edildi. Sonraki ürünü taratın.
ScotApp_543,Operatör Kimliği %d rakamdan büyük olamaz.
ScotApp_343,343unused
ScotApp_243,Kart okuyucuda geçersiz kart
ScotApp_999,Sınır aşıldı
ScotApp_899,...için İptal Etmeyi Onayla
ScotApp_1220,EFT
ScotApp_1142,Madeni Para Vericisi Hatası
ScotApp_943,Poşet/Kutu
ScotApp_843,843unused
ScotApp_1437,"""Ürün Kaldırıldı"" eşiği aşıldı"
ScotApp_1601,     Kart Vericisi Haznesi seviyesi düşük
ScotApp_722,722unused
ScotApp_622,UPC için Toleransı Düzenle
ScotApp_522,Hatalı PIN
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,"Yazıcı talep sırası: Yazıcı veya olay görüntüleyicisi hatalarını kontrol edin, sonra ""Sorunu çözdüm"" e basın."
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,İptal Edilen Ürünü Onayla
ScotApp_1715,Askıya Alma İptal Onayı
ScotApp_1227,ZAMAN SINIRLAMALI
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,Kartınızı yerleştirin. Ek ürünler için lütfen sepeti kontrol edin.
ScotApp_301,Kupon Değerini Gir
ScotApp_201,Oturum açma test ediliyor...
ScotApp_101,Bilinmeyen Fiyat
ScotApp_1633,Kağıt Para Dönüştürücü Hatası
ScotApp_901,Paketlemeyi Atlama onayı.
ScotApp_801,Kasa Satın Al
ScotApp_1824,Dijital makbuz oluşturulmadı.
ScotApp_1328,Çift Ağırlık
ScotApp_1299,İşlemi Başlat ve Yardım Moduna Geç
ScotApp_1226,PİYASADAN ÇEKİLMİŞ ÜRÜN
ScotApp_1140,Fatura vericisinde sıkışma.
ScotApp_1579,Fatura Alıcısı
ScotApp_1426,%s %d doğru mu?
ScotApp_1632,"Remove Note Cover. Check cable to Note Validator and Retry.  If error recurs, call for Service.\n\nSafePay Error: %s"
ScotApp_1141,%s verme hatası. DİKKAT: Fatura vericisinin üst kısmına fatura sıkışmış olabilir.
ScotApp_1791,Yalnızca Nakit
ScotApp_1357,Hediye Kartınızı Alın
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,Mecburi Paketleme Uygulaması
ScotApp_514,514unused
ScotApp_314,kutuda problem var
ScotApp_214,Borç Kontrolü
ScotApp_114,Ürün İptal Edilemiyor
ScotApp_1369,Muhtelif
ScotApp_78,ATM (Nakitsiz)
ScotApp_1630,Kağıt Para Dönüştürücü Hatası
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,"Kasaya gidin, ekstra ürünleri çıkarın ve ""Güvenliği Kaldır"" a basın."
ScotApp_1422,Portatif Tarayıcı
ScotApp_18,Toplam
ScotApp_1147,Güvenlik Tartısı Hatası
ScotApp_1578,Toplam Değer:
ScotApp_1022,Bandı Atla
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,Zaman sınırlı
ScotApp_1434,Yaş Sınırlamalı
ScotApp_1356,Al
ScotApp_1212,DİĞER
ScotApp_1455,Geçersiz Numara
ScotApp_1713,"Askıya Almayı İptal Etmek için ""Onayla"" ya bas"
ScotApp_1565,%s için Yükleme Değeri Gir
ScotApp_194,Aygıt Yöneticisi yükleniyor...
ScotApp_1275,USERDEFINED17
ScotApp_1146,Alıcı cevap vermiyor.
ScotApp_1303,Müşteri kartı kabul edildi: #%s
ScotApp_70,70unused
ScotApp_60,Yardım İste
ScotApp_50,50unused
ScotApp_40,Mağaza Yetkisi
ScotApp_30,İptal Edilen Ürünler
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,Kuponu iptal edilmeden ürün iptal edilemiyor. Önce ürün kuponunu iptal edin.
ScotApp_1211,VARSAYILAN
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,PIN Girişi Hatası
ScotApp_463,Uzaktan Onay sonlandırılıyor...
ScotApp_363,\nOperatör şifresini girmek için tuş takımını kullanın.
ScotApp_163,163unused
ScotApp_1420,\n%s ürünü iptal edilsin mi?
ScotApp_1145,Madeni Para Alıcısı Hatası
ScotApp_963,Talebi İptal Et
ScotApp_863,Kupon Değeri Girişi
ScotApp_1816,Madeni paralar sikismis veya kapi açik.
ScotApp_1637,Cable Problem
ScotApp_742,742unused
ScotApp_642,Ürün eklendi. Sonraki ürünü taratın.
ScotApp_542,Operatör barkodu oluşturulamıyor.
ScotApp_342,Tanımı Yazın
ScotApp_242,Kart okuyucuda kart sıkışması
ScotApp_142,Tutarı Onayla
ScotApp_1210,SON GÖRÜNTÜLEME
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,Operatör Yardımlı Ödeme
ScotApp_1427,Ürün miktarı değiştir: \n%s
ScotApp_721,721unused
ScotApp_621,Varsayılan
ScotApp_1341,Ses Kontrolü
ScotApp_421,"Ürünlerinizi taratın veya başlamak için ""Başlat"" a basın."
ScotApp_321,İşlem Doğrulama
ScotApp_221,Yazıcı kabin kapısını kapatın ve kilitleyin.
ScotApp_121,bu çıkış noktasından çıkartın.
ScotApp_1636,Bozuk Para Dönüştürücü Hatası
ScotApp_921,Güvenlik tartısında beklenen ağırlık.
ScotApp_821,821unused
ScotApp_600,Güvenlik Bakımı
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,SigCap
ScotApp_200,İşlem Brokeri test ediliyor...
ScotApp_100,Gerekli Miktar
ScotApp_1076,Dikkat
ScotApp_1623,Transfer Notes to Cassette for Pickup
ScotApp_1340,Tüm Sistemi Kapat
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,Hazne kutusu yerinden çikmis veya tam yerlesmemis.
ScotApp_1758,Kupon Haznesi Hatası
ScotApp_1635,"Check cable to Note Recycler and Retry.   If error recurs, call for service.\n\nSafePay Error: %s"
ScotApp_1557,Verici Toplama
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,Zaman Kısıtlamalı Ürünler
ScotApp_1413,Lütfen işleminizi sonraki # dakika içinde bitirin. Birazdan güç kesintisi yaşanabilir.
ScotApp_334,Kart okuyucusu kart yok hatası
ScotApp_234,Fatura kasetini çıkarın.\n\nFaturaları kasetten çıkarın.\n\n Kaseti yerine oturuncaya kadar tekrar takın.\n\nMandalın kaseti yerinde tuttuğundan emin olmak için kaset kolunu çekin.
ScotApp_1569,Değer
ScotApp_1801,Çalışma Modu
ScotApp_934,Ağırlık Artışı
ScotApp_1622,Kaset
ScotApp_768,Onayı Askıya Al
ScotApp_668,İmza Yazdırma Başarılı.
ScotApp_1347,Yeniden bağlanmaya çalışıyor
ScotApp_1778,Güvenliği Kaldır
ScotApp_168,Kuponlarınızı taratın ve satın alma işleminizin sonuna kadar kenara koyun.
ScotApp_1203,KABUL EDİLMİŞ BELGE
ScotApp_1634,Cable Problem
ScotApp_1556,Alıcı Toplama
ScotApp_1412,Yardım Fonksiyonları
ScotApp_1783,GÜVENLİK KAPAĞI AÇIK
ScotApp_1232,ONAYLANMIŞ İMZA
ScotApp_1568,Genel Toplam: %s
ScotApp_1800,Çalışma Modunu Seçin
