AmountSaved,Заощаджено
ScotApp_1490,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1491,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1492,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1493,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1494,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1495,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1496,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1497,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1498,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1499,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1500,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1501,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1502,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1503,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1504,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1505,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1506,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1507,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1508,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1509,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1510,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1511,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1512,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1513,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1514,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1515,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1516,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1517,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1518,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1519,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1520,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1521,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1522,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1523,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1524,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1525,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1526,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1527,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1528,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1529,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1530,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1531,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1532,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1533,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1534,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1535,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1536,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1537,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1538,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1539,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1540,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1541,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1542,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1543,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1544,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1545,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1546,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1547,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1548,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1549,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1550,Ліквідація збою - в інструкції з експлуат. пристрою.
ScotApp_1551,лоток заповнено  (%s)
ScotApp_1552,лоток повний
ScotApp_1553,Стан “лоток заповнено”:
ScotApp_1554,Приймач	
ScotApp_1555,Роздавач
ScotApp_1556,Вийняти з приймача
ScotApp_1557,Вийняти з роздавача
ScotApp_1558,Вийти і зберегти
ScotApp_1559,Вийти
ScotApp_1560,"Приймач, заг. сума:  %s"
ScotApp_1561,Номінал
ScotApp_1562,Кількість
ScotApp_1563,Внести
ScotApp_1564,Скільки внесено одиниць %s
ScotApp_1565,Внесено одиниць %s на суму
ScotApp_1566,Повна заміна
ScotApp_1567,"Роздавач, заг. сума:  %s"
ScotApp_1568,Разом:        %s
ScotApp_1569,Сума
ScotApp_1570,Ігнорувати зміни
ScotApp_1571,"Так, ігнорувати"
ScotApp_1572,Дійсно ігнорувати зміни у вікні “Робота з монетами”?
ScotApp_1573,"Поповнити - натисніть кнопки “Внести”, зменшити кількість - натисніть “Вийняти з приймача” або “Вийняти з роздавача”."
ScotApp_1574,Для одиниць %s вказано невірну суму.\nВкажіть суму ще раз
ScotApp_1575,Запас у роздавачі монет:
ScotApp_1576,Запас у роздавачі:
ScotApp_1577,Загальна кількість:
ScotApp_1578,Загальна сума:
ScotApp_1579,Приймач купюр
ScotApp_1580,Роздавач купюр
ScotApp_1581,Роздавач монет
ScotApp_1582,Запас
ScotApp_1583,низький запас валюти (%s)
ScotApp_1584,Лотки              К-ть  Зміна кількості
ScotApp_1585,Лотки              Сума  Зміна суми
ScotApp_1586,%s    %s  %s
ScotApp_1587,Дійсно ігнорувати зміни у вікні “Робота з купюрами”?
ScotApp_1588,"Перед натисканням кнопки “Вийняти з роздавача” спорожнити всі лотки. Спорожнити всі збирачі монет, потім натиснути “Вийняти з роздавача”."
ScotApp_1589,НЕМАЄ МОНЕТ
ScotApp_1590,ЗАТОР НА ЗБИРАЧАХ МОНЕТ %s
ScotApp_1591,Перевірити контакт кабелів з роздавачем монет
ScotApp_1592,"Вийняти монети з ємності, де стався затор. Нахилити збирач. Повернути шуруп праворуч так, щоб можна було вийняти монету. Не докладати надмірну силу."
ScotApp_1593,Вийняти монети
ScotApp_1594,Правильно вимкнути та перезапустити термінал.
ScotApp_1595,Вибір мови
ScotApp_1597,Дисконтна картка
ScotApp_1598,Налаштування активовано.
ScotApp_1599,Не вдалося знайти налаштування %s.
ScotApp_1600,Стан роздавача карток:
ScotApp_1601,     Запас карток у лотку: низький
ScotApp_1602,     Запас карток у лотку: низький (%s)
ScotApp_1603,     Запас карток у лотку: достатній
ScotApp_1604,     Запас карток у лотку: достатній (%s)
ScotApp_1605,     Лоток роздавача карток порожній
ScotApp_1606,     Брак-лоток: кількість у нормі
ScotApp_1607,     Брак-лоток: кількість у нормі (%s)
ScotApp_1608,     Брак-лоток порожній
ScotApp_1609,     Брак-лоток майже повний
ScotApp_1610,     Брак-лоток майже повний (%s) 
ScotApp_1611,     Брак-лоток повний
ScotApp_1612,Робота з картками
ScotApp_1613,Брак-лоток
ScotApp_1614,Лоток роздавача
ScotApp_1615,Зменшити кількість - натисніть кнопку “Вийняти з роздавача”.
ScotApp_1616,"Вкажіть, скільки буде внесено у роздавач. Можна внести не більше %d."
ScotApp_1617,Введена кількість більше за місткість. Вкажіть іншу кількість внесених одиниць. Можна внести не більше %d.
ScotApp_1618,Касета роздавача купюр відсутня або її неповністю вставлено.\n\nВставити або зафіксувати купюрну касету.
ScotApp_1619,Відкласти
ScotApp_1620,Відімкнути кришку для купюр
ScotApp_1621,Відімкнути купюрну касету
ScotApp_1622,Касета
ScotApp_1623,Перенести купюри до касети для вилучення
ScotApp_1624,Перенести всі купюри до касети
ScotApp_1625,"Поповнити - внесіть монети, зменшити кількість - натисніть “Вилучити монети”."
ScotApp_1626,Внесіть готівку або виберіть іншу функцію.
ScotApp_1627,Помилка банкнотника чи монетника
ScotApp_1628,Помилка ЦП
ScotApp_1629,Невірні налаштування ЦП або параметри Sysdata. Зверніться до технічної служби.\n\nПомилка SafePay: %s
ScotApp_1630,Помилка банкнотника.
ScotApp_1631,Помилка пристрою перевірки купюр
ScotApp_1632,"Зняти кришку для купюр. Перевірити кабель до пристрою перевірки купюр, натиснути “Повторити”. Якщо помилка виникає знов, зверніться до технічної служби.\n\nПомилка SafePay: %ss"
ScotApp_1633,Помилка банкнотника.
ScotApp_1634,Збій кабелю
ScotApp_1635,"Перевірити кабель до банкнотника, натиснути “Повторити”. Якщо помилка виникає знов, зверніться до технічної служби.\n\nПомилка SafePay: %s"
ScotApp_1636,Помилка монетника
ScotApp_1637,Збій кабелю
ScotApp_1638,"Перевірити кабелі монетника, натиснути “Повторити”. Якщо помилка виникає знов, зверніться до технічної служби.\n\nПомилка SafePay: %s"
ScotApp_1639,Помилка монетника
ScotApp_1640,Помилка збирача
ScotApp_1641,"Поповнити збирач монет, продовжити. Монети не видаються: можливо, заблоковано збирач. Зверніться до технічної служби.\n\nПомилка SafePay: %s"
ScotApp_1642,Помилка банкнотника.
ScotApp_1643,Помилка банкнотника.
ScotApp_1644,Знято кришку банкнотника
ScotApp_1645,Надійно зафіксувати кришку банкнотника.
ScotApp_1647,(ммддрррр)
ScotApp_1648,(ммддрр)
ScotApp_1649,(ддммрррр)
ScotApp_1650,(ддммрр)
ScotApp_1651,(ррррммдд)
ScotApp_1652,(ррммдд)
ScotApp_1653,Сума перевищує місткість. Максимальна потрібна сума: %s. Суму %s внесено автоматично.
ScotApp_1654,"Кількість перевищує місткість. Можна внести не більше, штук: %d. %d шт. внесено автоматично."
ScotApp_1655,Відділ продажу
ScotApp_1656,Введіть код відділу і натисніть “Ввести”. Невірний відділ
ScotApp_1657,Невірний відділ
ScotApp_1658,"Перевірити, чи покупець отримав решту правильно."
ScotApp_1659,Друк чеку
ScotApp_1660,Оберіть спосіб друку
ScotApp_1661,Друк чеку неможливий. Повторити - натисніть “Інші чеки”.
ScotApp_1662,Інші чеки
ScotApp_1663,лоток порожній або затор у лотку
ScotApp_1664,Затор купюр
ScotApp_1665,Відімкнути та вийняти касету. Вийняти застряглу купюру. Знову вставити касету. Закрити модуль приймання-видачі. Продовжити грошову операцію. Помилка банкнотника Затор купюр
ScotApp_1666,Помилка банкнотника.
ScotApp_1667,Затор купюр
ScotApp_1668,"Можливий затор купюр у показаному місці. Відкрити верхню кришку банкнотника. Вийняти застряглі купюри. Закрити банкнотник, встановити верхню кришку. Продовжити грошову операцію. Помилка банкнотника чи монетника Помилка банкнотника чи монетника"
ScotApp_1669,Помилка банкнотника чи монетника
ScotApp_1670,Помилка банкнотника чи монетника
ScotApp_1671,"Відкрити банкнотник, вийняти купюри з касети. Закрити модуль приймання-видачі.\nЗвільнити монети зі збирача, вийняти з чашки для решти."
ScotApp_1672,Помилка монетника
ScotApp_1673,Затор монет
ScotApp_1674,"Звільнити застряглі монети, натиснувши кнопку повернення. Якщо помилка виникає знов, можливий затор монет. Відкрити й закріпити кришку монетника. Вийняти застряглі монети. Відновити вихідне положення, натиснувши кнопку повернення. Звільнити та закрити кришку монетника."
ScotApp_1675,Помилка монетника
ScotApp_1676,Відкрито дверцята монетника.
ScotApp_1677,"Перевірити, чи зачинено дверцята монетника."
ScotApp_1678,Помилка банкнотника.
ScotApp_1679,Помилка бібліотеки купюр
ScotApp_1680,Помилка: неможливо усунути. Закрийте касу. Зверніться до компанії Gunnebo і повідомте інформацію про помилку нижче.\n\nПомилка SafePay: %s
ScotApp_1681,Помилка банкнотника.
ScotApp_1682,Загальна помилка модуля зчитування купюр
ScotApp_1683,Помилка: неможливо усунути. Закрийте касу. Зверніться до компанії Gunnebo і повідомте інформацію про помилку нижче.\n\nПомилка SafePay: %s
ScotApp_1684,Помилка монетника
ScotApp_1685,Загальна помилка монетника
ScotApp_1686,Помилка: неможливо усунути. Закрийте касу. Зверніться до компанії Gunnebo і повідомте інформацію про помилку нижче.\n\nПомилка SafePay: %s
ScotApp_1687,"Внести готівку - вікно “Запас готівки, паперу”"
ScotApp_1688,Помилка касети
ScotApp_1689,Помилка банкнотника.
ScotApp_1690,Зверніться до технічної служби.
ScotApp_1691,Робота з готівкою
ScotApp_1692,Ім’я адміністратора
ScotApp_1693,Заміна монет
ScotApp_1694,"Зроблено заміну, причина: %s. Внести готівку, натиснувши “Запас готівки, паперу”, або ліквідувати затор."
ScotApp_1695,Виправити пізніше
ScotApp_1696,Збій ліквідовано
ScotApp_1697,Затор ліквідовано
ScotApp_1698,Натисніть “Збій ліквідовано”.
ScotApp_1699,"Зроблено заміну, причина: %s. Внести готівку або ліквідувати затор, потім натиснути “Збій ліквідовано”."
ScotApp_1700,"Не вдалося видати %s.%s\nПеревірити роздавачі купюр та монет.\nЯкщо порожні, поповнити.\nЯкщо не порожні, усунути затор.\nНатиснути “Збій ліквідовано”."
ScotApp_1701,Не вдалося видати %s.
ScotApp_1702,*** ДУБЛІКАТ ЧЕКУ ***
ScotApp_1703,(+)
ScotApp_1704,"Натиснути “Збій ліквідовано”.\n\nЯкщо помилка виникає знов, перезавантажити термінал:\nПовернути замок адміністратора на “S” -АБО натиснути кнопку “Адміністратор”.\nОбрати “Вимкнути всю систему”.\nКоли екран згас, вимкнути термінал на ББЖ чи на подовжнику.\nУвімкнути термінал. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1705,Помилка зв’язку.
ScotApp_1706,"Пристрій не готовий. Закрити інші програми, що працюють з пристроєм, натиснути “Збій ліквідовано”. Якщо помилка виникає знов, звернутися до технічної служби компанії Gunnebo."
ScotApp_1707,Затор монет у приймачі
ScotApp_1708,"Для ліквідації затору монет натиснути кнопку повернення кілька разів, потім “Збій ліквідовано”. \n\nЯкщо помилка виникає знов, звернутися до технічної служби."
ScotApp_1710,Візьміть повернену готівку.
ScotApp_1711,Відхилено
ScotApp_1712,Не дозволено відкласти
ScotApp_1713,Не дозволити відкласти операцію - натисніть “Прийняти”.
ScotApp_1714,ЗАПИТ ВІДКЛАСТИ ВІДХИЛЕНО
ScotApp_1715,Відхилити запит відкласти операцію
ScotApp_1716,ОВ:
ScotApp_1717,ФВ:
ScotApp_1718,КТ:
ScotApp_1719,ДВ:
ScotApp_1720,ЗВ:
ScotApp_1721,Операція в режимі навчання
ScotApp_1722,Каса працює в режимі навчання. Продовжити операцію?
ScotApp_1723,Каса працює в режимі навчання. Продовжити операцію?
ScotApp_1724,ОПЕРАЦІЯ В РЕЖИМІ НАВЧАННЯ
ScotApp_1725,Контроль відключено
ScotApp_1726,Пошук завершено
ScotApp_1727,Пошук товару
ScotApp_1728,Оберіть товар з популярних або знайдіть за алфавітом.
ScotApp_1729,Пошук товарів:
ScotApp_1730,Шукати
ScotApp_1731,Список покупок: відкриваю фото...
ScotApp_1732,Список покупок: фото відкрито.
ScotApp_1733,Для продовження виберіть “Назад”.
ScotApp_1734,Маю власний пакет
ScotApp_1735,Покладіть пакети
ScotApp_1736,Покладіть пакети на пакувальні ваги і натисніть “Готово”.
ScotApp_1737,Свій пакет
ScotApp_1738,Пакети перевірить консультант
ScotApp_1740,Порівняння ваги пакету
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s очік;LSWND3=%s %s факт
ScotApp_1742,НЕПРИДАТНИЙ ПАКЕТ
ScotApp_1743,Для входу наберіть код користувача і натисніть “Ввести” або покладіть палець на дактилоскоп.
ScotApp_1745,Дактилоскоп не підключено.\n\nСпробуйте ще раз.
ScotApp_1747,Помилка дактилоскопа
ScotApp_1748,Збій при дактилоскопії
ScotApp_1749,Відбиток обробляється
ScotApp_1752,Завелика вага на вагах.
ScotApp_1753,Товар не знайдено
ScotApp_1755,Виберіть зі списку
ScotApp_1756,Оберіть з результатів пошуку або натисніть “Назад”.
ScotApp_1757,Надлітерні знаки: натисніть кнопку “Діакритика” внизу екрана і введіть літеру.
ScotApp_1758,Помилка лотка для купонів
ScotApp_1759,Лоток для купонів повний
ScotApp_1760,"Лоток для купонів повний або заблоковано слот для купонівВийняти всі предмети, що блокують слот для купонів, потім спорожнити лоток для купонів."
ScotApp_1761,"Лоток для купонів повний або заблоковано слот для купонівВийняти всі предмети, що блокують слот для купонів, потім спорожнити лоток для купонів."
ScotApp_1766,Помилка сканера або ваг.
ScotApp_1767,Не отримано параметри зважування.
ScotApp_1768,Непридатна одиниця ваги.
ScotApp_1769,Введіть код
ScotApp_1770,Оберіть зі знайденого.
ScotApp_1771,Ліміт вартості купона
ScotApp_1772,Купон
ScotApp_1773,"Прийняти - натисніть “Прийняти купон”, скасувати - перейдіть у режим “Касир”."
ScotApp_1774,ВАРТІСТЬ КУПОНА ЗАВЕЛИКА
ScotApp_1775,Прийняти купон
ScotApp_1776,Дозвіл магазину
ScotApp_1777,Для оплати використано купон вартістю понад встановлений магазином ліміт.
ScotApp_1778,Зняти контроль
ScotApp_1779,"Неможливо скасувати товар, доки не скасовано купон на нього. Спершу скасуйте купон на товар."
ScotApp_1780,ПОЧАТИ ОПЕРАЦІЮ
ScotApp_1781,ЧАС ЕКРАНУ “ДЯКУЮ” СПЛИНУВ
ScotApp_1782,ПОЧАТИ ОПЕРАЦІЮ В РЕЖИМІ “КАСИР”
ScotApp_1783,ВІДКРИТО ЗАХИСНУ КРИШКУ
ScotApp_1784,ТОВАР З КІЛЬКОХ ПАКОВАНЬ
ScotApp_1785,Невірний код користувача. Введіть код ще раз або покладіть палець на дактилоскоп.
ScotApp_1786,За поліетиленові пакети
ScotApp_1787,"Вкажіть кількість узятих поліетиленових пакетів або 0, якщо не взято жодного."
ScotApp_1789,КУПОН
ScotApp_1790,Лише кредитна / дебетова
ScotApp_1791,Лише готівка
ScotApp_1792,Лише картки
ScotApp_1798,"Режим ""Лише готівка"""
ScotApp_1799,Режим “Лише картки”
ScotApp_1800,Оберіть режим операції
ScotApp_1801,Режим операції 
ScotApp_1802,Приймати лише картки
ScotApp_1803,Приймати лише готівку
ScotApp_1804,Вийти з режиму “Лише картки”
ScotApp_1805,Вийти з режиму “Лише готівка”
ScotApp_1806,"\n* Закінчіть операцію, натиснувши “Лише картки”, і вручну видайте покупцю решту."
ScotApp_1807,_ _ _
ScotApp_1808,Оберіть товар у чеку.
ScotApp_1809,Помилки роздавача монетника
ScotApp_1810,Затор монет.
ScotApp_1811,"* Витягти монетник.\n* Ліквідувати затор у показаному місці: вийняти монети або проштовхнути їх уперед.\n* Повернути знайдені монети покупцю. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1812,Затор монет або збирачі монет повні чи відсутні.
ScotApp_1813,"%s\n* Відімкнути та витягти лоток збирачів (I).\n* Вийняти збирачі з застряглими монетами. Знайти та ліквідувати затор на виході (II).\n* Якщо на виході затору немає, спорожнити збирачі. Знайти та ліквідувати затор, повертаючи диск (III).\n* Вставити збирачі.\n* Переконатися, що всі дверцята зачинено і замкнено. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1814,Збирача немає чи зсунувся.
ScotApp_1815,"\n* Відімкнути та витягти лоток збирачів.\n* Вставити відсутні збирачі і перевірити фіксацію всіх збирачів.\n* Вставити відсутні збирачі, перевірити наявність та фіксацію збирача монет найменшого номіналу.\n* Переконатися, що вставлено збирачі відповідного виду. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1816,Затор монет або відчинено дверцята.
ScotApp_1817,"* Витягти монетник.\n* Відчинити круглі бічні дверцята, зняти монети зі стрічок.\n* Переконатися, що всі дверцята зачинено і замкнено.\n* Повернути знайдені монети покупцю. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1818,"* Для ліквідації затору відімкнути і витягти лоток збирачів (I).\n* Покласти застряглі монети до відповідних збирачів. Вставити на місце і замкнути лоток збирачів.\n* Витягти монетник. Відімкнути і зняти кришку.\n* Від’єднати показаний кабель (II).\n* Звільнити червоний язичок на правому боці приймача, потягнути приймач на себе, перевернути, ліквідувати затор у показаних місцях (III).\n* Вставити приймач, підключити кабель.\n* Закрити й замкнути кришку. Якщо помилка виникає знов, зверніться до технічної служби."
ScotApp_1819,Помилки приймача монетника
ScotApp_1820,"Зняти товар з ваг, натиснути на сканері кнопку “>0<”."
ScotApp_1821,Прийняти вагу
ScotApp_1822,Прийняти вагу
ScotApp_1823,Електронний чек сформовано.
ScotApp_1824,Електронний чек не сформовано.
ScotApp_1825,Зберегти лаштування
ScotApp_1827,\n    - Обрана мова (%s)
ScotApp_1828,\n    - Гучність %d%%
ScotApp_1829,Прийняти
ScotApp_1830, Записи   Прийнято
ScotApp_1831,Інт
ScotApp_1832,Exc_DEPT
ScotApp_1833,Exc_TB
ScotApp_1834,Макс
ScotApp_1835,Несправні пристрої
ScotApp_1836,Не приймати
ScotApp_1837,\nЗніміть скасований товар з пакувальних ваг.
ScotApp_1838,Перевірити товар
ScotApp_1840,Магазин №:
ScotApp_1841,Підійдіть до каси для підтвердження
ScotApp_1842,Допомога
ScotApp_1843,Свій пакет
ScotApp_1844,Шукати
ScotApp_1845,Чек
ScotApp_1846,Відскануйте товар або натисніть “Ввести код”.
ScotApp_1847,Товар додано. Відскануйте наступний товар або натисніть “Ввести код”.
ScotApp_1848,Товар видалено. Відскануйте наступний товар або натисніть “Ввести код”.
ScotApp_1849,
ScotApp_1850,Несправні пристрої
ScotApp_1851,Не приймати  
ScotApp_1854,Необов’язк.
ScotApp_1855,Необов’язк.
ScotApp_1856,  Не пакувати
ScotApp_1857,  Не класти на конвеєр
ScotApp_1858,Помилка модуля приймання-видачі: розбіжність даних
ScotApp_1860,"Виберіть один з товарів, знайдених автоматично, або знайдіть товар за алфавітом."
ScotApp_1861,ТОВАРИ БЕЗ ШТРИХ-КОДУ
ScotApp_1862,Перевірте товар на сканер-вагах
ScotApp_1863,"Натисніть ""Прийняти"" або ""Скасувати товар""."
ScotApp_1864,Перейдіть до каси
ScotApp_1865,Шукати товар\nбез ваги
ScotApp_1866,Ще популярне
ScotApp_1867,Камеру затулено
ScotApp_1868,Не затуляйте руками камеру сканера
ScotApp_1869,Рука в камері
ScotApp_1870,%s %s очікується
ScotApp_1871,%s %s фактично
ScotApp_1872,1872unused
ScotApp_1873,1873unused
ScotApp_1874,1874unused
ScotApp_1875,%s %s очікується
ScotApp_1876,%s %s фактично
ScotApp_1877,"Сигнал ""крадіжка"""
ScotApp_1878,Невірна вага на пакувальних вагах.
ScotApp_1879,"Огляньте пакувальні ваги і натисніть ""Зняти захист""."
ScotApp_1880,Неочікуваний товар на пакувальних вагах.
ScotApp_1881,"Огляньте пакувальні ваги, зніміть зайвий товар, і натисніть ""Зняти захист""."
ScotApp_1882,"Сигнал ""Smart Assist"": товар не відскановано."
ScotApp_1883,"Перевірте, чи немає на пакувальних вагах і в кошику зайвого товару, і натисніть ""Зняти захист""."
ScotApp_1884,"Сигнал ""Smart Assist"""
ScotApp_1885,Товар не відскановано
ScotApp_1886,"Перевірте, чи немає зайвого товару."
ScotApp_1887,Переглянути операцію
ScotApp_1888,"Проведіть контроль зробленої покупцем операції, натисніть ""Зняти захист""."
ScotApp_1889,Покупець на контролю
ScotApp_1890,Обробляється.
ScotApp_1892,Контроль операції
ScotApp_1893,Невірний штрих-код
ScotApp_1894,Відкладіть товар і продовжуйте розрахунок.
ScotApp_1895,Заг винят
UnknownItemMessage,До вас зараз підійдуть.\n\nВідкладіть товар і скануйте інші покупки.
TimeRestrictedItemMessage,Купити цей товар наразі неможливо.\n\nВідкладіть його і продовжуйте оформляти покупку.
ItemQuantityExceededMessage,Завелика кількість одиниць товару. \n\nВідкладіть товар і продовжіть.
WeightMismatch,Перевіряється вага.\n\nЗачекайте…
ItemQuantityExceeded,Ліміт кількості перевищено
WaitForRemoteAssistanceTitle,Дистанційний консультант
ScotApp_489,Дякуємо за користування системою NCR SelfServ Checkout.
ScotApp_273,Не скануйте зараз.\nВідкладіть товар.
ScotApp_431,Недійсна дисконтна картка. Перевірте.
ScotApp_410,Потрібна допомога для:
ScotApp_1739,"Дочекайтеся консультанта.\nВага пакетів не відповідає очікуваній.\nЯкщо на пакувальні ваги випадково потрапив інший предмет (не пакет), зніміть його."
ScotApp_73,Назад урежим “Покупки”
ScotApp_772,Отримано запит відкласти поточну операцію.\nПідтвердіть або скасуйте його.
ScotApp_530,Помилка читання картки.\nВставте іншу картку\n   -або-\nсплатіть готівкою\n   -чи-\nвикличте допомогу.
ScotApp_524,Введено невірний ПІН.\nЩе раз введіть ПІН на платіжному пристрої.
ScotApp_397,"Відпуск перевірених товарів - у режимі “Касир”.\nЗаберіть товари, які відпущено не буде."
ScotApp_171,"""%s""\n\n %d - вірно?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Операцію відкладено.Відкладіть усі товари.
ScotApp_495,Завелика кількість одиниць товару.\n\nВідкладіть товар і продовжіть.
ScotApp_529,"Заберіть картку, потім..\nвставте іншу картку\n   -або-\nсплатіть готівкою\n   -чи-\nвикличте допомогу."
ScotApp_275,Не вставляйте зараз кредитну картку.\nЗаберіть картку.
ScotApp_1891,Йде перевірка системою.\nЗачекайте...
ScotApp_1750,Дочекайтеся кінця оброблення відбитка.
ScotApp_169,Бажаєте продовжити купівлю?
ScotApp_415,Візьміть дисконтну картку.\nКартку було вставлено раніше.
ScotApp_1793,Апарат наразі приймає лише кредитні і дебетові картки.\nПродовжити?
ScotApp_477,Здайте свої купони.\nПісля отримання чеку:\n-- візьміть товар.\n-- Віднесіть чек і купони до касового автомату.
ScotApp_177,Покупку скасовано.Відкладіть усі товари.
ScotApp_656,Відкладіть <%s>.\nДо вас підійде консультант.
ScotApp_1709,Поки що не вносити купюри та монети.\nВізьміть повернену готівку.\nВізьміть купюри під сканером.
ScotApp_435,Оберіть вид соц. допомоги.\nПродовольчі талони слід використати перед іншими видами соц. допомоги.
ScotApp_808,"Передайте товари з протикрадіжковими давачами консультанту, який зніме їх."
ScotApp_294,"Щоб викликати помічника, натисніть кнопку “Викликати допомогу”."
ScotApp_1287,Зачекайте...\nПеревіряється вага товару.
ScotApp_525,"Введено невірний ПІН.\nЗаберіть картку, потім...\nвставте іншу картку\n   -або-\nсплатіть готівкою"
ScotApp_480,Натисніть “ОК” і передайте касиру талон на покупку і товари.
ScotApp_1751,Перевищено максимальний допуск ваги.\nЗніміть товари з пакувальних ваг.
ScotApp_175,"Видалити\n""%s""\nз чеку?"
ScotApp_1746,Сервер відбитків не відповідає.\nСпробуйте ще раз.
ScotApp_1839,Дочекайтеся касира.\nНе скануйте зараз. Відкладіть товар.
ScotApp_501,Підпишіть чек і чекайте на дозвіл магазину.
ScotApp_414,Візьміть дисконтну картку.\nВрахувати знижки в цій покупці неможливо. Їх буде надіслано вам поштою.
ScotApp_563,Помилка при спробі запуску Hard Totals.\nПрограму буде закрито.
ScotApp_263,"Неможливо скасувати товар, доки не скасовано купон на нього.\nСпершу скасуйте купон на товар."
ScotApp_800,"Перевірте свій кошик.\n\nЯкщо в ньому є ще товар, відскануйте його або\nнатисніть “OK” і оплатіть покупку."
ScotApp_134,Іде авторизація.\nЗачекайте.
ScotApp_620,Вказатидопуск
ScotApp_161,%s\nВведіть на клавіатурі кількість і натисніть “ОК”.
ScotApp_440,Залишок грошової допомоги менший за потрібний.\nВрахувати в цій покупці наявний залишок %s?
ScotApp_184,З вашого рахунку буде списано %s.
ScotApp_274,Не вносіть зараз гроші.\nЗаберіть гроші.
ScotApp_1744,Пристрій не розпізнав відбитки пальців.\nСпробуйте ще раз.
ScotApp_160,Товар відкликано.\nЗараз підійде консультант.%s\nВведіть на клавіатурі кількість і натисніть “ОК”.
